k,stage,data_cons,kb_cons
0,baseline,0.4472,0.3267
0,align1,0.4426,0.3270
0,refine1,0.4426,0.3378
0,align2,0.4377,0.3388
0,refine2,0.4377,0.3388
2,baseline,0.5016,0.4277
2,align1,0.4960,0.4545
2,refine1,0.5071,0.6266
2,align2,0.5097,0.6131
2,refine2,0.5115,0.6416
4,baseline,0.5344,0.3823
4,align1,0.5101,0.4172
4,refine1,0.5271,0.6529
4,align2,0.5229,0.6525
4,refine2,0.5233,0.6570
6,baseline,0.5347,0.3845
6,align1,0.5129,0.4159
6,refine1,0.5077,0.3194
6,align2,0.4869,0.3466
6,refine2,0.5028,0.6606
