kb,stage,data_cons,kb_cons,bal_cons
rand_KB,baseline,0.5724,0.3176,0.39274789472026617
rand_KB,align1,0.5611,0.319,0.39218351512745275
rand_KB,refine1,0.5052,0.0832,0.1160986932020964
rand_KB,align2,0.4769,0.1133,0.15589134499441368
rand_KB,refine2,0.4769,0.1133,0.15589134499441368
orig,baseline,0.5344,0.3823,0.43972006818497583
orig,align1,0.5101,0.4172,0.4567102747705423
orig,refine1,0.5271,0.6529,0.5800074297327715
orig,align2,0.5229,0.6525,0.5770579814793221
orig,refine2,0.5233,0.657,0.5788753935969464
no_len,baseline,0.5343,0.3823,0.4396922082463803
no_len,align1,0.5047,0.4442,0.47156381752057325
no_len,refine1,0.5204,0.6587,0.577480392993883
no_len,align2,0.5171,0.6594,0.5754503091723928
no_len,refine2,0.5175,0.6607,0.5761576559424615
no_vio,baseline,0.5392,0.3873,0.4448587780157922
no_vio,align1,0.5399,0.3469,0.4127364087551527
no_vio,refine1,0.5386,0.6362,0.581343044720212
no_vio,align2,0.5243,0.6516,0.5776841315997641
no_vio,refine2,0.525,0.6574,0.5801613532989959
w_rand,baseline,0.421,0.6844,0.5071196204601914
w_rand,align1,0.4074,0.6194,0.48136173774007035
w_rand,refine1,0.4162,0.6346,0.49218533703768635
w_rand,align2,0.4126,0.6299,0.48811191583829755
w_rand,refine2,0.4122,0.6468,0.49159638070915423
