,stage,model,score,data consistency,kb consistency,balanced consistency
0,init,GNN,neural,0.2814 +- 0.0030,0.2972 +- 0.0021,0.2887 +- 0.0018
1,data_only,GNN,neural,0.5716 +- 0.0003,0.3618 +- 0.0011,0.4076 +- 0.0012
2,ABL1_refl,GNN,neural,0.5500 +- 0.0015,0.3962 +- 0.0022,0.4393 +- 0.0021
3,ABL1_refine,GNN,neural,0.5500 +- 0.0015,0.6191 +- 0.0045,0.5785 +- 0.0011
4,ABL2_refl,GNN,neural,0.5493 +- 0.0021,0.6177 +- 0.0031,0.5778 +- 0.0006
5,ABL2_refine,GNN,neural,0.5493 +- 0.0021,0.6270 +- 0.0047,0.5813 +- 0.0021
6,init,GNN,integrated,0.2912 +- 0.0040,0.3696 +- 0.0019,0.3170 +- 0.0033
7,data_only,GNN,integrated,0.5443 +- 0.0007,0.4427 +- 0.0010,0.4785 +- 0.0008
8,ABL1_refl,GNN,integrated,0.4574 +- 0.0844,0.6320 +- 0.1747,0.4626 +- 0.0358
9,ABL1_refine,GNN,integrated,0.5061 +- 0.0352,0.6452 +- 0.0115,0.5499 +- 0.0274
10,ABL2_refl,GNN,integrated,0.5391 +- 0.0022,0.6364 +- 0.0028,0.5758 +- 0.0014
11,ABL2_refine,GNN,integrated,0.5394 +- 0.0020,0.6451 +- 0.0053,0.5791 +- 0.0023
12,init,MLP,neural,0.2807 +- 0.0066,0.2955 +- 0.0058,0.2875 +- 0.0063
13,data_only,MLP,neural,0.4510 +- 0.0036,0.2536 +- 0.0013,0.2881 +- 0.0016
14,ABL1_refl,MLP,neural,0.4734 +- 0.0018,0.3292 +- 0.0011,0.3669 +- 0.0010
15,ABL1_refine,MLP,neural,0.4734 +- 0.0018,0.6268 +- 0.0008,0.5204 +- 0.0015
16,ABL2_refl,MLP,neural,0.4684 +- 0.0043,0.6273 +- 0.0009,0.5160 +- 0.0038
17,ABL2_refine,MLP,neural,0.4684 +- 0.0043,0.6363 +- 0.0044,0.5175 +- 0.0036
18,init,MLP,integrated,0.2905 +- 0.0046,0.3672 +- 0.0045,0.3161 +- 0.0047
19,data_only,MLP,integrated,0.4675 +- 0.0019,0.3983 +- 0.0014,0.4247 +- 0.0008
20,ABL1_refl,MLP,integrated,0.4545 +- 0.0050,0.4754 +- 0.0097,0.4633 +- 0.0020
21,ABL1_refine,MLP,integrated,0.4534 +- 0.0032,0.6566 +- 0.0033,0.5058 +- 0.0028
22,ABL2_refl,MLP,integrated,0.4523 +- 0.0038,0.6575 +- 0.0025,0.5048 +- 0.0035
23,ABL2_refine,MLP,integrated,0.4541 +- 0.0025,0.6622 +- 0.0003,0.5071 +- 0.0024
