,stage,model,score,data consistency,kb consistency,balanced consistency
0,init,GNN,neural,0.2767 +- 0.0053,0.2722 +- 0.0063,0.2729 +- 0.0034
1,data_only,GNN,neural,0.5128 +- 0.0010,0.2902 +- 0.0017,0.3296 +- 0.0019
2,ABL1_refl,GNN,neural,0.4721 +- 0.0028,0.3625 +- 0.0050,0.3975 +- 0.0045
3,ABL1_refine,GNN,neural,0.4721 +- 0.0028,0.6369 +- 0.0069,0.5208 +- 0.0015
4,ABL2_refl,GNN,neural,0.4707 +- 0.0076,0.6316 +- 0.0077,0.5186 +- 0.0056
5,ABL2_refine,GNN,neural,0.4707 +- 0.0076,0.6377 +- 0.0136,0.5198 +- 0.0053
6,init,GNN,integrated,0.2815 +- 0.0046,0.3519 +- 0.0055,0.3045 +- 0.0034
7,data_only,GNN,integrated,0.4628 +- 0.0015,0.4146 +- 0.0020,0.4347 +- 0.0009
8,ABL1_refl,GNN,integrated,0.4101 +- 0.0577,0.5656 +- 0.1426,0.4283 +- 0.0260
9,ABL1_refine,GNN,integrated,0.4538 +- 0.0108,0.6460 +- 0.0066,0.5048 +- 0.0095
10,ABL2_refl,GNN,integrated,0.4643 +- 0.0050,0.6399 +- 0.0070,0.5141 +- 0.0036
11,ABL2_refine,GNN,integrated,0.4629 +- 0.0038,0.6466 +- 0.0107,0.5143 +- 0.0029
12,init,MLP,neural,0.2796 +- 0.0028,0.2744 +- 0.0039,0.2774 +- 0.0013
13,data_only,MLP,neural,0.4136 +- 0.0040,0.1989 +- 0.0022,0.2273 +- 0.0026
14,ABL1_refl,MLP,neural,0.4286 +- 0.0004,0.3329 +- 0.0003,0.3638 +- 0.0002
15,ABL1_refine,MLP,neural,0.4286 +- 0.0004,0.6501 +- 0.0004,0.4809 +- 0.0004
16,ABL2_refl,MLP,neural,0.4139 +- 0.0024,0.6561 +- 0.0006,0.4665 +- 0.0025
17,ABL2_refine,MLP,neural,0.4139 +- 0.0024,0.6578 +- 0.0008,0.4666 +- 0.0025
18,init,MLP,integrated,0.2822 +- 0.0038,0.3553 +- 0.0037,0.3065 +- 0.0026
19,data_only,MLP,integrated,0.4227 +- 0.0004,0.4107 +- 0.0006,0.4164 +- 0.0002
20,ABL1_refl,MLP,integrated,0.4096 +- 0.0015,0.4596 +- 0.0092,0.4308 +- 0.0027
21,ABL1_refine,MLP,integrated,0.4107 +- 0.0013,0.6642 +- 0.0006,0.4636 +- 0.0013
22,ABL2_refl,MLP,integrated,0.4099 +- 0.0010,0.6645 +- 0.0003,0.4629 +- 0.0010
23,ABL2_refine,MLP,integrated,0.4099 +- 0.0009,0.6654 +- 0.0003,0.4629 +- 0.0010
