,stage,model,score,data consistency,kb consistency,balanced consistency
0,init,GNN,neural,0.2937 +- 0.0034,0.2085 +- 0.0015,0.2317 +- 0.0018
1,data_only,GNN,neural,0.3773 +- 0.0026,0.3605 +- 0.0024,0.3689 +- 0.0012
2,ABL1_refl,GNN,neural,0.3876 +- 0.0060,0.3714 +- 0.0269,0.3800 +- 0.0159
3,ABL1_refine,GNN,neural,0.3876 +- 0.0060,0.4520 +- 0.0070,0.4130 +- 0.0059
4,ABL2_refl,GNN,neural,0.3878 +- 0.0064,0.4668 +- 0.0235,0.4124 +- 0.0042
5,ABL2_refine,GNN,neural,0.3878 +- 0.0064,0.5348 +- 0.0069,0.4288 +- 0.0063
6,init,GNN,integrated,0.3151 +- 0.0006,0.3048 +- 0.0078,0.3095 +- 0.0045
7,data_only,GNN,integrated,0.3721 +- 0.0035,0.4930 +- 0.0055,0.4090 +- 0.0023
8,ABL1_refl,GNN,integrated,0.3766 +- 0.0139,0.4668 +- 0.0300,0.4055 +- 0.0043
9,ABL1_refine,GNN,integrated,0.3630 +- 0.0214,0.5456 +- 0.0341,0.4050 +- 0.0179
10,ABL2_refl,GNN,integrated,0.3650 +- 0.0206,0.5467 +- 0.0373,0.4069 +- 0.0167
11,ABL2_refine,GNN,integrated,0.3646 +- 0.0192,0.6190 +- 0.0262,0.4121 +- 0.0193
12,init,MLP,neural,0.2921 +- 0.0096,0.2151 +- 0.0067,0.2376 +- 0.0074
13,data_only,MLP,neural,0.3312 +- 0.0004,0.3371 +- 0.0009,0.3341 +- 0.0006
14,ABL1_refl,MLP,neural,0.3872 +- 0.0009,0.3708 +- 0.0006,0.3784 +- 0.0002
15,ABL1_refine,MLP,neural,0.3872 +- 0.0009,0.3836 +- 0.0067,0.3851 +- 0.0033
16,ABL2_refl,MLP,neural,0.3812 +- 0.0029,0.4025 +- 0.0020,0.3904 +- 0.0018
17,ABL2_refine,MLP,neural,0.3812 +- 0.0029,0.4045 +- 0.0038,0.3912 +- 0.0013
18,init,MLP,integrated,0.3038 +- 0.0078,0.2688 +- 0.0062,0.2831 +- 0.0068
19,data_only,MLP,integrated,0.3610 +- 0.0004,0.5257 +- 0.0014,0.4030 +- 0.0004
20,ABL1_refl,MLP,integrated,0.3616 +- 0.0009,0.5274 +- 0.0031,0.4037 +- 0.0007
21,ABL1_refine,MLP,integrated,0.3511 +- 0.0039,0.5974 +- 0.0075,0.3976 +- 0.0042
22,ABL2_refl,MLP,integrated,0.3511 +- 0.0042,0.5974 +- 0.0077,0.3977 +- 0.0044
23,ABL2_refine,MLP,integrated,0.3500 +- 0.0037,0.6008 +- 0.0047,0.3968 +- 0.0040
