,stage,model,score,data consistency,kb consistency,balanced consistency
0,init,GNN,neural,0.2243 +- 0.0024,0.3010 +- 0.0062,0.2478 +- 0.0026
1,data_only,GNN,neural,0.5840 +- 0.0002,0.3050 +- 0.0009,0.3477 +- 0.0009
2,ABL1_refl,GNN,neural,0.5406 +- 0.0016,0.3389 +- 0.0016,0.3821 +- 0.0016
3,ABL1_refine,GNN,neural,0.5406 +- 0.0016,0.6370 +- 0.0018,0.5773 +- 0.0017
4,ABL2_refl,GNN,neural,0.5399 +- 0.0024,0.6370 +- 0.0018,0.5772 +- 0.0018
5,ABL2_refine,GNN,neural,0.5399 +- 0.0024,0.6465 +- 0.0056,0.5787 +- 0.0012
6,init,GNN,integrated,0.2316 +- 0.0029,0.3429 +- 0.0064,0.2595 +- 0.0030
7,data_only,GNN,integrated,0.5450 +- 0.0010,0.3829 +- 0.0009,0.4262 +- 0.0008
8,ABL1_refl,GNN,integrated,0.4968 +- 0.0424,0.5010 +- 0.1134,0.4657 +- 0.0359
9,ABL1_refine,GNN,integrated,0.5250 +- 0.0047,0.6540 +- 0.0055,0.5693 +- 0.0050
10,ABL2_refl,GNN,integrated,0.5274 +- 0.0023,0.6581 +- 0.0013,0.5722 +- 0.0021
11,ABL2_refine,GNN,integrated,0.5282 +- 0.0023,0.6618 +- 0.0005,0.5736 +- 0.0018
12,init,MLP,neural,0.2206 +- 0.0050,0.2988 +- 0.0054,0.2439 +- 0.0044
13,data_only,MLP,neural,0.5804 +- 0.0005,0.2998 +- 0.0011,0.3419 +- 0.0012
14,ABL1_refl,MLP,neural,0.5386 +- 0.0003,0.3358 +- 0.0010,0.3788 +- 0.0010
15,ABL1_refine,MLP,neural,0.5386 +- 0.0003,0.6403 +- 0.0008,0.5768 +- 0.0003
16,ABL2_refl,MLP,neural,0.5283 +- 0.0016,0.6423 +- 0.0005,0.5692 +- 0.0012
17,ABL2_refine,MLP,neural,0.5283 +- 0.0016,0.6438 +- 0.0011,0.5698 +- 0.0011
18,init,MLP,integrated,0.2271 +- 0.0050,0.3425 +- 0.0055,0.2549 +- 0.0049
19,data_only,MLP,integrated,0.5406 +- 0.0002,0.3793 +- 0.0010,0.4223 +- 0.0009
20,ABL1_refl,MLP,integrated,0.5019 +- 0.0052,0.4567 +- 0.0124,0.4756 +- 0.0062
21,ABL1_refine,MLP,integrated,0.5206 +- 0.0008,0.6613 +- 0.0006,0.5672 +- 0.0008
22,ABL2_refl,MLP,integrated,0.5179 +- 0.0023,0.6618 +- 0.0003,0.5650 +- 0.0020
23,ABL2_refine,MLP,integrated,0.5181 +- 0.0023,0.6627 +- 0.0002,0.5654 +- 0.0019
