locus,symbol,data_idx,matrix_idx
b0142,folK,24,145
b0152,fhuD,25,155
b0171,pyrH,27,176
b0401,brnQ,54,423
b0420,dxs,58,442
b0524,lpxH,74,547
b0583,entD,79,615
b0588,fepC,80,621
b0606,ahpF,81,640
b0729,sucD,104,764
b0888,trxB,133,931
b0914,msbA,137,957
b0945,pyrD,145,988
b1019,efeB,160,1066
b1102,fhuE,168,1148
b1136,icd,173,1183
b1207,prs,176,1264
b1288,fabI,191,1361
b1605,ydgI,229,1709
b1927,amyA,273,2050
b2029,gnd,283,2156
b2041,rfbB,286,2168
b2174,lpxT,302,2306
b2175,mepS,303,2307
b2210,mqo,316,2342
b2498,upp,367,2642
b2528,iscA,370,2676
b2529,iscU,371,2677
b2530,iscS,372,2678
b2747,ispD,389,2897
b2796,sdaC,396,2948
b2942,metK,420,3102
b3255,accB,450,3419
b3397,nudE,460,3562
b3403,pck,461,3568
b3416,malQ,463,3581
b3417,malP,464,3582
b3732,atpD,512,3936
b3735,atpH,513,3939
b3738,atpB,515,3942
b3785,wzzE,521,3988
b4034,malE,563,4245
b4177,purA,594,4399
b4352,yjiA,617,4584
