,locus,symbol,isin_precise1k
1082,b1037,csgG,True
1083,b1038,csgF,True
1084,b1039,csgE,True
1085,b1040,csgD,True
1583,b1492,gadC,False
1584,b1493,gadB,False
2010,b1891,flhC,True
2011,b1892,flhD,True
2042,b1920,tcyJ,True
2043,b1921,fliZ,True
2044,b1922,fliA,True
3679,b3506,slp,False
3680,b3507,dctR,False
3681,b3508,yhiD,False
3682,b3509,hdeB,False
3683,b3510,hdeA,False
3686,b3512,gadE,True
3688,b3513,mdtE,False
3689,b3514,mdtF,False
3690,b3515,gadW,True
3692,b3516,gadX,True
3693,b3517,gadA,False
