locus,symbol
b4401,arcA
b3512,gadE
b4062,soxS
b3987,rpoB
b1477,yddM
b2687,luxS
b3346,yheO
b2265,menF
b1109,ndh
b2029,gnd
b2079,baeR
b1511,lsrK
b1516,lsrB
b1422,ydcI
b2741,rpoS
b0593,entC
b2217,rcsB
b3912,cpxR
b0002,thrA
b4004,zraR
b4025,pgi
b3961,oxyR
b1659,punR
b0150,fhuA
b3574,plaR
b0571,cusR
b0080,cra
b4112,basS
b2287,nuoB
b4039,ubiC
b3025,qseB
b3963,fabR
b0694,kdpE
b0439,lon
b0721,sdhC
b1187,fadR
b3755,yieP
b3708,tnaA
b0796,cecR
b2416,ptsI
b0683,fur
b3515,gadW
b1988,nac
b0447,decR
b0208,yafC
b0399,phoB
b2415,ptsH
b0978,appC
b0431,cyoB
b3405,ompR
b4063,soxR
b3919,tpiA
b0734,cydB
b0817,mntR
b1658,purR
b2125,btsR
b2220,atoC
b0724,sdhB
b2554,glrR
b1512,lsrR
b3516,gadX
b0113,pdhR
b0483,ybaQ
b3357,crp
b2157,yeiE
b1987,cbl
b2417,crr
b4388,serB
b3026,qseC
