,f1_initial_KB_combined_mean,f1_initial_KB_combined_tol,f1_closure_KB_combined_mean,f1_closure_KB_combined_tol,degree_assortativity_mean,degree_assortativity_tol,modularity_mean,modularity_tol
0,1.0,0.0,1.0,0.0,-0.1547,0.0,0.3172,0.0
1,0.6726,0.0,0.76504,0.0,-0.3307,0.0,0.1681,0.0
2,0.62626,0.0,0.73348,0.0,-0.3928,0.0,0.2193,0.0
3,0.59213,0.0,0.74007,0.0,-0.4514,0.0,0.2152,0.0
4,0.56569,0.0,0.73625,0.0,-0.4541,0.0,0.2203,0.0
5,0.53475,0.0,0.71705,0.0,-0.4287,0.0,0.2244,0.0
6,0.53989,0.0,0.67332,0.0,-0.3572,0.0,0.2119,0.0
7,0.53575,0.0,0.70197,0.0,-0.2883,0.0,0.2428,0.0
8,0.54057,0.0,0.68833,0.0,-0.2182,0.0,0.2424,0.0
9,0.51751,0.0,0.72688,0.0,-0.2366,0.0,0.3392,0.0
