,f1_initial_KB_combined_mean,f1_initial_KB_combined_tol,f1_closure_KB_combined_mean,f1_closure_KB_combined_tol,degree_assortativity_mean,degree_assortativity_tol,modularity_mean,modularity_tol
0,1.0,0.0,1.0,0.0,-0.1547,0.0,0.3172,0.0
1,0.51866,0.0,0.33103,0.0,-0.1239,0.0,0.2192,0.0
2,0.50748,0.0,0.33103,0.0,-0.0623,0.0,0.1983,0.0
3,0.52902,0.0,0.33103,0.0,-0.0364,0.0,0.3484,0.0
4,0.45229,0.0,0.33103,0.0,-0.1108,0.0,0.1717,0.0
5,0.49761,0.0,0.33103,0.0,-0.1578,0.0,0.2006,0.0
6,0.49505,0.0,0.33103,0.0,-0.2134,0.0,0.1925,0.0
7,0.42139,0.0,0.33103,0.0,-0.261,0.0,0.0712,0.0
8,0.61774,0.0,0.33103,0.0,-0.3129,0.0,0.304,0.0
9,0.37544,0.0,0.33103,0.0,-0.6003,0.0,0.3907,0.0
