,source,target,data_corr,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,n_sources,n_primary_sources,n_references,references_stripped
2246,JUN,CTNNB1,2.1414075,True,True,False,True,True,False,6,HINT:16007074;HINT:17146436;InnateDB:16007074;InnateDB:17146436;SPIKE:18347071;SPIKE_LC:18347071,HINT;InnateDB;SPIKE;SPIKE_LC,post_translational,4,3,3.0,16007074;17146436;18347071
192069,JUN,CTNNB1,2.1414075,True,True,False,False,False,False,2,CollecTRI:14706452;DoRothEA:14706452,CollecTRI;DoRothEA;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA,transcriptional,5,2,1.0,14706452
175788,JUN,GSTP1,2.7650223,True,True,False,True,True,False,5,CollecTRI:2112105;CollecTRI:8206948;CollecTRI:8702826;DoRothEA:8206948;TRRUST:8206948,CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,7,3,3.0,2112105;8206948;8702826
5664,JUN,FOS,0.07181435,True,True,False,False,False,False,107,BioGRID:11053448;BioGRID:15718494;BioGRID:16008525;BioGRID:17440114;BioGRID:18848838;BioGRID:22719067;BioGRID:22940826;BioGRID:34671206;BioGRID:7816143;CancerCellMap:10779323;CancerCellMap:9732876;DIP:18172215;DIP:7816143;HINT:10488148;HINT:11053448;HINT:11090181;HINT:15319445;HINT:15718494;HINT:15994313;HINT:16008525;HINT:16714286;HINT:16928824;HINT:17440114;HINT:18172215;HINT:18619508;HINT:18641343;HINT:18848838;HINT:20102225;HINT:20195357;HINT:21199371;HINT:21675959;HINT:23602568;HINT:24029232;HINT:25132599;HINT:26496610;HINT:31182485;HINT:33961781;HINT:34671206;HINT:7816143;HINT:8380166;HINT:8440710;HINT:8617242;HINT:8816797;HINT:8816798;HINT:9160889;HINT:9510247;HINT:9872330;HPRD:15867431;HPRD:16055710;HPRD:1631061;HPRD:16511568;HPRD:7816143;HPRD:9346889;InnateDB:18535250;InnateDB:18619508;IntAct:18172215;IntAct:20102225;IntAct:20195357;IntAct:20511396;IntAct:20936779;IntAct:21199371;IntAct:23602568;IntAct:23661758;IntAct:31515488;IntAct:7816143;IntAct:8617242;Lit-BM-17:10488148;Lit-BM-17:11053448;Lit-BM-17:11090181;Lit-BM-17:11431474;Lit-BM-17:15319445;Lit-BM-17:15718494;Lit-BM-17:15994313;Lit-BM-17:16008525;Lit-BM-17:16055710;Lit-BM-17:16714286;Lit-BM-17:16928824;Lit-BM-17:17440114;Lit-BM-17:18172215;Lit-BM-17:18848838;Lit-BM-17:20195357;Lit-BM-17:20410304;Lit-BM-17:20498278;Lit-BM-17:20511396;Lit-BM-17:20936779;Lit-BM-17:21199371;Lit-BM-17:21675959;Lit-BM-17:23602568;Lit-BM-17:23661758;Lit-BM-17:24029232;Lit-BM-17:25609649;Lit-BM-17:26186194;Lit-BM-17:26496610;Lit-BM-17:7816143;Lit-BM-17:8380166;Lit-BM-17:8440710;Lit-BM-17:8617242;Lit-BM-17:9160889;Lit-BM-17:9872330;Macrophage:16055710;NetPath:10779323;NetPath:8397339;NetPath:9732876;SPIKE:8397339;SPIKE:8617242;SPIKE_LC:8397339;SPIKE_LC:8617242,BioGRID;CancerCellMap;Cui2007;DIP;HINT;HPRD;InnateDB;IntAct;Lit-BM-17;Macrophage;NetPath;SPIKE;SPIKE_LC;Wang,post_translational,14,13,54.0,10488148;10779323;11053448;11090181;11431474;15319445;15718494;15867431;15994313;16008525;16055710;1631061;16511568;16714286;16928824;17440114;18172215;18535250;18619508;18641343;18848838;20102225;20195357;20410304;20498278;20511396;20936779;21199371;21675959;22719067;22940826;23602568;23661758;24029232;25132599;25609649;26186194;26496610;31182485;31515488;33961781;34671206;7816143;8380166;8397339;8440710;8617242;8816797;8816798;9160889;9346889;9510247;9732876;9872330
147747,JUN,FOS,0.07181435,True,True,False,True,True,False,26,CollecTRI:10521486;CollecTRI:10858536;CollecTRI:11950097;CollecTRI:12231642;CollecTRI:12392213;CollecTRI:12760745;CollecTRI:1380150;CollecTRI:14561487;CollecTRI:14684847;CollecTRI:15467742;CollecTRI:1900040;CollecTRI:19255142;CollecTRI:1944274;CollecTRI:23562910;CollecTRI:2498806;CollecTRI:2511006;CollecTRI:2513130;CollecTRI:8597411;CollecTRI:8617996;CollecTRI:8934539;CollecTRI:9217081;CollecTRI:9571041;CollecTRI:9819441;CollecTRI:9867253;PAZAR:12760745;PAZAR:9571041,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;PAZAR;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA,transcriptional,11,3,24.0,10521486;10858536;11950097;12231642;12392213;12760745;1380150;14561487;14684847;15467742;1900040;19255142;1944274;23562910;2498806;2511006;2513130;8597411;8617996;8934539;9217081;9571041;9819441;9867253
90967,JUN,FOSB,0.040507365,True,True,False,True,True,False,4,HINT:25609649;HINT:29020630;HINT:33961781;HINT:35271311,HINT;Wang,post_translational,2,2,4.0,25609649;29020630;33961781;35271311
158351,EGR1,ATF3,0.026819922,True,True,False,True,True,False,8,CollecTRI:16079301;CollecTRI:16489044;CollecTRI:17764926;CollecTRI:18719024;CollecTRI:21205742;HTRIdb:16489044;TRRUST:16489044;TRRUST:21205742,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;FANTOM4_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,14,4,5.0,16079301;16489044;17764926;18719024;21205742
143385,EGR1,FN1,0.0038314175,True,True,False,True,True,False,9,CollecTRI:10783396;CollecTRI:15608673;CollecTRI:16138117;CollecTRI:9933644;HTRIdb:15608673;HTRIdb:9933644;TRRUST:10783396;TRRUST:15608673;TRRUST:9933644,CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,15,4,4.0,10783396;15608673;16138117;9933644
159458,EGR1,ALOX5,0.01532567,True,True,True,True,True,False,10,CollecTRI:10436859;CollecTRI:15517885;CollecTRI:16364163;CollecTRI:9062372;CollecTRI:9698605;CollecTRI:9806899;HTRIdb:10436859;TRRUST:10436859;TRRUST:15517885;TRRUST:9062372,CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,15,4,6.0,10436859;15517885;16364163;9062372;9698605;9806899
191891,CEBPB,CSF3R,5.613194,True,True,False,True,True,False,4,CollecTRI:10453008;CollecTRI:20659895;DoRothEA:10453008;TRRUST:10453008,CollecTRI;DoRothEA;ENCODE-proximal;GEREDB_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,9,4,2.0,10453008;20659895
