index,locus,growth
1,b0002,0.4279905842071474
2,b0003,0.4518752824220515
3,b0004,0.5737234652897304
4,b0005,0.35161744022503516
5,b0006,0.0468406014333224
6,b0007,0.28616397195593074
7,b0008,0.3126465530717524
8,b0009,0.43802014892685054
9,b0010,0.5743825387708213
10,b0011,0.5284015852047556
11,b0012,0.43029259896729777
12,b0013,0.44772778150884257
13,b0014,0.49788399302962416
14,b0015,0.6035003017501509
17,b4412,0.45506257110352677
19,b0019,0.2518257365902795
20,b0020,0.6512536633018561
23,b0023,0.5485463521667581
24,b0024,0.36616623947272064
25,b0025,0.25163563160543534
26,b0026,0.437636761487965
27,b0027,0.2586652871184687
28,b0028,0.5227391531625719
29,b0029,0.5714285714285714
30,b0030,0.5732301519059902
31,b0031,0.4755111745126011
32,b0032,0.4659832246039143
33,b0033,0.44994375703037115
34,b0034,0.4465282429113641
35,b0035,0.5640157924421884
36,b0036,0.42194092827004215
37,b0037,0.38842493688094776
38,b0038,0.4697040864255519
39,b0039,0.6205398696866274
40,b0040,0.36350418029807346
41,b0041,0.41657987919183503
42,b0042,0.4439511653718091
43,b0043,0.4859086491739553
44,b0044,0.5281225244256668
45,b0045,0.37002775208140615
46,b0046,0.4276245456489203
47,b0047,0.39385584875935414
48,b0048,0.42069835927639887
49,b0049,0.40992006558721056
50,b0050,0.5616399887672002
51,b0051,0.5402485143165856
52,b0052,0.44414834554741284
53,b0053,0.35580857498665713
54,b0054,0.04466678577809541
55,b0055,0.42372881355932196
56,b0056,0.6702412868632708
57,b0057,0.4812319538017324
58,b0058,0.6607201850016517
59,b0059,0.39207998431680063
60,b0060,0.36536353671903543
61,b0061,0.47585058291696414
62,b0062,0.6581112207963147
63,b0063,0.5053057099545225
64,b0064,0.14552863275849523
65,b0065,0.13354700854700854
66,b0066,0.5606952621250351
67,b0067,0.2101281781886951
68,b0068,0.42544139544777704
70,b0069,0.4045307443365696
73,b0070,0.5059448520111307
74,b0071,0.46674445740956827
75,b0072,0.4349717268377555
76,b0073,0.4981320049813201
77,b0074,0.6495615459564793
78,b0075,0.5026388539834129
79,b0076,0.3968253968253968
81,b0077,0.4610419548178884
82,b0078,0.4934616333580064
83,b0080,0.4289084280506112
84,b0081,0.3771450122572129
85,b0082,0.46663555762949144
86,b0083,0.3866976024748646
87,b0084,0.1972386587771203
89,b0085,0.630119722747322
90,b0086,0.4679457182966776
91,b0087,0.24533856722276745
92,b0088,0.4526935264825714
93,b0089,0.19916351324437365
94,b0090,0.5243838489774515
95,b0091,0.4586104104563174
96,b0092,0.47080979284369123
97,b0093,0.06617257808364214
98,b0094,0.4977600796416128
99,b0095,0.36140224069389226
100,b0096,0.07503564192991671
101,b0097,0.17702248185519562
102,b0098,0.28534741047224993
103,b0099,0.5667327854916407
104,b0101,0.42078687144961074
105,b0102,0.25480952987641736
106,b0103,0.5032712632108707
108,b0104,0.468384074941452
109,b0106,0.4094165813715456
110,b0107,0.5020080321285141
111,b0108,0.5126890540886953
112,b0109,0.4191993292810732
113,b0110,0.4681647940074906
114,b0111,0.6361323155216285
115,b0112,0.13016596160104132
116,b0113,0.4158868787689749
117,b0114,0.6101281269066504
118,b0115,0.5271481286241434
119,b0116,0.5151983513652757
120,b0117,0.499001996007984
121,b0118,0.43715846994535523
122,b0119,0.5033979360684622
123,b0120,0.3658982802780827
124,b0121,0.4733727810650888
125,b0122,0.4083299305839118
126,b0123,0.5
127,b0124,0.42835724994645535
128,b0125,0.2667377967457989
129,b0126,0.3716781267422412
130,b0127,0.45433893684688775
131,b0128,0.33178500331785
132,b0129,0.4709206498704968
133,b0130,0.4008016032064128
134,b0131,0.561955605507165
136,b0133,0.4437541601952519
137,b0134,0.43122035360068994
138,b0135,0.23046784973496195
139,b0136,0.0904649900488511
140,b0137,0.42562247286656735
141,b0138,0.38872691933916426
142,b0139,0.48157958102576454
143,b0140,0.37814331631688414
144,b0141,0.4341219882787064
145,b0142,0.531632110579479
146,b0143,0.5592841163310962
148,b0145,0.6521030322791
149,b0146,0.4093327875562833
150,b0147,0.4158868787689749
151,b0148,0.4850836769342711
152,b0149,0.2656042496679947
153,b0150,0.09404241312832087
154,b0151,0.49751243781094534
155,b0152,0.6002400960384154
156,b0153,0.42616663115278075
157,b0154,0.46739892498247254
159,b0155,0.3965107057890563
161,b0156,0.5063291139240506
162,b0157,0.26727248429774153
163,b0158,0.5979073243647235
164,b0159,0.6961364427427775
165,b0160,0.18513375914097935
166,b0161,0.4404316229905307
167,b0162,0.5035246727089627
168,b0163,0.45829514207149397
169,b0164,0.5603810591202018
170,b0166,0.46926325668700136
171,b0167,0.5387931034482759
172,b0168,0.6335128286347799
174,b0169,0.29739776951672864
175,b0170,0.4777830864787387
176,b0171,0.49407114624505927
177,b0172,0.47927150730889045
178,b0173,0.49103854652590223
180,b0174,0.18533963488091929
180,b0174,0.4859086491739553
181,b0175,0.3615328994938539
182,b0176,0.11613727425817316
183,b0177,0.4777830864787387
184,b0178,0.634719136781974
185,b0179,0.5336179295624333
186,b0180,0.2883090673201672
187,b0181,0.5247966413014957
188,b0182,0.648508430609598
189,b0183,0.6633499170812603
190,b0184,0.3816065636328945
191,b0185,0.5366246310705661
192,b0186,0.562271577171774
193,b0187,0.5099439061703213
194,b0188,0.354295837023915
195,b0189,0.5212405525149857
196,b4406,0.5296610169491526
197,b0190,1.0070493454179255
198,b0191,0.46307015512850197
199,b0192,0.5112474437627812
200,b0193,0.5112474437627812
201,b0194,0.4646840148698885
202,b0195,0.5737234652897304
203,b0196,0.43365134431916735
204,b0197,0.7656967840735068
205,b0198,0.1383891502906172
206,b0199,0.4135649296939619
207,b0200,0.3714710252600297
214,b0207,0.3268507926131721
215,b0208,0.33484011384563866
216,b0209,0.5227391531625719
217,b0210,0.2179788996425146
218,b0211,0.29801817910892564
219,b0212,0.2458210422812193
221,b0213,0.40774719673802245
222,b0214,0.4168403501458941
223,b0215,0.47675804529201427
225,b0217,0.4668534080298786
227,b0218,0.40642145905303806
228,b4503,0.42589437819420783
229,b0219,0.4586104104563173
230,b0220,0.4131377814501136
231,b0221,0.1758860258552458
232,b0222,0.41788549937317176
233,b0223,0.45248868778280543
234,b0224,0.3860258637328701
235,b0225,0.3432887058015791
236,b0226,0.4586104104563174
237,b0227,0.6103143118706134
238,b0228,0.4421843908910016
239,b0229,0.1551229349259288
240,b0230,0.49103854652590223
241,b0231,0.31451486082717406
242,b0232,0.2966918854769322
243,b0233,0.226808800181447
244,b0234,0.0626330953275711
245,b0235,0.38752179810114323
246,b0236,0.36954915003695493
247,b0237,0.38138825324180015
248,b0238,0.32970656116056707
249,b0239,0.2995805871779509
250,b0240,0.2687088539567379
253,b0241,0.4443457009553433
254,b0242,0.37467216185837393
255,b0243,0.31746031746031744
258,b0245,0.3588087549336204
259,b0246,0.44238000442380004
260,b4504,0.3615982643283312
261,b0247,0.315357931251971
262,b0248,0.34417484081913613
263,b0249,0.4384042086804033
264,b0250,0.281135788585887
265,b0251,0.29398794649419374
268,b0252,0.42194092827004215
269,b0253,0.3750937734433608
270,b0254,0.4231908590774439
