,locus,symbol,ncbi,metadata_idx,semisup_idx,iml1515_idx,precise1k_idx
0,b0001,thrL,['NC_000913.3_cds_NP_414542.1_1'],[],-1,-1,0
1,b0002,thrA,['NC_000913.3_cds_NP_414543.1_2'],[],0,0,1
2,b0003,thrB,['NC_000913.3_cds_NP_414544.1_3'],[],1,1,2
3,b0004,thrC,['NC_000913.3_cds_NP_414545.1_4'],[],2,2,3
4,b0005,yaaX,['NC_000913.3_cds_NP_414546.1_5'],[],3,-1,4
5,b0006,yaaA,['NC_000913.3_cds_NP_414547.1_6'],[],4,-1,5
6,b0007,yaaJ,['NC_000913.3_cds_NP_414548.1_7'],[],5,3,6
7,b0008,talB,['NC_000913.3_cds_NP_414549.1_8'],[],6,4,7
8,b0009,mog,['NC_000913.3_cds_NP_414550.1_9'],[],7,5,8
9,b0010,satP,['NC_000913.3_cds_NP_414551.1_10'],[],8,6,9
10,b0011,yaaW,['NC_000913.3_cds_NP_414552.1_11'],[],9,-1,10
11,b0012,mbiA,['NC_000913.3_cds_YP_009518733.1_12'],[],10,-1,11
12,b0013,yaaI,['NC_000913.3_cds_NP_414554.1_13'],[],11,-1,12
13,b0014,dnaK,['NC_000913.3_cds_NP_414555.1_14'],[],12,-1,13
14,b0015,dnaJ,['NC_000913.3_cds_NP_414556.1_15'],[],13,-1,14
15,b0016,insL1,['NC_000913.3_cds_NP_414557.1_16'],[],-1,-1,15
16,b0018,mokC,['NC_000913.3_cds_NP_414559.1_17'],[],-1,-1,16
17,b4412,hokC,['NC_000913.3_cds_YP_025292.1_18'],[],14,-1,17
18,b4413,sokC,[],[],-1,-1,-1
19,b0019,nhaA,['NC_000913.3_cds_NP_414560.1_19'],[],15,7,18
20,b0020,nhaR,['NC_000913.3_cds_NP_414561.1_20'],[],16,-1,19
21,b0021,insB1,['NC_000913.3_cds_NP_414562.1_21'],[],-1,-1,20
22,b0022,insA1,['NC_000913.3_cds_NP_414563.1_22'],[],-1,-1,21
23,b0023,rpsT,['NC_000913.3_cds_NP_414564.1_23'],[],17,-1,22
24,b0024,yaaY,['NC_000913.3_cds_NP_414565.1_24'],[],18,-1,23
25,b0025,ribF,['NC_000913.3_cds_NP_414566.1_25'],[],19,8,24
26,b0026,ileS,['NC_000913.3_cds_NP_414567.1_26'],[],20,-1,25
27,b0027,lspA,['NC_000913.3_cds_NP_414568.1_27'],[],21,-1,26
28,b0028,fkpB,['NC_000913.3_cds_NP_414569.1_28'],[],22,-1,27
29,b0029,ispH,['NC_000913.3_cds_NP_414570.1_29'],[],23,9,28
