gene_name,vector_idx
AP006222.2,0
RP11-54O7.16,1
RP11-54O7.1,2
RP11-54O7.3,3
SAMD11,4
HES4,5
ISG15,6
TTLL10,7
TNFRSF18,8
TNFRSF4,9
SDF4,10
CCNL2,11
RP4-758J18.13,12
ATAD3C,13
RP11-345P4.9,14
MIB2,15
MMP23B,16
CALML6,17
RP5-892K4.1,18
RP11-181G12.2,19
AL590822.2,20
RP3-395M20.12,21
TNFRSF14,22
RP11-46F15.2,23
SMIM1,24
LINC01134,25
ESPN,26
TNFRSF9,27
ERRFI1,28
RERE,29
ENO1,30
H6PD,31
CTNNBIP1,32
KIF1B,33
RP4-635E18.8,34
RP4-635E18.7,35
FBXO44,36
MTHFR,37
TMEM51,38
EFHD2,39
CELA2A,40
RP4-680D5.2,41
SLC25A34,42
FBLIM1,43
RP11-169K16.9,44
SPEN,45
HSPB7,46
EPHA2,47
NECAP2,48
RP4-798A10.7,49
NBPF1,50
RP1-20B21.4,51
ACTL8,52
RP1-43E13.2,53
MINOS1-NBL1,54
TMCO4,55
PLA2G2C,56
UBXN10-AS1,57
PINK1-AS,58
DDOST,59
HP1BP3,60
EIF4G3,61
KDM1A,62
HNRNPR,63
C1orf213,64
ID3,65
FUCA1,66
RUNX3,67
SYF2,68
C1orf63,69
RP3-465N24.6,70
RHCE,71
RP1-187B23.1,72
RP1-317E23.3,73
AL020996.1,74
RP1-317E23.7,75
PAQR7,76
STMN1,77
SLC30A2,78
CATSPER4,79
SH3BGRL3,80
CD52,81
AIM1L,82
LIN28A,83
DHDDS,84
HMGN2,85
FAM46B,86
SYTL1,87
WASF2,88
IFI6,89
PTAFR,90
RP5-1092A3.4,91
SESN2,92
SNHG12,93
RAB42,94
RP11-442N24__B.1,95
GMEB1,96
YTHDF2,97
EPB41,98
SRSF4,99
RP11-242O24.5,100
LAPTM5,101
SDC3,102
PUM1,103
FABP3,104
TINAGL1,105
SPOCD1,106
KHDRBS1,107
TXLNA,108
CCDC28B,109
LCK,110
MARCKSL1,111
TSSK3,112
FAM229A,113
BSDC1,114
SYNC,115
RP11-114B7.6,116
KIAA1522,117
TMEM54,118
ZMYM1,119
SFPQ,120
ZMYM4,121
CLSPN,122
AGO4,123
AGO1,124
THRAP3,125
EVA1B,126
OSCP1,127
CSF3R,128
LINC01137,129
ZC3H12A,130
DNALI1,131
CDCA8,132
FHL3,133
POU3F1,134
RP5-884C9.2,135
RRAGC,136
RHBDL2,137
MACF1,138
KIAA0754,139
RP1-118J21.25,140
CAP1,141
RLF,142
TMCO2,143
RP1-39G22.7,144
COL9A2,145
SMAP2,146
RIMS3,147
NFYC-AS1,148
SLFNL1,149
FOXO6,150
HIVEP3,151
PPCS,152
CCDC30,153
LEPRE1,154
SLC2A1-AS1,155
CDC20,156
RP11-7O11.3,157
ATP6V0B,158
C1orf228,159
KIF2C,160
RP11-269F19.2,161
RPS8,162
TCTEX1D4,163
BTBD19,164
PTCH2,165
EIF2B3,166
ZSWIM5,167
TESK2,168
PRDX1,169
NASP,170
CCDC17,171
PIK3R3,172
LINC00505,173
EFCAB14,174
CYP4A22-AS1,175
LINC00853,176
PDZK1IP1,177
FOXE3,178
FOXD2-AS1,179
RP5-850O15.4,180
CDKN2C,181
RP11-296A18.3,182
RNF11,183
RP11-275F13.1,184
EPS15,185
RP11-191G24.1,186
NRD1,187
RP4-657D16.3,188
TXNDC12,189
RP11-91A18.4,190
ZFYVE9,191
ZCCHC11,192
ECHDC2,193
RP11-117D22.2,194
TMEM59,195
RP11-446E24.4,196
ACOT11,197
TMEM61,198
MYSM1,199
JUN,200
RP11-776H12.1,201
RP5-833A20.1,202
USP1,203
RP4-792G4.2,204
JAK1,205
RP4-535B20.1,206
LEPROT,207
WDR78,208
MIER1,209
GADD45A,210
GNG12-AS1,211
DEPDC1,212
CTH,213
PTGER3,214
RP3-333A15.1,215
RP11-17E13.2,216
SLC44A5,217
FUBP1,218
DNAJB4,219
TTLL7,220
RP11-486G15.2,221
PRKACB,222
CTBS,223
SSX2IP,224
BCL10,225
ZNHIT6,226
ODF2L,227
CLCA1,228
SH3GLB1,229
RP4-604K5.3,230
RP4-604K5.2,231
LMO4,232
PKN2,233
GTF2B,234
GBP1,235
GBP2,236
LRRC8B,237
ZNF326,238
KIAA1107,239
RPAP2,240
EVI5,241
FNBP1L,242
BCAR3,243
DNTTIP2,244
RWDD3,245
FRRS1,246
LRRC39,247
DBT,248
S1PR1,249
RP5-1065J22.8,250
SCARNA2,251
SARS,252
PSRC1,253
MYBPHL,254
SORT1,255
GSTM5,256
GSTM3,257
RP11-195M16.3,258
CSF1,259
RP5-1074L1.4,260
CD53,261
RP11-96K19.2,262
LRIF1,263
DENND2D,264
CHI3L2,265
OVGP1,266
C1orf162,267
FAM212B,268
CTTNBP2NL,269
ST7L,270
RP11-426L16.3,271
RHOC,272
RP11-426L16.8,273
RP11-31F15.2,274
PHTF1,275
AP4B1-AS1,276
RP5-1073O3.7,277
SYT6,278
TRIM33,279
SLC22A15,280
AL136376.1,281
RP5-1086K13.1,282
CD58,283
MAN1A2,284
FAM46C,285
WDR3,286
RP11-418J17.1,287
PHGDH,288
FCGR1B,289
RP11-417J8.3,290
RP11-423O2.5,291
RP11-435B5.3,292
RP11-640M9.1,293
PDE4DIP,294
AL590452.1,295
NBPF10,296
HFE2,297
TXNIP,298
POLR3GL,299
CD160,300
PDZK1,301
RP11-337C18.8,302
RP11-337C18.9,303
RP11-495P10.8,304
RP6-74O6.6,305
NBPF15,306
NBPF16,307
RP11-14N7.2,308
RP11-353N4.1,309
FCGR1A,310
RP11-196G18.24,311
HIST2H2BE,312
HIST2H2AC,313
SV2A,314
MTMR11,315
PLEKHO1,316
ANP32E,317
RP4-790G17.7,318
PRPF3,319
RPRD2,320
ECM1,321
LINC00568,322
RP11-54A4.2,323
MCL1,324
CTSS,325
CTSK,326
FAM63A,327
C1orf56,328
CDC42SE1,329
MLLT11,330
TNFAIP8L2,331
LYSMD1,332
PSMD4,333
SELENBP1,334
TUFT1,335
RP11-98D18.1,336
RP11-98D18.17,337
S100A10,338
S100A11,339
FLG2,340
PRR9,341
PGLYRP4,342
S100A9,343
S100A5,344
S100A4,345
S100A3,346
S100A2,347
S100A16,348
S100A14,349
S100A13,350
S100A1,351
GATAD2B,352
RP11-422P24.10,353
RAB13,354
RPS27,355
TPM3,356
HAX1,357
AQP10,358
IL6R,359
ADAR,360
RP11-307C12.13,361
PBXIP1,362
CKS1B,363
EFNA1,364
ASH1L,365
SYT11,366
RIT1,367
KIAA0907,368
ARHGEF2,369
RP11-336K24.12,370
SSR2,371
RAB25,372
LMNA,373
PAQR6,374
C1orf61,375
RP11-98G7.1,376
MEF2D,377
GPATCH4,378
RP11-284F21.9,379
BCAN,380
RP11-284F21.10,381
RP11-284F21.7,382
NES,383
CRABP2,384
SH2D2A,385
NTRK1,386
ARHGEF11,387
ETV3,388
RP11-85G21.3,389
IFI16,390
DUSP23,391
CCDC19,392
ATP1A2,393
ATP1A4,394
PEA15,395
RP11-574F21.2,396
COPA,397
NHLH1,398
SLAMF6,399
CD84,400
SLAMF1,401
CD244,402
ITLN1,403
ITLN2,404
TSTD1,405
ARHGAP30,406
PVRL4,407
ADAMTS4,408
FCER1G,409
MPZ,410
RP11-122G18.5,411
RP11-122G18.8,412
FCGR2A,413
HSPA6,414
ATF6,415
NOS1AP,416
UHMK1,417
NUF2,418
PBX1,419
TMCO1,420
RP11-276E17.2,421
POU2F1,422
CREG1,423
RCSD1,424
RP1-313L4.3,425
MPC2,426
RP5-968D22.1,427
ATP1B1,428
KIFAP3,429
FMO4,430
PRRC2C,431
SUCO,432
GAS5-AS1,433
RABGAP1L,434
GPR52,435
CACYBP,436
RP11-195C7.1,437
C1orf220,438
RP5-1098D14.1,439
RP11-428K3.1,440
RALGPS2,441
ABL2,442
AXDND1,443
TOR1AIP2,444
TOR1AIP1,445
CEP350,446
QSOX1,447
KIAA1614,448
STX6,449
MR1,450
IER5,451
RP11-309G3.3,452
RNASEL,453
RGS16,454
RP11-317P15.4,455
NPL,456
DHX9,457
SMG7,458
NCF2,459
ARPC5,460
COLGALT2,461
TSEN15,462
FAM129A,463
TPR,464
PLA2G4A,465
CDC73,466
B3GALT2,467
LINC01031,468
RP11-476H20.1,469
CFH,470
CFHR3,471
ASPM,472
ZBTB41,473
PTPRC,474
LINC00862,475
ZNF281,476
KIF14,477
RP11-92G12.3,478
CAMSAP2,479
RPS10P7,480
NAV1,481
IPO9-AS1,482
SHISA4,483
RP11-307B6.3,484
ELF3,485
ARL8A,486
PTPN7,487
UBE2T,488
PPP1R12B,489
KDM5B,490
PPFIA4,491
CHIT1,492
RP11-134P9.3,493
BTG2,494
PRELP,495
ATP2B4,496
ZC3H11A,497
ZBED6,498
SOX13,499
PLEKHA6,500
MDM4,501
RP11-430C7.4,502
NFASC,503
TMCC2,504
NUAK2,505
KLHDC8A,506
CDK18,507
NUCKS1,508
AC119673.1,509
RP11-312O7.2,510
RP11-38J22.3,511
C1orf186,512
CTSE,513
IKBKE,514
RASSF5,515
MAPKAPK2,516
IL24,517
PIGR,518
YOD1,519
CD55,520
CR2,521
CR1L,522
CD46,523
NEK2,524
LPGAT1,525
DTL,526
RP11-15I11.3,527
PPP2R5A,528
RP11-384C4.7,529
NENF,530
ATF3,531
TATDN3,532
RPS6KC1,533
PROX1,534
PTPN14,535
CENPF,536
RP11-224O19.2,537
EPRS,538
IARS2,539
MARC2,540
HLA-AS1,541
DUSP10,542
MIA3,543
RP11-378J18.8,544
BROX,545
CAPN2,546
TP53BP2,547
WDR26,548
CNIH3,549
LBR,550
RP11-285F7.2,551
TMEM63A,552
LEFTY1,553
LEFTY2,554
SDE2,555
ACBD3,556
PARP1,557
CDC42BPA,558
ZNF678,559
WNT9A,560
C1orf145,561
OBSCN,562
RP11-245P10.6,563
RHOU,564
RP5-1061H20.4,565
RP4-803J11.2,566
GALNT2,567
RP5-956O18.3,568
FAM89A,569
TRIM67,570
MAP10,571
SLC35F3,572
IRF2BP2,573
LINC01132,574
ARID4B,575
GNG4,576
ERO1LB,577
LGALS8,578
HEATR1,579
ACTN2,580
RYR2,581
CHRM3,582
KMO,583
OPN3,584
CHML,585
EXO1,586
CEP170,587
SDCCAG8,588
AKT3,589
ZBTB18,590
C1orf100,591
HNRNPU-AS1,592
HNRNPU,593
SMYD3,594
RP11-690C23.2,595
CNST,596
AHCTF1,597
ZNF670,598
ZNF124,599
RP11-488L18.8,600
OR2T33,601
OR2T6,602
ZNF672,603
TRAPPC12-AS1,604
AC017076.5,605
RSAD2,606
RP11-439M11.1,607
AC011747.4,608
ID2,609
KIDINS220,610
ASAP2,611
IAH1,612
ADAM17,613
RP11-214N9.1,614
RP11-254F7.4,615
RRM2,616
HPCAL1,617
ODC1,618
RN7SL832P,619
ATP6V1C2,620
PDIA6,621
ROCK2,622
LINC00570,623
LPIN1,624
AC096559.1,625
TRIB2,626
NBAS,627
MYCNOS,628
MYCN,629
FAM49A,630
SMC6,631
AC092594.1,632
TTC32,633
RP11-79O8.1,634
SDC1,635
RHOB,636
AC012065.7,637
KLHL29,638
ATAD2B,639
C2orf44,640
FAM228B,641
FAM228A,642
ITSN2,643
ADCY3,644
RP11-458N5.1,645
ASXL2,646
CENPA,647
AGBL5-AS1,648
RP11-195B17.1,649
OST4,650
CGREF1,651
CAD,652
UCN,653
EIF2B4,654
NRBP1,655
KRTCAP3,656
FNDC4,657
GCKR,658
C2orf16,659
FOSL2,660
RP11-373D23.3,661
PLB1,662
PPP1CB,663
SPDYA,664
WDR43,665
FAM179A,666
YPEL5,667
LBH,668
CTC-336P14.1,669
SPAST,670
RP11-563N4.1,671
AL133245.2,672
BIRC6,673
LTBP1,674
RASGRP3,675
CRIM1,676
AC007382.1,677
STRN,678
EIF2AK2,679
CDC42EP3,680
SRSF7,681
MAP4K3,682
AC007246.3,683
TMEM178A,684
PKDCC,685
AC083949.1,686
EML4,687
ZFP36L2,688
AC010883.5,689
