,pert,pert_idx,data_start_idx,data_end_idx+1,de_idx
0,"['CREB1', 'ctrl']",[1653],0,472,"[162, 355, 910, 938, 978, 1481, 1815, 1822, 1929, 2195, 2196, 2197, 2644, 2791, 2998, 3300, 3986, 4314, 4742, 4853]"
1,['ctrl'],[-1],472,24735,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2,"['ZNF326', 'ctrl']",[9437],24735,25252,"[162, 238, 355, 910, 978, 1481, 1822, 1929, 2194, 2195, 2196, 2197, 2644, 2791, 2998, 3300, 3986, 4314, 4742, 4853]"
3,"['BHLHE40', 'ctrl']",[782],25252,25756,"[162, 265, 355, 454, 910, 963, 978, 1481, 1822, 1929, 2195, 2197, 2644, 2791, 2998, 3300, 3986, 4314, 4742, 4853]"
4,"['DDIT3', 'ctrl']",[1881],25756,26191,"[131, 162, 355, 910, 978, 1481, 1822, 1929, 2195, 2196, 2197, 2644, 2791, 2998, 3300, 3701, 3986, 4314, 4742, 4853]"
5,"['OST4', 'ctrl']",[5429],26191,26715,"[162, 355, 650, 745, 910, 978, 1022, 1481, 1532, 1929, 2644, 3576, 3721, 3917, 4533, 4614, 4742, 4767, 4811, 4853]"
6,"['SEC61A1', 'ctrl']",[7070],26715,27677,"[158, 409, 910, 938, 1132, 1481, 1929, 2195, 2456, 2987, 3008, 3277, 3848, 4047, 4533, 4767, 4771, 4794, 4878, 4901]"
7,"['EIF2B4', 'ctrl']",[2297],27677,28222,"[80, 228, 288, 654, 910, 1481, 1929, 2086, 2499, 2969, 2987, 2998, 3277, 3380, 3576, 3721, 3845, 3848, 4556, 4614]"
8,"['IER3IP1', 'ctrl']",[3612],28222,29489,"[355, 621, 910, 1022, 1481, 1675, 1929, 2640, 3008, 3277, 3358, 3576, 3715, 3721, 3757, 4422, 4533, 4649, 4767, 4853]"
9,"['YIPF5', 'ctrl']",[9118],29489,30671,"[162, 355, 621, 745, 910, 1481, 1622, 1929, 2644, 3008, 3277, 3576, 3715, 3721, 4533, 4614, 4649, 4742, 4767, 4853]"
10,"['HARS', 'ctrl']",[3256],30671,30943,"[288, 783, 938, 1481, 1613, 2086, 2990, 2998, 3034, 3277, 3380, 3721, 3845, 3848, 4063, 4202, 4496, 4596, 4720, 4896]"
11,"['DAD1', 'ctrl']",[1813],30943,31561,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2644, 3277, 3523, 3576, 3721, 3917, 4533, 4614, 4742, 4767, 4811, 4853]"
12,"['DARS', 'ctrl']",[1822],31561,32111,"[531, 808, 910, 1481, 1822, 2195, 2499, 2969, 2987, 2998, 3380, 3576, 3845, 3949, 4202, 4528, 4533, 4553, 4614, 4901]"
13,"['IDH3A', 'ctrl']",[3604],32111,32651,"[162, 355, 745, 910, 978, 1481, 1822, 1929, 2195, 2998, 3277, 3576, 3721, 3795, 3917, 4533, 4614, 4742, 4767, 4853]"
14,"['IARS2', 'ctrl']",[3586],32651,33574,"[288, 339, 539, 910, 938, 1481, 2987, 2998, 3277, 3380, 3576, 3721, 3845, 3848, 3949, 4202, 4528, 4533, 4567, 4614]"
