gene_name,vector_idx
A1BG-AS1,0
AAK1,1
AAMDC,2
AARS,3
AASDHPPT,4
ABCA2,5
ABCA5,6
ABCA7,7
ABCA8,8
ABCB6,9
ABCB7,10
ABCB8,11
ABCC10,12
ABCC4,13
ABCD4,14
ABHD13,15
ABHD15,16
ABHD2,17
ABHD3,18
ABHD5,19
ABI1,20
ABTB1,21
AC000068.10,22
AC000068.5,23
AC002117.1,24
AC002480.2,25
AC002480.3,26
AC002539.1,27
AC004069.2,28
AC004158.2,29
AC004447.2,30
AC004463.6,31
AC004466.1,32
AC004510.3,33
AC004540.5,34
AC004837.5,35
AC004854.4,36
AC005019.3,37
AC005076.5,38
AC005253.2,39
AC005256.1,40
AC005306.3,41
AC005534.8,42
AC005592.2,43
AC005618.6,44
AC006116.17,45
AC006116.20,46
AC006262.5,47
AC006369.2,48
AC006486.1,49
AC006547.15,50
AC006547.8,51
AC007038.7,52
AC007204.2,53
AC007246.3,54
AC007308.6,55
AC007382.1,56
AC007383.3,57
AC007383.4,58
AC007405.4,59
AC007405.6,60
AC007551.3,61
AC008174.3,62
AC008271.1,63
AC008443.1,64
AC008746.12,65
AC009120.6,66
AC009892.10,67
AC010525.7,68
AC010883.5,69
AC010894.3,70
AC011551.3,71
AC011891.5,72
AC012487.2,73
AC015849.2,74
AC016629.8,75
AC016723.4,76
AC016831.7,77
AC016885.1,78
AC016995.3,79
AC020571.3,80
AC022007.5,81
AC022400.2,82
AC023347.1,83
AC023490.1,84
AC026202.3,85
AC026740.1,86
AC062017.1,87
AC062029.1,88
AC063976.3,89
AC064834.1,90
AC068039.4,91
AC068499.10,92
AC072062.1,93
AC074212.3,94
AC074212.5,95
AC074391.1,96
AC079466.1,97
AC079807.2,98
AC083843.1,99
AC084018.1,100
AC084219.4,101
AC084809.3,102
AC090186.1,103
AC090587.5,104
AC093157.1,105
AC093375.1,106
AC093388.3,107
AC093627.9,108
AC096559.1,109
AC098820.4,110
AC098973.2,111
AC100830.4,112
AC105760.2,113
AC112721.1,114
AC115618.1,115
AC132872.2,116
AC137932.1,117
AC139100.2,118
ACAA2,119
ACAD10,120
ACADM,121
ACADVL,122
ACAP2,123
ACAP3,124
ACAT1,125
ACAT2,126
ACBD3,127
ACBD4,128
ACCS,129
ACER3,130
ACKR2,131
ACN9,132
ACO2,133
ACOX1,134
ACP2,135
ACP5,136
ACP6,137
ACPP,138
ACRBP,139
ACRC,140
ACSBG1,141
ACSF2,142
ACSL3,143
ACSL5,144
ACSL6,145
ACSM1,146
ACSM2B,147
ACSM3,148
ACSS1,149
ACTC1,150
ACTG1,151
ACTL6A,152
ACTL8,153
ACTR10,154
ACTR1A,155
ACTR3C,156
ACTR6,157
ACVR1,158
ACVR1B,159
ACVR1C,160
ACVR2A,161
ACVR2B,162
ACVRL1,163
ADAM10,164
ADAM15,165
ADAM17,166
ADAM32,167
ADAM8,168
ADAM9,169
ADAMTS10,170
ADAMTS14,171
ADAMTS6,172
ADAMTSL4,173
ADCK2,174
ADCK3,175
ADCK5,176
ADCY10,177
ADCY7,178
ADD3,179
ADM2,180
ADPGK,181
ADPRHL1,182
ADRM1,183
ADSSL1,184
ADTRP,185
AE000662.93,186
AF001548.5,187
AF127936.3,188
AF129408.17,189
AFF4,190
AGA,191
AGBL3,192
AGER,193
AGGF1,194
AGMAT,195
AGMO,196
AGO3,197
AGO4,198
AGPAT4,199
AGPAT5,200
AGPAT6,201
AGPAT9,202
AGRN,203
AGTRAP,204
AHNAK,205
AHSP,206
AIF1,207
AIFM1,208
AIG1,209
AIM2,210
AIMP1,211
AK9,212
AKAP10,213
AKAP11,214
AKAP12,215
AKAP5,216
AKAP9,217
AKIRIN2,218
AKNA,219
AKR1B1,220
AKR1C1,221
AKR1C2,222
AKR1C3,223
AKTIP,224
AL133245.2,225
AL161915.1,226
AL359091.2,227
AL590452.1,228
AL592183.1,229
AL627309.1,230
AL773604.8,231
ALAS1,232
ALAS2,233
ALB,234
ALDH18A1,235
ALDH1A1,236
ALDH1A2,237
ALDH1L2,238
ALDH2,239
ALDH5A1,240
ALDH6A1,241
ALDH9A1,242
ALDOC,243
ALG1,244
ALG10,245
ALG1L,246
ALG5,247
ALG6,248
ALG8,249
ALG9,250
ALOX12,251
ALOX5,252
AMFR,253
AMHR2,254
AMIGO2,255
AMMECR1,256
AMOTL1,257
AMT,258
ANAPC16,259
ANAPC4,260
ANAPC7,261
ANGEL2,262
ANGPT1,263
ANGPT2,264
ANGPTL6,265
ANK3,266
ANKAR,267
ANKDD1B,268
ANKHD1-EIF4EBP3,269
ANKLE2,270
ANKMY1,271
ANKRA2,272
ANKRD11,273
ANKRD12,274
ANKRD18B,275
ANKRD23,276
ANKRD26,277
ANKRD28,278
ANKRD33,279
ANKRD36C,280
ANKRD45,281
ANKRD49,282
ANKRD55,283
ANKS3,284
ANKZF1,285
ANO10,286
ANO6,287
ANO8,288
ANTXR2,289
ANXA1,290
ANXA2,291
ANXA2R,292
ANXA3,293
ANXA5,294
ANXA6,295
ANXA7,296
ANXA9,297
AP000253.1,298
AP000442.4,299
AP000688.8,300
AP000692.10,301
AP000705.7,302
AP000769.7,303
AP001171.1,304
AP001372.2,305
AP001412.1,306
AP001462.6,307
AP003733.1,308
AP003900.6,309
AP004550.1,310
AP006216.10,311
AP1M2,312
AP1S2,313
AP3M2,314
APBB2,315
APBB3,316
APH1B,317
APLF,318
APLNR,319
APLP1,320
APLP2,321
APMAP,322
APOA2,323
APOBEC3B,324
APOBEC3G,325
APOBR,326
APOC1,327
APOE,328
APOL1,329
APOL3,330
APOL6,331
APOLD1,332
APOM,333
APPL2,334
AQP1,335
AQP10,336
AQP3,337
AREG,338
ARF4,339
ARG2,340
ARGLU1,341
ARHGAP15,342
ARHGAP18,343
ARHGAP27,344
ARHGAP33,345
ARHGAP42,346
ARHGAP44,347
ARHGAP5,348
ARHGAP6,349
ARHGAP9,350
ARHGEF12,351
ARHGEF2,352
ARHGEF37,353
ARHGEF40,354
ARHGEF6,355
ARID2,356
ARID4A,357
ARID5B,358
ARIH2OS,359
ARL14EP,360
ARL4A,361
ARL4D,362
ARL6IP1,363
ARL6IP5,364
ARL6IP6,365
ARMC12,366
ARMC3,367
ARMCX1,368
ARMCX3,369
ARMCX5,370
ARMCX6,371
ARPC5,372
ARRDC3,373
ARRDC4,374
ARSA,375
ARSB,376
ARV1,377
ASAH1,378
ASAP3,379
ASCC1,380
ASCC3,381
ASGR1,382
ASH1L,383
ASIC1,384
ASIC3,385
ASIC4,386
ASNS,387
ASPH,388
ASPM,389
ASS1,390
ASTE1,391
ASTN2,392
ATAD1,393
ATAD2,394
ATAD3C,395
ATAD5,396
ATF3,397
ATF4,398
ATF5,399
ATF6,400
ATF6B,401
ATF7IP,402
ATF7IP2,403
ATG16L2,404
ATG2A,405
ATG2B,406
ATG9A,407
ATG9B,408
ATHL1,409
ATIC,410
ATM,411
ATP11A,412
ATP11B,413
ATP11C,414
ATP13A1,415
ATP13A2,416
ATP13A3,417
ATP1A1,418
ATP1B1,419
ATP1B3,420
ATP2A1,421
ATP2A2,422
ATP2A3,423
ATP2B1,424
ATP2C1,425
ATP6AP1,426
ATP6AP1L,427
ATP6AP2,428
ATP6V0A1,429
ATP6V0A2,430
ATP6V0B,431
ATP6V0E1,432
ATP6V0E2-AS1,433
ATP6V1D,434
ATP6V1H,435
ATP9B,436
ATRAID,437
ATRN,438
ATRX,439
ATXN10,440
ATXN3,441
AUP1,442
AURKA,443
AURKB,444
AURKC,445
AVIL,446
AZI1,447
AZU1,448
B2M,449
B3GALT1,450
B3GALT4,451
B3GALTL,452
B3GAT3,453
B3GNT1,454
B3GNT5,455
B3GNT8,456
B3GNTL1,457
B4GALNT1,458
B4GALNT4,459
B4GALT1,460
B4GALT3,461
B4GALT4,462
BAAT,463
BACH1,464
BACH1-IT2,465
BAG2,466
BAI3,467
BAIAP3,468
BAMBI,469
BAZ2B,470
BBC3,471
BBS12,472
BBS2,473
BBS4,474
BBX,475
BCAP31,476
BCAS3,477
BCAS4,478
BCDIN3D-AS1,479
BCKDHA,480
BCKDHB,481
BCL10,482
BCL2L13,483
BCL2L15,484
BCL3,485
BCL6,486
BDH2,487
BEND7,488
BEX1,489
BEX2,490
BEX4,491
BEX5,492
BFSP1,493
BHLHE40,494
BIK,495
BLM,496
BLVRA,497
BLVRB,498
BLZF1,499
BMF,500
BMP1,501
BMP10,502
BMP2K,503
BMPR1A,504
BMPR2,505
BMX,506
BNIP3L,507
BNIPL,508
BOD1L1,509
BOK-AS1,510
BOLA3,511
BOLL,512
BOP1,513
BRAT1,514
BRCA1,515
BRCA2,516
BRD3,517
BRD8,518
BRIP1,519
BRIX1,520
BRSK1,521
BSDC1,522
BSG,523
BSN-AS2,524
BST2,525
BTBD10,526
BTBD19,527
BTBD8,528
BTD,529
BTG1,530
BTG2,531
BTN2A2,532
BTN3A1,533
BTNL9,534
BUB1,535
BUB1B,536
BUB3,537
BYSL,538
BZRAP1,539
C10orf128,540
C10orf54,541
C10orf71-AS1,542
C11orf54,543
C11orf65,544
C11orf85,545
C12orf10,546
C12orf5,547
C12orf56,548
C12orf57,549
C12orf60,550
C12orf61,551
C12orf76,552
C12orf79,553
C14orf182,554
C14orf2,555
C14orf37,556
C14orf39,557
C15orf52,558
C15orf60,559
C16orf86,560
C16orf98,561
C17orf103,562
C17orf104,563
C17orf51,564
C17orf75,565
C17orf99,566
C18orf56,567
C18orf8,568
C19orf38,569
C19orf57,570
C19orf66,571
C19orf67,572
C19orf73,573
C19orf77,574
C1GALT1,575
C1GALT1C1,576
C1QL4,577
C1RL,578
C1orf100,579
C1orf112,580
C1orf116,581
C1orf213,582
C1orf226,583
C1orf229,584
C1orf27,585
C1orf35,586
C1orf54,587
C1orf56,588
C1orf61,589
C1orf63,590
C1orf85,591
C2,592
C20orf194,593
C20orf203,594
C21orf119,595
C21orf49,596
C21orf58,597
C22orf46,598
C2CD2L,599
C2ORF15,600
C2orf82,601
C3,602
C3AR1,603
C3orf33,604
C3orf58,605
C4orf21,606
C4orf27,607
C4orf32,608
C5AR1,609
C5orf15,610
C5orf28,611
C5orf34,612
C5orf54,613
C5orf55,614
C5orf56,615
C5orf66,616
C6orf1,617
C6orf100,618
C6orf163,619
C6orf211,620
C6orf48,621
C6orf89,622
C7orf61,623
C7orf63,624
C8G,625
C8orf22,626
C8orf37,627
C8orf44,628
C9orf135,629
C9orf163,630
C9orf37,631
C9orf47,632
C9orf66,633
C9orf9,634
CA1,635
CA13,636
CA8,637
CACFD1,638
CACNA1I,639
CACYBP,640
CALB1,641
CALCOCO1,642
CALCOCO2,643
CALM2,644
CALR,645
CALU,646
CAMLG,647
CAMSAP3,648
CAND1,649
CANX,650
CAPG,651
CAPN10-AS1,652
CAPNS2,653
CAPS,654
CARD9,655
CARF,656
CARS,657
CASC11,658
CASC5,659
CASP7,660
CASP9,661
CATSPER1,662
CAV1,663
CBL,664
CBLB,665
CBLN3,666
CBR4,667
CBS,668
CBWD3,669
CCBL2,670
CCDC101,671
CCDC113,672
CCDC114,673
CCDC121,674
CCDC127,675
CCDC130,676
CCDC134,677
CCDC14,678
CCDC142,679
CCDC144NL,680
CCDC15,681
CCDC152,682
CCDC154,683
CCDC155,684
CCDC159,685
CCDC163P,686
CCDC17,687
CCDC173,688
CCDC174,689
CCDC18,690
CCDC180,691
CCDC19,692
CCDC26,693
CCDC28A,694
CCDC30,695
CCDC47,696
CCDC66,697
CCDC67,698
CCDC7,699
CCDC71L,700
CCDC73,701
CCDC77,702
CCDC80,703
CCDC85B,704
CCDC92,705
CCDC96,706
CCER2,707
CCHCR1,708
CCL26,709
CCL5,710
CCNA2,711
CCNB1,712
CCNB1IP1,713
CCNB2,714
CCND1,715
CCNDBP1,716
CCNG2,717
CCNH,718
CCNL1,719
CCNT2,720
CCP110,721
CCPG1,722
CCR10,723
CCR7,724
CCRL2,725
CCSER2,726
CCT2,727
CCT5,728
CCT6B,729
CCT8,730
CD151,731
CD164,732
CD164L2,733
CD19,734
CD226,735
CD320,736
CD33,737
CD37,738
CD3D,739
CD40,740
CD44,741
CD46,742
CD47,743
CD52,744
CD53,745
CD55,746
CD58,747
CD59,748
CD63,749
CD68,750
CD69,751
CD70,752
CD74,753
CD79A,754
CD80,755
CD81,756
CD82,757
CD84,758
CD9,759
CD93,760
CD96,761
CD97,762
CD99,763
CD99L2,764
CDA,765
CDC16,766
CDC20,767
CDC25C,768
CDC40,769
CDC42BPA,770
CDC42EP3,771
CDC45,772
CDC6,773
CDCA2,774
CDCA3,775
CDCA7,776
CDCA8,777
CDCP1,778
CDH23,779
CDK1,780
CDK10,781
CDK11B,782
CDK5RAP1,783
CDK5RAP2,784
CDK5RAP3,785
CDK7,786
CDK9,787
CDKN2C,788
CDKN3,789
CDNF,790
CDRT4,791
CDS2,792
CEBPA,793
CEBPB,794
CEBPE,795
CEBPG,796
CEBPZ,797
CECR5,798
CELSR3,799
CENPA,800
CENPC,801
CENPE,802
CENPF,803
CENPK,804
CENPL,805
CENPQ,806
CENPU,807
CEP152,808
CEP350,809
CEP41,810
CEP44,811
CEP55,812
CEP57,813
CEP68,814
CEPT1,815
CERS2,816
CERS4,817
CERS5,818
CES3,819
CES5A,820
CETN2,821
CETN3,822
CFH,823
CFHR3,824
CFP,825
CHAC1,826
CHD1L,827
CHD2,828
CHD6,829
CHD9,830
CHEK2,831
CHID1,832
CHML,833
CHMP1B,834
CHMP4C,835
CHPF,836
CHPF2,837
CHRNA10,838
CHRNA5,839
CHST11,840
CHST12,841
CHST2,842
CHST3,843
CIR1,844
CIRBP,845
CISD3,846
CIT,847
CITED2,848
CITED4,849
CITF22-1A6.3,850
CITF22-92A6.1,851
CKAP2,852
CKAP2L,853
CKAP5,854
CKM,855
CKMT1A,856
CKS2,857
CLASP2,858
CLC,859
CLCC1,860
CLCN3,861
CLCN4,862
CLCN7,863
CLDN12,864
CLDN6,865
CLDN7,866
CLDND1,867
CLDND2,868
CLEC11A,869
CLEC18B,870
CLEC2B,871
CLEC2D,872
CLEC2L,873
CLGN,874
CLHC1,875
CLIC2,876
CLIC3,877
CLIC4,878
CLIP1,879
CLIP2,880
CLK1,881
CLK4,882
CLN3,883
CLN5,884
CLN8,885
CLPB,886
CLPTM1L,887
CLPX,888
CLSPN,889
CLSTN1,890
CLU,891
CLUAP1,892
CLUL1,893
CLVS2,894
CLYBL,895
CMKLR1,896
CMPK2,897
CMTM3,898
CMTM6,899
CMTM7,900
CMTR1,901
CMTR2,902
CMYA5,903
CNBP,904
CNEP1R1,905
CNIH1,906
CNIH3,907
CNKSR1,908
CNNM2,909
CNNM4,910
CNOT4,911
CNOT6,912
CNPY4,913
CNRIP1,914
CNTNAP2,915
CNTRL,916
COCH,917
COG1,918
COG4,919
COG5,920
COL14A1,921
COL15A1,922
COL18A1,923
COL6A3,924
COL6A5,925
COL9A1,926
COL9A2,927
COL9A3,928
COLEC11,929
COLGALT1,930
COLGALT2,931
COMMD3,932
COMT,933
COPB1,934
COPG1,935
COQ6,936
COQ7,937
CORO1A,938
CORO1B,939
CORO6,940
CORO7,941
COTL1,942
COX15,943
COX16,944
COX6A1,945
COX6A1P2,946
CPAMD8,947
CPB2-AS1,948
CPD,949
CPEB4,950
CPED1,951
CPNE1,952
CPNE3,953
CPNE8,954
CPOX,955
CPQ,956
CPSF3,957
CPT2,958
CR1,959
CR1L,960
CR2,961
CRABP2,962
CRADD,963
CREB1,964
CREB3L1,965
CREB3L2,966
CREB3L4,967
CREB5,968
CREBRF,969
CREBZF,970
CREG1,971
CRELD1,972
CRELD2,973
CREM,974
CRISP3,975
CROCC,976
CRTAP,977
CRY1,978
CRYAB,979
CRYBA4,980
CRYBB1,981
CRYGS,982
CRYL1,983
CRYM,984
CRYZL1,985
CSF3R,986
CSMD1,987
CSPG5,988
CSPP1,989
CSRP2,990
CSRP3,991
CSTA,992
CSTF2T,993
CSTF3,994
CSTF3-AS1,995
CT55,996
CT64,997
CTA-204B4.2,998
CTA-212D2.2,999
CTA-250D10.23,1000
CTA-29F11.1,1001
CTA-363E19.2,1002
CTA-392E5.1,1003
CTA-445C9.14,1004
CTAG2,1005
CTAGE5,1006
CTB-113P19.5,1007
CTB-118N6.3,1008
CTB-129O4.1,1009
CTB-129P6.11,1010
CTB-131K11.1,1011
CTB-138E5.1,1012
CTB-13F3.1,1013
CTB-161K23.1,1014
CTB-25B13.9,1015
CTB-31O20.2,1016
CTB-50L17.16,1017
CTB-55O6.12,1018
CTB-58E17.1,1019
CTBS,1020
CTC-241N9.1,1021
CTC-250I14.6,1022
CTC-251D13.1,1023
CTC-260E6.6,1024
CTC-332L22.1,1025
CTC-338M12.2,1026
CTC-340A15.2,1027
CTC-366B18.2,1028
CTC-425F1.4,1029
CTC-428G20.6,1030
CTC-444N24.11,1031
CTC-444N24.6,1032
CTC-459F4.1,1033
CTC-498J12.3,1034
CTC-499J9.1,1035
CTC-507E2.1,1036
CTC-508F8.1,1037
CTC-550B14.7,1038
CTCFL,1039
CTD-2006H14.2,1040
CTD-2008L17.2,1041
CTD-2012K14.6,1042
CTD-2012K14.7,1043
CTD-2017D11.1,1044
CTD-2020K17.1,1045
CTD-2020K17.3,1046
CTD-2024D23.1,1047
CTD-2031P19.3,1048
CTD-2033C11.1,1049
CTD-2034I4.2,1050
CTD-2035E11.5,1051
CTD-2044J15.2,1052
CTD-2116N20.1,1053
CTD-2134P3.1,1054
CTD-2165H16.4,1055
CTD-2171N6.1,1056
CTD-2199O4.6,1057
CTD-2201E18.5,1058
CTD-2227E11.1,1059
CTD-2235C13.3,1060
CTD-2245F17.3,1061
CTD-2260A17.2,1062
CTD-2287O16.5,1063
CTD-2319I12.2,1064
CTD-2325A15.5,1065
CTD-2349P21.5,1066
CTD-2349P21.9,1067
CTD-2376I4.2,1068
CTD-2532N20.1,1069
CTD-2541M15.1,1070
CTD-2544M6.2,1071
CTD-2555C10.3,1072
CTD-2561B21.11,1073
CTD-2562J17.2,1074
CTD-2576D5.4,1075
CTD-2587H24.10,1076
CTD-2588C8.8,1077
CTD-2589H19.6,1078
CTD-2619J13.19,1079
CTD-2619J13.23,1080
CTD-2623N2.11,1081
CTD-3051D23.4,1082
CTD-3064M3.1,1083
CTD-3065J16.9,1084
CTD-3073N11.9,1085
CTD-3074O7.12,1086
CTD-3088G3.8,1087
CTD-3184A7.4,1088
CTD-3193K9.4,1089
CTD-3194G12.2,1090
CTD-3203P2.2,1091
CTH,1092
CTHRC1,1093
CTNNB1,1094
CTNNBL1,1095
CTNS,1096
CTR9,1097
CTSA,1098
CTSB,1099
CTSC,1100
CTSD,1101
CTSF,1102
CTSH,1103
CTSK,1104
CTSL,1105
CTSS,1106
CTTNBP2NL,1107
CUL7,1108
CUL9,1109
CUX1,1110
CWF19L2,1111
CXCL1,1112
CXCL11,1113
CXCL2,1114
CXCL3,1115
CXCL5,1116
CXorf24,1117
CYB561A3,1118
CYB561D2,1119
CYB5D2,1120
CYB5R1,1121
CYBA,1122
CYFIP2,1123
CYHR1,1124
CYLD,1125
CYP20A1,1126
CYP26A1,1127
CYP27B1,1128
CYP2R1,1129
CYP3A5,1130
CYP4A22-AS1,1131
CYP4V2,1132
CYP51A1,1133
CYR61,1134
CYTH1,1135
CYTH2,1136
D2HGDH,1137
DAAM1,1138
DAB2,1139
DACT1,1140
DAK,1141
DAPP1,1142
DARC,1143
DARS2,1144
DBN1,1145
DBT,1146
DCAF13,1147
DCAF4L1,1148
DCAF5,1149
DCAF6,1150
DCAF8,1151
DCBLD1,1152
DCHS2,1153
DCLRE1A,1154
DCLRE1C,1155
DCP2,1156
DCTPP1,1157
DCUN1D3,1158
DCUN1D5,1159
DDAH2,1160
DDB2,1161
DDIT3,1162
DDIT4,1163
DDOST,1164
DDR1,1165
DDRGK1,1166
DDTL,1167
DDX18,1168
DDX19B,1169
DDX26B-AS1,1170
DDX28,1171
DDX39A,1172
DDX39B,1173
DDX39B-AS1,1174
DDX42,1175
DDX5,1176
DDX6,1177
DECR1,1178
DEF6,1179
DEGS1,1180
DEGS2,1181
DENND1B,1182
DENND2C,1183
DENND4A,1184
DEPDC1,1185
DEPDC4,1186
DERL1,1187
DERL2,1188
DERL3,1189
DES,1190
DET1,1191
DFNA5,1192
DGAT1,1193
DGAT2,1194
DGCR2,1195
DGCR8,1196
DGKA,1197
DGKD,1198
DHCR24,1199
DHCR7,1200
DHDH,1201
DHH,1202
DHPS,1203
DHRS1,1204
DHRS12,1205
DHRS13,1206
DHRS2,1207
DHRS3,1208
DHRS4,1209
DHRS7,1210
DHRS7B,1211
DHRS9,1212
DHTKD1,1213
DHX32,1214
DHX57,1215
DIAPH1,1216
DIAPH3,1217
DICER1-AS1,1218
DIP2B,1219
DIRAS3,1220
DIRC2,1221
DIS3,1222
DKFZP779L1853,1223
DKKL1,1224
DLD,1225
DLG1-AS1,1226
DLG2,1227
DLGAP1,1228
DLGAP1-AS1,1229
DLGAP1-AS2,1230
DLGAP5,1231
DLK1,1232
DLK2,1233
DLX2,1234
DMD,1235
DMGDH,1236
DMTF1,1237
DNA2,1238
DNAH12,1239
DNAH3,1240
DNAJA1,1241
DNAJB11,1242
DNAJB12,1243
DNAJB14,1244
DNAJB2,1245
DNAJB5,1246
DNAJB9,1247
DNAJC1,1248
DNAJC10,1249
DNAJC12,1250
DNAJC15,1251
DNAJC16,1252
DNAJC18,1253
DNAJC3,1254
DNAJC3-AS1,1255
DNAJC4,1256
DNALI1,1257
DNASE1,1258
DNASE1L1,1259
DNASE2,1260
DND1,1261
DNHD1,1262
DNM3,1263
DNMBP,1264
DNTTIP1,1265
DOCK2,1266
DOCK7,1267
DOCK8,1268
DOCK9-AS2,1269
DOLK,1270
DOPEY1,1271
DOPEY2,1272
DPAGT1,1273
DPEP2,1274
DPH5,1275
DPM1,1276
DPY19L1,1277
DPY19L3,1278
DPY19L4,1279
DQX1,1280
DRAM1,1281
DRAM2,1282
DRD4,1283
DSC2,1284
DSC3,1285
DSCR10,1286
DSCR8,1287
DSCR9,1288
DSE,1289
DSG2,1290
DST,1291
DSTYK,1292
DTL,1293
DTNBP1,1294
DTX3L,1295
DUOX1,1296
DUSP1,1297
DUSP10,1298
DUSP11,1299
DUSP21,1300
DUSP8,1301
DUT,1302
DXO,1303
DYNC1H1,1304
DYNC1I2,1305
DYNC1LI2,1306
DYNC2LI1,1307
DYNLL1,1308
DYNLT3,1309
DYRK1B,1310
DYSF,1311
DYX1C1,1312
DZIP3,1313
E2F1,1314
E2F4,1315
EAPP,1316
EBLN1,1317
EBLN2,1318
EBP,1319
EBPL,1320
ECE1,1321
ECH1,1322
ECM1,1323
ECT2,1324
EDARADD,1325
EDEM1,1326
EDEM2,1327
EDEM3,1328
EED,1329
EEF1A2,1330
EEF2,1331
EFCAB10,1332
EFCAB13,1333
EFCAB5,1334
EFCAB7,1335
EFHB,1336
EFHC1,1337
EFHC2,1338
EGFL7,1339
EGFL8,1340
EGR1,1341
