,pert,pert_idx,data_start_idx,data_end_idx+1,de_idx
0,"['CREB1', 'ctrl']",[1653],0,2210,"[387, 398, 621, 1162, 1163, 1345, 1346, 1355, 1363, 1611, 1921, 2571, 2728, 3838, 3924, 3936, 4058, 4392, 4601, 4679]"
1,"['GABPA', 'ctrl']",[2896],2210,3699,"[621, 1162, 1163, 1345, 1346, 1363, 1611, 1642, 1863, 1921, 2571, 2728, 2913, 3838, 3924, 3936, 3984, 4055, 4058, 4679]"
2,"['IRF1', 'ctrl']",[3753],3699,4881,"[398, 399, 621, 1162, 1163, 1345, 1355, 1363, 1611, 1921, 2253, 2571, 3838, 3867, 3936, 3984, 4055, 4058, 4307, 4679]"
3,"['ELK1', 'ctrl']",[2345],4881,9602,"[621, 1162, 1163, 1345, 1360, 1611, 1796, 1799, 1863, 1968, 2390, 2571, 2728, 3838, 3867, 3924, 3936, 4055, 4058, 4679]"
4,['ctrl'],[-1],9602,21644,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
5,"['ELF1', 'ctrl']",[2340],21644,25039,"[398, 399, 621, 1162, 1163, 1345, 1363, 1611, 1642, 1698, 1921, 2571, 2728, 3838, 3924, 3936, 4055, 4058, 4601, 4679]"
6,"['E2F4', 'ctrl']",[2202],25039,26399,"[387, 621, 1162, 1163, 1345, 1355, 1363, 1611, 1642, 1698, 1921, 2571, 3838, 3845, 3936, 4055, 4058, 4307, 4601, 4679]"
7,"['YY1', 'ctrl']",[9141],26399,28097,"[151, 1162, 1163, 1345, 1355, 1362, 1698, 1795, 1796, 1804, 1863, 2204, 2571, 2624, 2728, 3838, 3851, 4058, 4587, 4751]"
8,"['EGR1', 'ctrl']",[2270],28097,30037,"[399, 621, 796, 1162, 1163, 1345, 1363, 1514, 1611, 1642, 1921, 2571, 3838, 3867, 3936, 3984, 4058, 4601, 4679, 4772]"
9,"['NR2C2', 'ctrl']",[5232],30037,31577,"[387, 398, 399, 621, 1162, 1163, 1345, 1363, 1611, 1642, 1698, 1921, 2204, 2571, 2624, 3838, 3924, 4055, 4601, 4679]"
10,"['CIT', 'ctrl']",[1427],31577,33386,"[387, 399, 1162, 1163, 1345, 1362, 1363, 1480, 1611, 1656, 1698, 2571, 2713, 3093, 3924, 3984, 4130, 4240, 4601, 4679]"
11,"['OGG1', 'ctrl']",[5374],33386,36047,"[387, 399, 1162, 1163, 1345, 1362, 1363, 1611, 1656, 1698, 2405, 2571, 2713, 3093, 3838, 3924, 3984, 4240, 4601, 4679]"
12,"['ECT2', 'ctrl']",[2232],36047,37131,"[387, 399, 1162, 1163, 1345, 1362, 1363, 1480, 1611, 1656, 1698, 2571, 2713, 3892, 3924, 3984, 4130, 4240, 4601, 4679]"
13,"['CENPE', 'ctrl']",[1286],37131,38513,"[387, 399, 1162, 1163, 1345, 1362, 1363, 1480, 1611, 1656, 1698, 2012, 2571, 2713, 3924, 3984, 4130, 4240, 4601, 4679]"
14,"['CEP55', 'ctrl']",[1314],38513,41325,"[387, 399, 1162, 1163, 1345, 1362, 1363, 1611, 1656, 1698, 2405, 2571, 2713, 3093, 3838, 3924, 3984, 4240, 4601, 4679]"
15,"['AURKA', 'ctrl']",[669],41325,41647,"[180, 387, 826, 1092, 1162, 1163, 1345, 1362, 1363, 1611, 1656, 1698, 2012, 2571, 3093, 3892, 3924, 3984, 4130, 4240]"
16,"['AURKB', 'ctrl']",[671],41647,42290,"[387, 399, 826, 1092, 1162, 1163, 1345, 1362, 1363, 1611, 1656, 2405, 2571, 2713, 3892, 3924, 3984, 4240, 4601, 4679]"
17,"['TOR1AIP1', 'ctrl']",[8411],42290,42768,"[399, 826, 1092, 1162, 1163, 1345, 1362, 1363, 1480, 1611, 1656, 2012, 2571, 2713, 2910, 3093, 3892, 3924, 3984, 4130]"
18,"['RACGAP1', 'ctrl']",[6414],42768,43401,"[387, 399, 1092, 1162, 1163, 1345, 1362, 1363, 1480, 1611, 1656, 2012, 2571, 3093, 3316, 3892, 3924, 3984, 4601, 4679]"
