gene_id,gene_name
ENSG00000239945,RP11-34P13.8
ENSG00000223764,RP11-54O7.3
ENSG00000187634,SAMD11
ENSG00000187642,PERM1
ENSG00000188290,HES4
ENSG00000187608,ISG15
ENSG00000273443,RP11-54O7.18
ENSG00000237330,RNF223
ENSG00000223823,LINC01342
ENSG00000205231,TTLL10-AS1
ENSG00000186891,TNFRSF18
ENSG00000186827,TNFRSF4
ENSG00000169962,TAS1R3
ENSG00000235098,ANKRD65
ENSG00000189409,MMP23B
ENSG00000269737,RP11-345P4.7
ENSG00000169885,CALML6
ENSG00000271806,RP5-892K4.1
ENSG00000234396,RP11-181G12.4
ENSG00000149527,PLCH2
ENSG00000272449,RP3-395M20.12
ENSG00000238164,RP3-395M20.8
ENSG00000157873,TNFRSF14
ENSG00000215912,TTC34
ENSG00000078900,TP73
ENSG00000235169,SMIM1
ENSG00000272153,RP1-286D6.5
ENSG00000116254,CHD5
ENSG00000225077,LINC00337
ENSG00000158292,GPR153
ENSG00000069812,HES2
ENSG00000187017,ESPN
ENSG00000173662,TAS1R1
ENSG00000270171,RP11-338N10.1
ENSG00000049249,TNFRSF9
ENSG00000232912,RP5-1115A15.1
ENSG00000228423,RP4-633I8.4
ENSG00000074800,ENO1
ENSG00000131686,CA6
ENSG00000180758,GPR157
ENSG00000228526,MIR34AHG
ENSG00000234546,RP3-510D11.2
ENSG00000049239,H6PD
ENSG00000179840,PIK3CD-AS1
ENSG00000280113,AL357140.1
ENSG00000142657,PGD
ENSG00000175262,C1orf127
ENSG00000277726,RP4-635E18.9
ENSG00000009724,MASP2
ENSG00000271895,RP4-635E18.8
ENSG00000116649,SRM
ENSG00000162490,DRAXIN
ENSG00000177000,MTHFR
ENSG00000162493,PDPN
ENSG00000175147,TMEM51-AS1
ENSG00000233485,RP3-467K16.2
ENSG00000228140,RP3-467K16.4
ENSG00000142634,EFHD2
ENSG00000142615,CELA2A
ENSG00000215704,CELA2B
ENSG00000271742,RP4-680D5.9
ENSG00000224621,RP11-276H7.3
ENSG00000261135,RP4-798A10.7
ENSG00000271732,RP5-1182A14.5
ENSG00000280226,AC004824.2
ENSG00000230424,RP1-43E13.2
ENSG00000188257,PLA2G2A
ENSG00000117215,PLA2G2D
ENSG00000187980,PLA2G2C
ENSG00000117242,PINK1-AS
ENSG00000236936,RP3-329E20.2
ENSG00000142789,CELA3A
ENSG00000070831,CDC42
ENSG00000162552,WNT4
ENSG00000173369,C1QB
ENSG00000249087,ZNF436-AS1
ENSG00000235052,RP1-150O5.3
ENSG00000117318,ID3
ENSG00000197880,MDS2
ENSG00000117305,HMGCL
ENSG00000179163,FUCA1
ENSG00000188822,CNR2
ENSG00000142677,IL22RA1
ENSG00000230023,RP11-10N16.2
ENSG00000020633,RUNX3
ENSG00000233755,RP4-799D16.1
ENSG00000231953,RP4-706G24.1
ENSG00000117614,SYF2
ENSG00000117616,RSRP1
ENSG00000233478,RP1-187B23.1
ENSG00000182749,PAQR7
ENSG00000117632,STMN1
ENSG00000158008,EXTL1
ENSG00000158022,TRIM63
ENSG00000142669,SH3BGRL3
ENSG00000169442,CD52
ENSG00000176083,ZNF683
ENSG00000198830,HMGN2
ENSG00000117713,ARID1A
ENSG00000226698,RP1-50O24.6
ENSG00000090273,NUDC
ENSG00000142765,SYTL1
ENSG00000000938,FGR
ENSG00000126709,IFI6
ENSG00000130775,THEMIS2
ENSG00000227050,RP11-460I13.2
ENSG00000169403,PTAFR
ENSG00000271398,RP5-1092A3.5
ENSG00000130766,SESN2
ENSG00000116329,OPRD1
ENSG00000233427,RP1-212P9.3
ENSG00000162511,LAPTM5
ENSG00000121769,FABP3
ENSG00000223907,LINC01226
ENSG00000235790,RP11-73M7.6
ENSG00000134668,SPOCD1
ENSG00000224066,RP4-622L5.7
ENSG00000222046,DCDC2B
ENSG00000183615,FAM167B
ENSG00000182866,LCK
ENSG00000175130,MARCKSL1
ENSG00000162526,TSSK3
ENSG00000160058,BSDC1
ENSG00000224409,RP11-114B7.6
ENSG00000121900,TMEM54
ENSG00000255811,RP1-34M23.5
ENSG00000271741,RP11-244H3.4
ENSG00000126067,PSMB2
ENSG00000092853,CLSPN
ENSG00000232335,RP11-435D7.3
ENSG00000116871,MAP7D1
ENSG00000214193,SH3D21
ENSG00000119535,CSF3R
ENSG00000233621,LINC01137
ENSG00000134690,CDCA8
ENSG00000158315,RHBDL2
ENSG00000127603,MACF1
ENSG00000226438,RP11-420K8.1
ENSG00000183682,BMP8A
ENSG00000168389,MFSD2A
ENSG00000131236,CAP1
ENSG00000049089,COL9A2
ENSG00000179862,CITED4
ENSG00000229528,RP5-1066H13.4
ENSG00000171790,SLFNL1
ENSG00000044012,GUCA2B
ENSG00000197273,GUCA2A
ENSG00000066185,ZMYND12
ENSG00000127125,PPCS
ENSG00000186409,CCDC30
ENSG00000065978,YBX1
ENSG00000164007,CLDN19
ENSG00000117394,SLC2A1
ENSG00000227533,SLC2A1-AS1
ENSG00000186973,FAM183A
