,pert,pert_idx,data_start_idx,data_end_idx+1
0,ETS2+CEBPE,"[2493, 1277]",0,320
1,POU3F2+FOXL2,"[5981, 2823]",320,606
2,CCND3+ctrl,[1135],606,916
3,KLF1+ctrl,[3948],916,1913
4,IRF1+ctrl,[3753],1913,3426
5,CEBPE+RUNX1T1,"[1277, 6930]",3426,4456
6,SLC35B1+ctrl,[7338],4456,4979
7,DUSP9+ETS2,"[2176, 2493]",4979,5677
8,FOXL2+ctrl,[2823],5677,5980
9,PTPN12+OSR2,"[6288, 5428]",5980,6263
10,AHR+KLF1,"[190, 3948]",6263,6675
11,FOSB+OSR2,"[2793, 5428]",6675,6999
12,FOSB+PTPN12,"[2793, 6288]",6999,7290
13,ctrl+BAK1,[711],7290,7927
14,CEBPE+CNN1,"[1277, 1509]",7927,8121
15,PTPN12+ctrl,[6288],8121,8315
16,CIT+ctrl,[1427],8315,10124
17,CNNM4+ctrl,[1512],10124,10500
18,IARS2+ctrl,[3586],10500,11423
19,ctrl+SLC38A2,[7359],11423,11703
20,PSMD4+ctrl,[6238],11703,12191
21,UFL1+ctrl,[8777],12191,12673
22,TMSB4X+ctrl,[8345],12673,13135
23,LHX1+ELMSAN1,"[4092, 2354]",13135,13682
24,KLF1+FOXA1,"[3948, 2796]",13682,14005
25,CEBPE+CEBPA,"[1277, 1274]",14005,14245
26,DUSP9+MAPK1,"[2176, 4328]",14245,14492
27,ctrl+PTPN9,[6295],14492,14691
28,KLF1+MAP2K6,"[3948, 4308]",14691,14913
29,SEC63+ctrl,[7074],14913,15470
30,SYVN1+ctrl,[7890],15470,16023
31,DUSP9+KLF1,"[2176, 3948]",16023,16343
32,POU3F2+CBFA2T3,"[5981, 1052]",16343,16545
33,ctrl+OSR2,[5428],16545,16996
34,ctrl+CDKN1B,[1257],16996,17141
35,ETS2+MAPK1,"[2493, 4328]",17141,17573
36,HSPA5+ctrl,[3562],17573,18575
37,SEC61A1+ctrl,[7070],18575,19537
38,HARS+ctrl,[3256],19537,19809
39,AHR+ctrl,[190],19809,20288
40,GMPPB+ctrl,[3055],20288,20794
41,SGK1+S1PR2,"[7168, 6954]",20794,21106
42,ETS2+CNN1,"[2493, 1509]",21106,21891
43,ctrl+SAMD1,[6967],21891,22069
44,SARS+ctrl,[6982],22069,22461
45,BHLHE40+ctrl,[782],22461,22965
46,DAD1+ctrl,[1813],22965,23583
47,ETS2+MAP7D1,"[2493, 4326]",23583,23848
48,MEIS1+ctrl,[4466],23848,24140
49,FOXL2+MEIS1,"[2823, 4466]",24140,24317
50,FOXA3+HOXB9,"[2798, 3500]",24317,24618
51,CDKN1A+ctrl,[1256],24618,24762
52,YY1+ctrl,[9141],24762,26460
53,FOXF1+FOXL2,"[2810, 2823]",26460,26633
54,KLF1+BAK1,"[3948, 711]",26633,26956
55,ELK1+ctrl,[2345],26956,31677
56,QARS+ctrl,[6341],31677,31982
57,HNF4A+ctrl,[3451],31982,32184
58,CNN1+MAPK1,"[1509, 4328]",32184,32509
59,ASCC3+ctrl,[526],32509,33033
60,ctrl+HOXC13,[3504],33033,33225
61,SLC39A7+ctrl,[7372],33225,33743
62,ctrl+ZBTB1,[9151],33743,34030
63,SNAI1+ctrl,[7486],34030,34250
64,SAMD1+PTPN12,"[6967, 6288]",34250,34542
65,JUN+ctrl,[3833],34542,34777
66,CDKN1B+ctrl,[1257],34777,35045
67,DNAJC19+ctrl,[2070],35045,35491
68,COL1A1+ctrl,[1551],35491,35748
69,XRN1+ctrl,[9093],35748,36369
70,DUSP9+IGDCC3,"[2176, 3638]",36369,36692
71,C3orf72+FOXL2,"[961, 2823]",36692,36741
72,BCL2L11+BAK1,"[751, 711]",36741,36894
73,BCORL1+ctrl,[762],36894,37350
74,SCYL1+ctrl,[7034],37350,38374
75,MAP2K6+SPI1,"[4308, 7628]",38374,38616
76,ETS2+ctrl,[2493],38616,38991
77,BPGM+ctrl,[824],38991,39384
78,CSRNP1+ctrl,[1703],39384,39738
79,PLK4+ctrl,[5857],39738,39835
80,FOSB+UBASH3B,"[2793, 8700]",39835,40198
81,EGR1+ctrl,[2270],40198,42399
82,TMED10+ctrl,[8216],42399,42933
83,FOXA3+FOXL2,"[2798, 2823]",42933,43046
84,ZBTB10+DLX2,"[9152, 2023]",43046,43120
85,ctrl+C19orf26,[925],43120,43390
86,ctrl+ZBTB25,[9164],43390,43637
87,KIF18B+ctrl,[3922],43637,43849
88,CDKN1C+CDKN1A,"[1258, 1256]",43849,43929
89,ctrl+CLDN6,[1448],43929,44192
90,ZNF318+FOXL2,"[9430, 2823]",44192,44389
91,IGDCC3+ctrl,[3638],44389,44673
92,CEBPA+ctrl,[1274],44673,44995
93,FARSB+ctrl,[2646],44995,45512
94,ARID1A+ctrl,[451],45512,45694
95,PTPN1+ctrl,[6286],45694,46036
96,ZBTB10+SNAI1,"[9152, 7486]",46036,46121
97,PRDM1+CBFA2T3,"[6095, 1052]",46121,46230
98,MAPK1+ctrl,[4328],46230,46509
99,MAP2K3+IKZF3,"[4305, 3658]",46509,46729
100,DARS+ctrl,[1822],46729,47279
101,OST4+ctrl,[5429],47279,47803
102,ZC3HAV1+HOXC13,"[9205, 3504]",47803,48346
103,DUSP9+SNAI1,"[2176, 7486]",48346,48514
104,TTI2+ctrl,[8612],48514,49044
105,TGFBR2+ETS2,"[8105, 2493]",49044,49319
106,PTPN12+ZBTB25,"[6288, 9164]",49319,49576
107,AHR+FEV,"[190, 2719]",49576,49840
108,ctrl+FOXF1,[2810],49840,50107
109,CARS+ctrl,[1033],50107,50536
110,NR2C2+ctrl,[5232],50536,52076
111,POU3F2+ctrl,[5981],52076,52388
112,MAP2K3+ELMSAN1,"[4305, 2354]",52388,52872
113,CBL+CNN1,"[1054, 1509]",52872,53160
114,ctrl+KIF2C,[3932],53160,53408
115,BAK1+ctrl,[711],53408,53942
116,GNPNAT1+ctrl,[3081],53942,54370
117,HOXA13+ctrl,[3483],54370,54600
118,ctrl+CEBPB,[1275],54600,54782
119,TIMM44+ctrl,[8168],54782,55269
120,SGK1+ctrl,[7168],55269,55715
121,GABPA+ctrl,[2896],55715,57204
122,NEDD8+ctrl,[5042],57204,57593
123,SAMD1+UBASH3B,"[6967, 8700]",57593,57802
124,ctrl+IKZF3,[3658],57802,58011
125,P4HB+ctrl,[5458],58011,58482
126,MAP2K3+ctrl,[4305],58482,58940
127,NIT1+ctrl,[5128],58940,59105
128,FEV+CBFA2T3,"[2719, 1052]",59105,59258
129,SNAI1+DLX2,"[7486, 2023]",59258,59365
130,COL2A1+ctrl,[1552],59365,59612
131,KIF18B+KIF2C,"[3922, 3932]",59612,59695
132,ATL1+ctrl,[579],59695,60000
133,FOXA1+HOXB9,"[2796, 3500]",60000,60266
134,UBASH3A+ctrl,[8699],60266,60637
135,HK2+ctrl,[3415],60637,60886
136,CBL+UBASH3A,"[1054, 8699]",60886,60936
137,CENPE+ctrl,[1286],60936,62318
138,S1PR2+ctrl,[6954],62318,62764
139,SAMD1+ZBTB1,"[6967, 9151]",62764,62928
140,ctrl+COL2A1,[1552],62928,63155
141,DDRGK1+ctrl,[1886],63155,63668
142,KLF1+COL2A1,"[3948, 1552]",63668,63919
143,IER3IP1+ctrl,[3612],63919,65186
144,MAPK1+PRTG,"[4328, 6196]",65186,65566
145,SPCS2+ctrl,[7613],65566,66063
146,OGG1+ctrl,[5374],66063,68724
147,SPI1+ctrl,[7628],68724,68894
148,SRP72+ctrl,[7689],68894,69335
149,SAMD1+ctrl,[6967],69335,69587
150,ctrl+HOXB9,[3500],69587,69843
151,PTPN12+SNAI1,"[6288, 7486]",69843,70087
152,UBASH3B+ctrl,[8700],70087,70557
153,UBASH3B+UBASH3A,"[8700, 8699]",70557,70983
154,FEV+ISL2,"[2719, 3778]",70983,71255
155,ctrl+PTPN12,[6288],71255,71419
156,DERL2+ctrl,[1944],71419,71961
157,HSD17B12+ctrl,[3541],71961,72284
158,ATP5B+ctrl,[605],72284,72831
159,EIF2S1+ctrl,[2300],72831,73246
160,FOSB+CEBPE,"[2793, 1277]",73246,73388
161,FOXA1+ctrl,[2796],73388,73814
162,CBL+PTPN12,"[1054, 6288]",73814,74071
163,ZNF326+ctrl,[9437],74071,74588
164,RUNX1T1+ctrl,[6930],74588,74863
165,FOXA1+FOXF1,"[2796, 2810]",74863,75100
166,MAP4K5+ctrl,[4325],75100,75400
167,MAP7D1+ctrl,[4326],75400,75677
168,ctrl+SPI1,[7628],75677,76013
169,FEV+ctrl,[2719],76013,76186
170,MIDN+ctrl,[4551],76186,76442
171,CEBPB+ctrl,[1275],76442,76682
172,PTPN13+ctrl,[6289],76682,76908
173,PTPN9+ctrl,[6295],76908,77072
174,HES7+ctrl,[3326],77072,77194
175,CEP55+ctrl,[1314],77194,80006
176,ctrl+RUNX1T1,[6930],80006,80362
177,SAMM50+ctrl,[6970],80362,81034
178,CELF2+ctrl,[1281],81034,81422
179,ARHGAP22+ctrl,[430],81422,81828
180,FOXA3+ctrl,[2798],81828,82237
181,MAP2K3+SLC38A2,"[4305, 7359]",82237,82534
182,FOXA1+FOXL2,"[2796, 2823]",82534,82713
183,ELF1+ctrl,[2340],82713,86108
184,STT3A+ctrl,[7805],86108,86499
185,RREB1+ctrl,[6884],86499,86780
186,TTI1+ctrl,[8611],86780,87215
187,CEBPB+CEBPA,"[1275, 1274]",87215,87290
188,ctrl+FOXA1,[2796],87290,87625
189,FOXO4+ctrl,[2831],87625,87814
190,TMED2+ctrl,[8217],87814,88264
191,TGFBR2+ctrl,[8105],88264,88473
192,IKZF3+ctrl,[3658],88473,88847
193,SET+KLF1,"[7132, 3948]",88847,89388
194,ctrl+MAP2K6,[4308],89388,89766
195,TARS+ctrl,[7942],89766,90437
196,TBX3+ctrl,[8001],90437,90726
197,COPB1+ctrl,[1570],90726,90911
198,IGDCC3+MAPK1,"[3638, 4328]",90911,91204
199,SEL1L+ctrl,[7078],91204,91580
200,HSPA9+ctrl,[3564],91580,92298
201,ctrl+TGFBR2,[8105],92298,92626
202,EIF2B3+ctrl,[2296],92626,92972
203,ctrl+SET,[7132],92972,93250
204,LYL1+ctrl,[4229],93250,93610
205,DLX2+ctrl,[2023],93610,93926
206,PTPN12+UBASH3A,"[6288, 8699]",93926,94181
207,MRGBP+ctrl,[4667],94181,94668
208,ctrl+DLX2,[2023],94668,94958
209,SEC61G+ctrl,[7072],94958,95488
210,CAD+ctrl,[992],95488,95730
211,LHX1+ctrl,[4092],95730,96072
212,SOCS1+ctrl,[7548],96072,96455
213,HOXC13+ctrl,[3504],96455,96606
214,ETS2+PRTG,"[2493, 6196]",96606,96960
215,YIPF5+ctrl,[9118],96960,98142
216,LYL1+CEBPB,"[4229, 1275]",98142,98301
217,ctrl+ETS2,[2493],98301,98957
218,ZC3HAV1+CEBPA,"[9205, 1274]",98957,99081
219,CREB1+ctrl,[1653],99081,101763
220,ctrl+MAPK1,[4328],101763,102144
221,TGFBR2+C19orf26,"[8105, 925]",102144,102418
222,ctrl+KLF1,[3948],102418,103062
223,MTHFD1+ctrl,[4796],103062,103483
224,SAMD1+TGFBR2,"[6967, 8105]",103483,103542
225,DDIT3+ctrl,[1881],103542,103977
226,ZBTB1+ctrl,[9151],103977,104292
227,ctrl+CDKN1A,[1256],104292,104423
228,ctrl+ELMSAN1,[2354],104423,104853
229,ctrl+PRTG,[6196],104853,105149
230,JUN+CEBPB,"[3833, 1275]",105149,105201
231,CITED1+ctrl,[1428],105201,105370
232,KIF2C+ctrl,[3932],105370,105640
233,SGK1+TBX2,"[7168, 7997]",105640,105927
234,CNN1+ctrl,[1509],105927,106163
235,ZBTB10+ctrl,[9152],106163,106308
236,JUN+CEBPA,"[3833, 1274]",106308,106378
237,CLDN6+ctrl,[1448],106378,106659
238,CEBPE+KLF1,"[1277, 3948]",106659,107048
239,SEC61B+ctrl,[7071],107048,107474
240,DDOST+ctrl,[1884],107474,107792
241,HOXB9+ctrl,[3500],107792,108148
242,ZBTB25+ctrl,[9164],108148,108491
243,ETS2+IKZF3,"[2493, 3658]",108491,108879
244,ctrl+TBX2,[7997],108879,109174
245,ctrl+MEIS1,[4466],109174,109564
246,FEV+MAP7D1,"[2719, 4326]",109564,109810
247,RACGAP1+ctrl,[6414],109810,110443
248,SNAI1+UBASH3B,"[7486, 8700]",110443,110699
249,ctrl+UBASH3A,[8699],110699,111014
250,PLK4+STIL,"[5857, 7768]",111014,111080
251,CNN1+UBASH3A,"[1509, 8699]",111080,111224
252,COPZ1+ctrl,[1585],111224,111444
253,ctrl+CEBPA,[1274],111444,111702
254,FOSB+IKZF3,"[2793, 3658]",111702,111906
255,CKS1B+ctrl,[1436],111906,112095
256,KLF1+CLDN6,"[3948, 1448]",112095,112310
257,ctrl+TBX3,[8001],112310,112580
258,IGDCC3+ZBTB25,"[3638, 9164]",112580,112679
259,MAP2K6+ELMSAN1,"[4308, 2354]",112679,113044
260,ZBTB10+ELMSAN1,"[9152, 2354]",113044,113205
261,FOXL2+HOXB9,"[2823, 3500]",113205,113292
262,SRP68+ctrl,[7688],113292,113875
263,FOXA3+FOXA1,"[2798, 2796]",113875,114056
264,ISL2+ctrl,[3778],114056,114328
265,ELMSAN1+ctrl,[2354],114328,114681
266,CEBPE+CEBPB,"[1277, 1275]",114681,114792
267,MAPK1+TGFBR2,"[4328, 8105]",114792,115181
268,TOR1AIP1+ctrl,[8411],115181,115659
269,GLB1L2+ctrl,[3019],115659,116037
270,OSR2+ctrl,[5428],116037,116444
271,CEBPB+OSR2,"[1275, 5428]",116444,116632
272,NCL+ctrl,[4963],116632,116829
273,SET+ctrl,[7132],116829,117341
274,SLC6A9+ctrl,[7399],117341,117782
275,PTPN12+PTPN9,"[6288, 6295]",117782,118077
276,CEBPB+MAPK1,"[1275, 4328]",118077,118414
277,CBL+PTPN9,"[1054, 6295]",118414,118648
278,TGFBR2+IGDCC3,"[8105, 3638]",118648,118910
279,CHERP+ctrl,[1374],118910,119314
280,ZC3HAV1+ctrl,[9205],119314,119750
281,MAP2K3+MAP2K6,"[4305, 4308]",119750,120208
282,ctrl+FEV,[2719],120208,120682
283,UBASH3B+ZBTB25,"[8700, 9164]",120682,120906
284,MAPK1+IKZF3,"[4328, 3658]",120906,121170
285,SGK1+TBX3,"[7168, 8001]",121170,121413
286,ctrl+FOXL2,[2823],121413,121654
287,ECT2+ctrl,[2232],121654,122738
288,ctrl,[-1],122738,166396
289,MAP2K6+ctrl,[4308],166396,166759
290,CEBPB+PTPN12,"[1275, 6288]",166759,167025
291,FOSB+CEBPB,"[2793, 1275]",167025,167110
292,FECH+ctrl,[2711],167110,167680
293,ctrl+ISL2,[3778],167680,167893
294,BPGM+SAMD1,"[824, 6967]",167893,168133
295,SET+CEBPE,"[7132, 1277]",168133,168662
296,TELO2+ctrl,[8058],168662,169224
297,CDKN1C+ctrl,[1258],169224,169389
298,EIF2B2+ctrl,[2295],169389,169897
299,TBX3+TBX2,"[8001, 7997]",169897,170866
300,PPWD1+ctrl,[6087],170866,171056
301,SRPRB+ctrl,[7693],171056,171652
302,MAP2K6+IKZF3,"[4308, 3658]",171652,171903
303,UBASH3B+OSR2,"[8700, 5428]",171903,172580
304,CDKN1C+CDKN1B,"[1258, 1257]",172580,172659
305,ZBTB10+PTPN12,"[9152, 6288]",172659,172889
306,ctrl+CEBPE,[1277],172889,173455
307,E2F4+ctrl,[2202],173455,174815
308,UBASH3B+PTPN12,"[8700, 6288]",174815,175075
309,BCL2L11+ctrl,[751],175075,175538
310,TGFBR2+PRTG,"[8105, 6196]",175538,175746
311,ctrl+CNN1,[1509],175746,176146
312,HYOU1+ctrl,[3582],176146,176578
313,ctrl+CBFA2T3,[1052],176578,176821
314,CBFA2T3+ctrl,[1052],176821,177109
315,UFM1+ctrl,[8778],177109,177700
316,ctrl+STIL,[7768],177700,177841
317,MRPL39+ctrl,[4700],177841,178423
318,DHDDS+ctrl,[1965],178423,178822
319,SLC4A1+ctrl,[7384],178822,179675
320,UBASH3B+PTPN9,"[8700, 6295]",179675,179957
321,C19orf26+ctrl,[925],179957,180437
322,TMSB4X+BAK1,"[8345, 711]",180437,180704
323,GBF1+ctrl,[2945],180704,181490
324,CBL+ctrl,[1054],181490,182028
325,IRF1+SET,"[3753, 7132]",182028,182395
326,ctrl+IGDCC3,[3638],182395,182618
327,FOSB+ctrl,[2793],182618,183120
328,AURKA+ctrl,[669],183120,183442
329,PRTG+ctrl,[6196],183442,183727
330,EIF2B4+ctrl,[2297],183727,184272
331,ETS2+IGDCC3,"[2493, 3638]",184272,184637
332,FOXF1+ctrl,[2810],184637,185085
333,PRDM1+ctrl,[6095],185085,185358
334,MARS+ctrl,[4356],185358,185792
335,ctrl+UBASH3B,[8700],185792,186305
336,IGDCC3+PRTG,"[3638, 6196]",186305,186413
337,TP73+ctrl,[8425],186413,186631
338,ARRDC3+ctrl,[508],186631,187036
339,PDIA6+ctrl,[5606],187036,187541
340,DUSP9+PRTG,"[2176, 6196]",187541,187779
341,SPCS3+ctrl,[7614],187779,188315
342,IDH3A+ctrl,[3604],188315,188855
343,FOXA3+FOXF1,"[2798, 2810]",188855,189001
344,TBX2+ctrl,[7997],189001,189270
345,ZC3HAV1+CEBPE,"[9205, 1277]",189270,189616
346,MANF+ctrl,[4297],189616,190078
347,STIL+ctrl,[7768],190078,190205
348,CEBPE+ctrl,[1277],190205,190678
349,CEBPE+PTPN12,"[1277, 6288]",190678,190995
350,AURKB+ctrl,[671],190995,191638
351,KLF1+CEBPA,"[3948, 1274]",191638,191946
352,ctrl+SNAI1,[7486],191946,192106
353,PTDSS1+ctrl,[6265],192106,192555
354,BCL2L11+TGFBR2,"[751, 8105]",192555,192937
355,DUSP9+ctrl,[2176],192937,193599
356,FOXF1+HOXB9,"[2810, 3500]",193599,193772
357,ctrl+MAP7D1,[4326],193772,194130
358,MAML2+ctrl,[4285],194130,194638
359,AARS+ctrl,[8],194638,194998
360,TSC22D1+ctrl,[8551],194998,195374
361,C3orf72+ctrl,[961],195374,195591
362,CEBPE+SPI1,"[1277, 7628]",195591,195766
