gene_name,vector_idx
RP11-34P13.8,0
RP11-54O7.3,1
SAMD11,2
PERM1,3
HES4,4
ISG15,5
RP11-54O7.18,6
RNF223,7
LINC01342,8
TTLL10-AS1,9
TNFRSF18,10
TNFRSF4,11
TAS1R3,12
ANKRD65,13
MMP23B,14
RP11-345P4.7,15
CALML6,16
RP5-892K4.1,17
RP11-181G12.4,18
PLCH2,19
RP3-395M20.12,20
RP3-395M20.8,21
TNFRSF14,22
TTC34,23
TP73,24
SMIM1,25
RP1-286D6.5,26
CHD5,27
LINC00337,28
GPR153,29
HES2,30
ESPN,31
TAS1R1,32
RP11-338N10.1,33
TNFRSF9,34
RP5-1115A15.1,35
RP4-633I8.4,36
ENO1,37
CA6,38
GPR157,39
MIR34AHG,40
RP3-510D11.2,41
H6PD,42
PIK3CD-AS1,43
AL357140.1,44
PGD,45
C1orf127,46
RP4-635E18.9,47
MASP2,48
RP4-635E18.8,49
SRM,50
DRAXIN,51
MTHFR,52
PDPN,53
TMEM51-AS1,54
RP3-467K16.2,55
RP3-467K16.4,56
EFHD2,57
CELA2A,58
CELA2B,59
RP4-680D5.9,60
RP11-276H7.3,61
RP4-798A10.7,62
RP5-1182A14.5,63
AC004824.2,64
RP1-43E13.2,65
PLA2G2A,66
PLA2G2D,67
PLA2G2C,68
PINK1-AS,69
RP3-329E20.2,70
CELA3A,71
CDC42,72
WNT4,73
C1QB,74
ZNF436-AS1,75
RP1-150O5.3,76
ID3,77
MDS2,78
HMGCL,79
FUCA1,80
CNR2,81
IL22RA1,82
RP11-10N16.2,83
RUNX3,84
RP4-799D16.1,85
RP4-706G24.1,86
SYF2,87
RSRP1,88
RP1-187B23.1,89
PAQR7,90
STMN1,91
EXTL1,92
TRIM63,93
SH3BGRL3,94
CD52,95
ZNF683,96
HMGN2,97
ARID1A,98
RP1-50O24.6,99
NUDC,100
SYTL1,101
FGR,102
IFI6,103
THEMIS2,104
RP11-460I13.2,105
PTAFR,106
RP5-1092A3.5,107
SESN2,108
OPRD1,109
RP1-212P9.3,110
LAPTM5,111
FABP3,112
LINC01226,113
RP11-73M7.6,114
SPOCD1,115
RP4-622L5.7,116
DCDC2B,117
FAM167B,118
LCK,119
MARCKSL1,120
TSSK3,121
BSDC1,122
RP11-114B7.6,123
TMEM54,124
RP1-34M23.5,125
RP11-244H3.4,126
PSMB2,127
CLSPN,128
RP11-435D7.3,129
MAP7D1,130
SH3D21,131
CSF3R,132
LINC01137,133
CDCA8,134
RHBDL2,135
MACF1,136
RP11-420K8.1,137
BMP8A,138
MFSD2A,139
CAP1,140
COL9A2,141
CITED4,142
RP5-1066H13.4,143
SLFNL1,144
GUCA2B,145
GUCA2A,146
ZMYND12,147
PPCS,148
CCDC30,149
YBX1,150
CLDN19,151
SLC2A1,152
SLC2A1-AS1,153
FAM183A,154
CFAP57,155
TMEM125,156
C1orf210,157
CDC20,158
RP11-184I16.4,159
ATP6V0B,160
SLC6A9,161
C1orf228,162
KIF2C,163
BTBD19,164
TESK2,165
PRDX1,166
RP4-533D7.4,167
FAAH,168
MKNK1-AS1,169
TEX38,170
PDZK1IP1,171
STIL,172
CDKN2C,173
LINC01562,174
TTC39A-AS1,175
RAB3B,176
RP11-91A18.4,177
TXNDC12-AS1,178
GPX7,179
FAM159A,180
RP5-1024G6.5,181
RP11-117D22.2,182
TMEM59,183
RP5-997D24.3,184
TMEM61,185
BSND,186
PLPP3,187
JUN,188
RP4-794H19.1,189
LINC01358,190
INADL,191
ANGPTL3,192
RP11-335E6.3,193
PGM1,194
SGIP1,195
C1orf141,196
GADD45A,197
RP11-181B18.1,198
RP5-952N6.1,199
RP3-333A15.1,200
FPGT-TNNI3K,201
SLC44A5,202
RP4-682C21.5,203
MSH4,204
RP11-375A5.1,205
NEXN-AS1,206
GIPC2,207
IFI44L,208
TTLL7,209
DNASE2B,210
COL24A1,211
CLCA1,212
LINC01140,213
LMO4,214
GBP3,215
GBP1,216
GBP2,217
FLJ27354,218
BTBD8,219
KIAA1107,220
ABCA4,221
F3,222
RP4-639F20.1,223
FRRS1,224
LRRC39,225
GPR88,226
S1PR1,227
RP11-483I13.5,228
RP11-483I13.2,229
FNDC7,230
SPATA42,231
RP5-1065J22.8,232
SCARNA2,233
C1orf194,234
MYBPHL,235
GPR61,236
GSTM2,237
GSTM3,238
EPS8L3,239
RP11-195M16.3,240
PROK1,241
CD53,242
RP11-96K19.2,243
CHI3L2,244
C1orf162,245
TMIGD3,246
ADORA3,247
FAM212B,248
CAPZA1,249
RHOC,250
LINC01356,251
PTPN22,252
HIPK1-AS1,253
OLFML3,254
RP4-655J12.4,255
RP5-1086K13.1,256
CD2,257
CD101,258
AL157902.3,259
FAM46C,260
SPAG17,261
PHGDH,262
FCGR1B,263
RP11-439A17.9,264
SRGAP2-AS1,265
RP11-403I13.7,266
RP5-998N21.4,267
CH17-125A10.2,268
RP11-89F3.2,269
PDZK1,270
CD160,271
ANKRD35,272
POLR3GL,273
TXNIP,274
HFE2,275
CH17-353B19.1,276
FMO5,277
RP4-565E6.1,278
RP11-495P10.6,279
RP11-495P10.1,280
AC245100.1,281
PPIAL4G,282
PDE4DIP,283
CH17-189H20.1,284
FCGR1A,285
RP11-196G18.3,286
HIST2H2AC,287
MTMR11,288
PLEKHO1,289
ANP32E,290
RP4-790G17.7,291
ECM1,292
ADAMTSL4,293
CTSS,294
CTSK,295
FAM63A,296
BNIPL,297
C1orf56,298
CDC42SE1,299
MLLT11,300
GABPB2,301
LYSMD1,302
RP11-126K1.8,303
RP11-404E16.1,304
CELF3,305
RIIAD1,306
C2CD4D,307
S100A10,308
S100A11,309
SPRR2D,310
SPRR2F,311
PRR9,312
LOR,313
PGLYRP4,314
S100A9,315
S100A8,316
S100A7A,317
S100A7,318
S100A6,319
S100A5,320
S100A4,321
S100A3,322
S100A13,323
S100A1,324
AL513523.2,325
RP11-422P24.12,326
IL6R,327
SHE,328
KCNN3,329
PBXIP1,330
CKS1B,331
DCST1,332
THBS3,333
RP11-263K19.6,334
SYT11,335
RIT1,336
ARHGEF2,337
RAB25,338
LMNA,339
IQGAP3,340
CRABP2,341
SH2D2A,342
NTRK1,343
INSRR,344
LRRC71,345
RP11-71G12.1,346
FCRL2,347
RP11-404O13.5,348
MNDA,349
IFI16,350
ACKR1,351
C1orf204,352
VSIG8,353
ATP1A4,354
CASQ1,355
