,pert,pert_idx,data_start_idx,data_end_idx+1,de_idx
0,"['TSC22D1', 'ctrl']",[8551],0,376,"[93, 166, 953, 1134, 1933, 1990, 2276, 2354, 2424, 2738, 2756, 3385, 3453, 3518, 3791, 4071, 4580, 4633, 4690, 4727]"
1,"['KLF1', 'MAP2K6']","[3948, 4308]",376,598,"[308, 541, 663, 806, 2000, 2589, 2620, 2621, 2761, 3385, 3571, 3667, 3758, 3760, 3894, 4130, 4588, 4700, 4756, 4953]"
2,['ctrl'],[-1],598,7951,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
3,"['CEBPE', 'RUNX1T1']","[1277, 6930]",7951,8981,"[214, 663, 1288, 1289, 1483, 1663, 1664, 2345, 2470, 2620, 2621, 2699, 2711, 2892, 3460, 3758, 3772, 3867, 3970, 4953]"
4,"['MAML2', 'ctrl']",[4285],8981,9489,"[95, 244, 489, 663, 1376, 1625, 1978, 2000, 2353, 2391, 2621, 2710, 2761, 2806, 3305, 3335, 3541, 4771, 4907, 5037]"
5,"['ctrl', 'CEBPE']",[1277],9489,10055,"[132, 214, 1288, 1289, 1483, 1663, 1664, 1771, 2353, 2621, 2699, 2892, 3460, 3758, 3772, 3867, 4209, 4565, 4670, 4953]"
6,"['CBL', 'PTPN9']","[1054, 6295]",10055,10289,"[431, 663, 1288, 1464, 2135, 2334, 2353, 2620, 2621, 2740, 3230, 3430, 3758, 4504, 4687, 4700, 4726, 4825, 4842, 5022]"
7,"['TGFBR2', 'ETS2']","[8105, 2493]",10289,10564,"[280, 309, 591, 903, 952, 1126, 1664, 1676, 2084, 2470, 2621, 2761, 3110, 3976, 4229, 4236, 4650, 4687, 4727, 4994]"
8,"['SGK1', 'TBX3']","[7168, 8001]",10564,10807,"[838, 1580, 1723, 1814, 2461, 2480, 2526, 2621, 2653, 2738, 2740, 2761, 3037, 3430, 4281, 4380, 4504, 4624, 4726, 4766]"
9,"['DUSP9', 'ctrl']",[2176],10807,11469,"[719, 842, 1287, 1288, 1289, 1753, 2084, 2135, 2223, 2385, 2621, 2711, 2761, 3758, 4291, 4502, 4504, 4687, 4756, 5022]"
10,"['MAP2K6', 'SPI1']","[4308, 7628]",11469,11711,"[413, 665, 761, 842, 1590, 1625, 1663, 1664, 2157, 2258, 2353, 2386, 2470, 2673, 2682, 3102, 3639, 3957, 4504, 4670]"
11,"['ctrl', 'ELMSAN1']",[2354],11711,12141,"[321, 663, 761, 826, 912, 1423, 1625, 2620, 2621, 2740, 2761, 3544, 3758, 3825, 3894, 4071, 4675, 4726, 4727, 4953]"
12,"['UBASH3B', 'PTPN12']","[8700, 6288]",12141,12401,"[309, 838, 1288, 2135, 2264, 2404, 2620, 2621, 2648, 3430, 3758, 3760, 4291, 4504, 4687, 4700, 4727, 4789, 4927, 5022]"
13,"['ctrl', 'FOXA1']",[2796],12401,12736,"[77, 541, 1287, 1288, 1289, 2058, 2084, 2135, 2666, 2680, 2699, 2707, 2761, 3073, 3243, 3430, 3485, 3806, 3898, 4504]"
14,"['FOXA3', 'FOXA1']","[2798, 2796]",12736,12917,"[541, 838, 1287, 1288, 1289, 1774, 2135, 2334, 2648, 2761, 2952, 3186, 3243, 3430, 3806, 4312, 4504, 4842, 4927, 5033]"
15,"['ETS2', 'IGDCC3']","[2493, 3638]",12917,13282,"[390, 403, 719, 1288, 1676, 1753, 2135, 2470, 2557, 2680, 2699, 2761, 3682, 3758, 3776, 3806, 4150, 4624, 4650, 4994]"
16,"['BCORL1', 'ctrl']",[762],13282,13738,"[562, 838, 953, 1046, 1067, 1694, 2135, 2192, 2761, 3186, 3187, 3898, 4130, 4155, 4199, 4244, 4421, 4504, 4529, 4766]"
17,"['MEIS1', 'ctrl']",[4466],13738,14030,"[93, 505, 540, 719, 739, 969, 1118, 1288, 1607, 1662, 1787, 2621, 2726, 2919, 2952, 3241, 3720, 3853, 4504, 4727]"
18,"['GLB1L2', 'ctrl']",[3019],14030,14408,"[166, 400, 889, 922, 2119, 2502, 2544, 2738, 2740, 2761, 2869, 3852, 4043, 4156, 4261, 4675, 4726, 4842, 4911, 5022]"
19,"['KLF1', 'ctrl']",[3948],14408,15405,"[308, 373, 663, 1664, 2589, 2620, 2621, 2761, 3667, 3758, 3759, 3760, 4130, 4580, 4586, 4588, 4700, 4756, 4907, 5009]"
20,"['MAP2K6', 'IKZF3']","[4308, 3658]",15405,15656,"[838, 1107, 1288, 1289, 2135, 2183, 2353, 2620, 2621, 2711, 2738, 2740, 2756, 3758, 3759, 3760, 4700, 4766, 4789, 4953]"
21,"['BAK1', 'ctrl']",[711],15656,16190,"[162, 463, 1135, 1363, 1690, 1717, 1841, 2540, 3242, 3382, 3453, 3621, 4114, 4115, 4124, 4225, 4455, 4522, 4726, 4841]"
22,"['FEV', 'ctrl']",[2719],16190,16363,"[94, 120, 289, 678, 838, 839, 1201, 1288, 1651, 1716, 1819, 2620, 2621, 2711, 2892, 4504, 4507, 4620, 4766, 4919]"
23,"['MAP2K3', 'SLC38A2']","[4305, 7359]",16363,16660,"[166, 321, 400, 564, 719, 795, 1117, 1545, 2098, 2334, 2470, 2711, 2761, 3142, 4029, 4065, 4580, 4650, 4743, 5041]"
24,"['CBL', 'ctrl']",[1054],16660,17198,"[838, 1288, 1664, 1667, 2079, 2135, 2264, 2404, 2621, 2711, 2842, 2854, 3430, 3758, 3760, 4504, 4687, 4756, 4842, 5022]"
25,"['ctrl', 'ETS2']",[2493],17198,17854,"[94, 95, 309, 663, 678, 1664, 1676, 2084, 2090, 2589, 2620, 2621, 2761, 3102, 3758, 4236, 4650, 4687, 4727, 4994]"
26,"['ctrl', 'FEV']",[2719],17854,18328,"[94, 120, 289, 678, 838, 839, 1288, 1819, 2620, 2621, 2711, 2761, 2854, 2892, 3758, 3776, 4403, 4504, 4727, 4766]"
27,"['ctrl', 'SET']",[7132],18328,18606,"[95, 678, 905, 1289, 1587, 1667, 2084, 2264, 2470, 2544, 3059, 3825, 3835, 4267, 4291, 4700, 4766, 4839, 4842, 4927]"
