,locus,symbol,precise1k_idx,matrix_idx
0,b0002,thrA,1,1
1,b0003,thrB,2,2
2,b0004,thrC,3,3
3,b0007,yaaJ,6,6
4,b0008,talB,7,7
5,b0009,mog,8,8
6,b0010,satP,9,9
7,b0019,nhaA,18,19
8,b0025,ribF,24,25
9,b0029,ispH,28,29
10,b0030,rihC,29,30
11,b0031,dapB,30,31
12,b0032,carA,31,32
13,b0033,carB,32,33
14,b0036,caiD,35,36
15,b0037,caiC,36,37
16,b0038,caiB,37,38
17,b0040,caiT,39,40
18,b0046,kefF,45,46
19,b0047,kefC,46,47
20,b0048,folA,47,48
21,b0049,apaH,48,49
22,b0052,pdxA,51,52
23,b0054,lptD,53,54
24,b0061,araD,60,61
25,b0062,araA,61,62
26,b0063,araB,62,63
27,b0066,thiQ,65,66
28,b0067,thiP,66,67
29,b0068,thiB,67,68
30,b0070,setA,70,73
31,b0071,leuD,71,74
32,b0072,leuC,72,75
33,b0073,leuB,73,76
34,b0074,leuA,74,77
35,b0077,ilvI,78,81
36,b0078,ilvH,79,82
37,b0084,ftsI,84,87
38,b0085,murE,85,89
39,b0086,murF,86,90
40,b0087,mraY,87,91
41,b0088,murD,88,92
42,b0089,ftsW,89,93
43,b0090,murG,90,94
44,b0091,murC,91,95
45,b0092,ddlB,92,96
46,b0096,lpxC,96,100
47,b0099,mutT,99,103
48,b0103,coaE,102,106
49,b0104,guaC,104,108
50,b0109,nadC,108,112
51,b0110,ampD,109,113
52,b0112,aroP,111,115
53,b0114,aceE,113,117
54,b0115,aceF,114,118
55,b0116,lpd,115,119
56,b0118,acnB,117,121
57,b0120,speD,119,123
58,b0121,speE,120,124
59,b0123,cueO,122,126
60,b0124,gcd,123,127
61,b0125,hpt,124,128
62,b0126,can,125,129
63,b0131,panD,130,134
64,b0133,panC,132,136
65,b0134,panB,133,137
66,b0142,folK,141,145
67,b0149,mrcB,148,152
68,b0150,fhuA,149,153
69,b0151,fhuC,150,154
70,b0152,fhuD,151,155
71,b0153,fhuB,152,156
72,b0154,hemL,153,157
73,b0155,clcA,154,159
74,b0158,btuF,158,163
75,b0159,mtn,159,164
76,b0160,dgt,160,165
77,b0166,dapD,165,170
78,b0171,pyrH,170,176
79,b0173,dxr,172,178
80,b0174,ispU,173,180
81,b0175,cdsA,174,181
82,b0179,lpxD,178,185
83,b0180,fabZ,179,186
84,b0181,lpxA,180,187
85,b0182,lpxB,181,188
86,b0185,accA,184,191
87,b0186,ldcC,185,192
88,b0197,metQ,197,204
89,b0198,metI,198,205
90,b0199,metN,199,206
91,b0200,gmhB,200,207
92,b0207,dkgB,201,214
93,b0211,mltD,205,218
94,b0212,gloB,206,219
95,b0221,fadE,216,231
96,b0222,gmhA,217,232
97,b0237,pepD,232,247
98,b0238,gpt,233,248
99,b0241,phoE,238,253
100,b0242,proB,239,254
101,b0243,proA,240,255
102,b0260,mmuP,257,276
103,b0261,mmuM,258,277
104,b0268,yagE,265,286
105,b0269,yagF,266,287
106,b0273,argF,270,291
107,b0306,ykgE,307,330
108,b0307,ykgF,308,331
109,b0308,ykgG,309,332
110,b0311,betA,311,334
111,b0312,betB,312,335
112,b0314,betT,314,337
113,b0315,pdeL,316,339
114,b0325,yahK,326,349
115,b0331,prpB,332,355
116,b0333,prpC,333,356
117,b0334,prpD,334,357
118,b0335,prpE,335,358
119,b0336,codB,336,359
120,b0337,codA,337,360
121,b0339,cynT,339,362
122,b0340,cynS,340,363
123,b0341,cynX,341,364
124,b0343,lacY,343,366
125,b0344,lacZ,344,367
126,b0347,mhpA,347,370
127,b0348,mhpB,348,371
128,b0349,mhpC,349,372
129,b0350,mhpD,350,373
130,b0351,mhpF,351,374
131,b0352,mhpE,352,375
132,b0353,mhpT,353,376
133,b0355,frmB,355,378
134,b0356,frmA,356,379
135,b0365,tauA,365,388
136,b0366,tauB,366,389
137,b0367,tauC,367,390
138,b0368,tauD,368,391
139,b0369,hemB,369,392
140,b0376,ampH,374,398
141,b0381,ddlA,379,403
142,b0383,phoA,381,405
143,b0386,proC,384,408
144,b0388,aroL,386,410
145,b0394,mak,393,417
146,b0401,brnQ,399,423
147,b0402,proY,400,424
148,b0403,malZ,401,425
149,b0404,acpH,402,426
150,b0411,tsx,409,433
151,b0414,ribD,412,436
152,b0415,ribE,413,437
153,b0417,thiL,415,439
154,b0418,pgpA,416,440
155,b0420,dxs,418,442
156,b0421,ispA,419,443
157,b0423,thiI,421,445
158,b0425,panE,423,447
159,b0428,cyoE,426,450
160,b0429,cyoD,427,451
161,b0430,cyoC,428,452
162,b0431,cyoB,429,453
163,b0432,cyoA,430,454
164,b0433,ampG,431,455
165,b0444,queC,442,466
166,b0446,cof,444,468
167,b0451,amtB,449,473
168,b0452,tesB,450,474
169,b0459,maa,456,481
170,b0462,acrB,459,484
171,b0463,acrA,460,485
172,b0465,mscK,462,487
173,b0469,apt,466,491
174,b0474,adk,471,496
175,b0475,hemH,472,497
176,b0477,gsk,474,499
177,b0480,ushA,477,502
178,b0484,copA,481,507
179,b0485,glsA,482,508
180,b0493,ybbO,490,516
181,b0494,tesA,491,517
182,b0505,allA,502,528
183,b0507,gcl,504,531
184,b0508,hyi,505,532
185,b0509,glxR,506,533
186,b0511,ybbW,507,534
187,b0512,allB,508,535
188,b0514,glxK,510,537
189,b0515,allE,511,538
190,b0516,allC,512,539
191,b0517,allD,513,540
192,b0521,ybcF,517,544
193,b0522,purK,518,545
194,b0523,purE,519,546
195,b0524,lpxH,520,547
196,b0529,folD,525,552
197,b0543,emrE,538,567
198,b0572,cusC,573,602
199,b0573,cusF,574,603
200,b0574,cusB,575,604
201,b0575,cusA,576,605
202,b0576,pheP,577,606
203,b0577,ybdG,578,607
204,b0578,nfsB,579,608
205,b0583,entD,585,615
206,b0584,fepA,586,616
207,b0585,fes,587,617
208,b0586,entF,589,619
209,b0588,fepC,591,621
210,b0589,fepG,592,622
211,b0590,fepD,593,623
212,b0591,entS,594,624
213,b0592,fepB,595,625
214,b0593,entC,596,626
215,b0594,entE,597,627
216,b0595,entB,598,628
217,b0596,entA,599,629
218,b0597,entH,600,630
219,b0604,dsbG,608,638
220,b0605,ahpC,609,639
221,b0606,ahpF,610,640
222,b0612,citT,616,646
223,b0613,citG,617,647
224,b0614,citX,618,648
225,b0615,citF,619,649
226,b0616,citE,620,650
227,b0617,citD,621,651
228,b0621,dcuC,625,655
229,b0622,pagP,626,656
230,b0624,crcB,628,658
231,b0628,lipA,631,661
232,b0630,lipB,633,663
233,b0632,dacA,635,665
234,b0635,mrdA,638,668
235,b0638,cobC,641,671
236,b0639,nadD,642,672
237,b0641,lptE,644,674
238,b0650,hscC,653,683
239,b0651,rihA,654,684
240,b0652,gltL,655,685
241,b0653,gltK,656,686
242,b0654,gltJ,657,687
243,b0655,gltI,658,689
244,b0657,lnt,660,691
245,b0662,ubiF,665,696
246,b0674,asnB,666,704
247,b0675,umpH,667,705
248,b0677,nagA,669,707
249,b0678,nagB,670,708
250,b0679,nagE,671,709
251,b0681,chiP,673,712
252,b0684,fldA,677,716
253,b0688,pgm,681,720
254,b0692,potE,684,724
255,b0693,speF,685,725
256,b0696,kdpC,688,729
257,b0697,kdpB,689,730
258,b0698,kdpA,690,731
259,b4513,kdpF,691,732
260,b0709,dtpD,702,743
261,b0720,gltA,713,754
262,b0721,sdhC,715,757
263,b0722,sdhD,716,758
264,b0723,sdhA,717,759
265,b0724,sdhB,718,760
266,b0726,sucA,719,761
267,b0727,sucB,720,762
268,b0728,sucC,721,763
269,b0729,sucD,722,764
270,b0731,mngA,724,767
271,b0732,mngB,725,768
272,b0733,cydA,726,769
273,b0734,cydB,727,770
274,b4515,cydX,728,771
275,b0750,nadA,737,787
276,b0751,pnuC,738,788
277,b0752,zitB,739,789
278,b0754,aroG,741,791
279,b0755,gpmA,742,792
280,b0756,galM,743,793
281,b0757,galK,744,794
282,b0758,galT,745,795
283,b0759,galE,746,796
284,b0763,modA,750,800
285,b0764,modB,751,801
286,b0765,modC,752,802
287,b0766,ybhA,753,803
288,b0767,pgl,754,804
289,b0774,bioA,761,811
290,b0775,bioB,762,812
291,b0776,bioF,763,813
292,b0777,bioC,764,814
293,b0778,bioD,765,815
294,b0781,moaA,768,818
295,b0783,moaC,770,820
296,b0784,moaD,771,821
297,b0785,moaE,772,822
298,b0789,clsB,776,826
299,b0805,fiu,792,844
300,b0808,ybiO,795,847
301,b0809,glnQ,796,848
302,b0810,glnP,797,849
303,b0811,glnH,798,850
304,b0813,rhtA,800,852
305,b0819,ldtB,807,860
306,b0822,ybiV,810,863
307,b0825,fsaA,813,866
308,b0826,moeB,814,867
309,b0827,moeA,815,868
310,b0828,iaaA,816,869
311,b0829,gsiA,817,870
312,b0830,gsiB,818,871
313,b0831,gsiC,819,872
314,b0832,gsiD,820,873
315,b0837,yliI,825,878
316,b0839,dacC,827,880
317,b0841,ybjG,829,882
318,b0842,mdfA,830,883
319,b0844,ybjI,832,885
320,b0849,grxA,837,891
321,b0854,potF,842,896
322,b0855,potG,843,897
323,b0856,potH,844,898
324,b0857,potI,845,899
325,b0860,artJ,848,902
326,b0861,artM,849,903
327,b0862,artQ,850,904
328,b0863,artI,851,905
329,b0864,artP,852,906
330,b0867,amiD,855,909
331,b0870,ltaE,858,912
332,b0871,poxB,859,913
333,b0874,lysO,862,916
334,b0875,aqpZ,863,917
335,b0886,cydC,873,929
336,b0887,cydD,874,930
337,b0888,trxB,875,931
338,b0894,dmsA,881,937
339,b0895,dmsB,882,938
340,b0896,dmsC,883,939
341,b0902,pflA,889,945
342,b0903,pflB,890,946
343,b0904,focA,891,947
344,b0905,ycaO,892,948
345,b0907,serC,894,950
346,b0908,aroA,895,951
347,b0910,cmk,897,953
348,b0914,msbA,901,957
349,b0915,lpxK,902,958
350,b0918,kdsB,905,961
351,b0925,ldtD,912,968
352,b0928,aspC,915,971
353,b0929,ompF,916,972
354,b0931,pncB,918,974
355,b0932,pepN,919,975
356,b0933,ssuB,920,976
357,b0934,ssuC,921,977
358,b0935,ssuD,922,978
359,b0936,ssuA,923,979
360,b0937,ssuE,924,980
361,b0945,pyrD,932,988
362,b0954,fabA,941,997
363,b0957,ompA,944,1000
364,b0963,mgsA,950,1006
365,b0968,yccX,955,1011
366,b0972,hyaA,958,1015
367,b0973,hyaB,959,1016
368,b0974,hyaC,960,1017
369,b0978,appC,964,1021
370,b0979,appB,965,1022
371,b0980,appA,967,1024
372,b0996,torC,986,1043
373,b0997,torA,987,1044
374,b1002,agp,992,1049
375,b1004,wrbA,994,1051
376,b1006,rutG,996,1053
377,b1007,rutF,997,1054
378,b1008,rutE,998,1055
379,b1009,rutD,999,1056
380,b1010,rutC,1000,1057
381,b1011,rutB,1001,1058
382,b1012,rutA,1002,1059
383,b1014,putA,1004,1061
384,b1015,putP,1006,1063
385,b1019,efeB,1009,1066
386,b1021,pgaD,1011,1068
387,b1022,pgaC,1012,1069
388,b1025,dgcT,1015,1072
389,b1033,ghrA,1020,1078
390,b1054,lpxL,1040,1098
391,b1059,solA,1045,1103
392,b1062,pyrC,1048,1106
393,b1064,grxB,1050,1108
394,b1069,murJ,1055,1113
395,b1090,plsX,1076,1136
396,b1091,fabH,1077,1137
397,b1092,fabD,1078,1138
398,b1093,fabG,1079,1139
399,b1094,acpP,1080,1140
400,b1095,fabF,1081,1141
401,b1096,pabC,1082,1142
402,b1097,mltG,1083,1143
403,b1098,tmk,1084,1144
404,b1101,ptsG,1087,1147
405,b1102,fhuE,1088,1148
