,locus,matrix_idx,symbol
0,b0002,1,thrA
1,b0003,2,thrB
2,b0004,3,thrC
3,b0007,6,yaaJ
4,b0010,9,satP
5,b0025,25,ribF
6,b0036,36,caiD
7,b0037,37,caiC
8,b0038,38,caiB
9,b0040,40,caiT
10,b0046,46,kefF
11,b0047,47,kefC
12,b0061,61,araD
13,b0066,66,thiQ
14,b0067,67,thiP
15,b0068,68,thiB
16,b0077,81,ilvI
17,b0078,82,ilvH
18,b0099,103,mutT
19,b0103,106,coaE
20,b0118,121,acnB
21,b0123,126,cueO
22,b0133,136,panC
23,b0134,137,panB
24,b0142,145,folK
25,b0152,155,fhuD
26,b0155,159,clcA
27,b0171,176,pyrH
28,b0173,178,dxr
29,b0197,204,metQ
30,b0200,207,gmhB
31,b0212,219,gloB
32,b0222,232,gmhA
33,b0237,247,pepD
34,b0260,276,mmuP
35,b0261,277,mmuM
36,b0306,330,ykgE
37,b0308,332,ykgG
38,b0311,334,betA
39,b0312,335,betB
40,b0314,337,betT
41,b0315,339,pdeL
42,b0325,349,yahK
43,b0333,356,prpC
44,b0334,357,prpD
45,b0335,358,prpE
46,b0339,362,cynT
47,b0341,364,cynX
48,b0356,379,frmA
49,b0365,388,tauA
50,b0366,389,tauB
51,b0367,390,tauC
52,b0386,408,proC
53,b0394,417,mak
54,b0401,423,brnQ
55,b0402,424,proY
56,b0404,426,acpH
57,b0414,436,ribD
58,b0420,442,dxs
59,b0425,447,panE
60,b0444,466,queC
61,b0446,468,cof
62,b0451,473,amtB
63,b0452,474,tesB
64,b0465,487,mscK
65,b0480,502,ushA
66,b0493,516,ybbO
67,b0494,517,tesA
68,b0508,532,hyi
69,b0509,533,glxR
70,b0511,534,ybbW
71,b0514,537,glxK
72,b0521,544,ybcF
73,b0523,546,purE
74,b0524,547,lpxH
75,b0529,552,folD
76,b0543,567,emrE
77,b0573,603,cusF
78,b0575,605,cusA
79,b0583,615,entD
80,b0588,621,fepC
81,b0606,640,ahpF
82,b0612,646,citT
83,b0613,647,citG
84,b0614,648,citX
85,b0615,649,citF
86,b0616,650,citE
87,b0617,651,citD
88,b0621,655,dcuC
89,b0622,656,pagP
90,b0624,658,crcB
91,b0638,671,cobC
92,b0650,683,hscC
93,b0651,684,rihA
94,b0655,689,gltI
95,b0662,696,ubiF
96,b0674,704,asnB
97,b0675,705,umpH
98,b0698,731,kdpA
99,b0709,743,dtpD
100,b0721,757,sdhC
101,b0723,759,sdhA
102,b0724,760,sdhB
103,b0728,763,sucC
104,b0729,764,sucD
105,b0731,767,mngA
106,b0732,768,mngB
107,b0733,769,cydA
108,b0750,787,nadA
109,b0751,788,pnuC
110,b0754,791,aroG
111,b0757,794,galK
112,b0758,795,galT
113,b0763,800,modA
114,b0766,803,ybhA
115,b0774,811,bioA
116,b0789,826,clsB
117,b0811,850,glnH
118,b0813,852,rhtA
119,b0822,863,ybiV
120,b0825,866,fsaA
121,b0826,867,moeB
122,b0828,869,iaaA
123,b0831,872,gsiC
124,b0832,873,gsiD
125,b0837,878,yliI
126,b0842,883,mdfA
127,b0844,885,ybjI
128,b0860,902,artJ
129,b0867,909,amiD
130,b0870,912,ltaE
131,b0874,916,lysO
132,b0875,917,aqpZ
133,b0888,931,trxB
134,b0894,937,dmsA
135,b0895,938,dmsB
136,b0896,939,dmsC
137,b0914,957,msbA
138,b0918,961,kdsB
139,b0928,971,aspC
140,b0929,972,ompF
141,b0934,977,ssuC
142,b0935,978,ssuD
143,b0936,979,ssuA
144,b0937,980,ssuE
145,b0945,988,pyrD
146,b0954,997,fabA
147,b0972,1015,hyaA
148,b0973,1016,hyaB
149,b0974,1017,hyaC
150,b0996,1043,torC
151,b0997,1044,torA
152,b1006,1053,rutG
153,b1007,1054,rutF
154,b1008,1055,rutE
155,b1009,1056,rutD
156,b1010,1057,rutC
157,b1011,1058,rutB
158,b1012,1059,rutA
159,b1014,1061,putA
160,b1019,1066,efeB
161,b1021,1068,pgaD
162,b1022,1069,pgaC
163,b1025,1072,dgcT
164,b1033,1078,ghrA
165,b1059,1103,solA
166,b1097,1143,mltG
167,b1098,1144,tmk
168,b1102,1148,fhuE
169,b1103,1149,hinT
170,b1106,1152,thiK
171,b1119,1166,nagK
172,b1134,1181,nudJ
173,b1136,1183,icd
174,b1192,1249,ldcA
175,b1193,1250,emtA
176,b1207,1264,prs
177,b1224,1288,narG
178,b1225,1289,narH
179,b1226,1290,narJ
180,b1227,1291,narI
181,b1238,1303,tdk
182,b1243,1309,oppA
183,b1244,1310,oppB
184,b1245,1311,oppC
185,b1246,1312,oppD
186,b1247,1313,oppF
187,b1250,1317,kch
188,b1263,1330,trpD
189,b1264,1331,trpE
190,b1270,1337,btuR
191,b1288,1361,fabI
192,b1291,1364,sapD
193,b1308,1382,pspE
194,b1317,1391,ycjU
195,b1319,1394,ompG
196,b1325,1400,ycjG
197,b1329,1406,mppA
198,b1330,1407,ynaI
199,b1336,1413,abgT
200,b1337,1414,abgB
201,b1363,1448,trkG
202,b1377,1461,ompN
203,b1387,1473,paaZ
204,b1392,1478,paaE
205,b1393,1479,paaF
206,b1394,1480,paaG
207,b1395,1481,paaH
208,b1396,1482,paaI
209,b1430,1518,tehB
210,b1448,1538,mnaT
211,b1453,1543,ansP
212,b1463,1553,nhoA
213,b1474,1564,fdnG
214,b1475,1565,fdnH
215,b1476,1566,fdnI
216,b1485,1575,ddpC
217,b1489,1579,dosP
218,b1524,1615,glsB
219,b1584,1686,speG
220,b1587,1689,ynfE
221,b1588,1690,ynfF
222,b1589,1691,ynfG
223,b1590,1692,ynfH
224,b1592,1694,clcB
225,b1599,1702,mdtI
226,b1600,1703,mdtJ
227,b1602,1706,pntB
228,b1603,1707,pntA
229,b1605,1709,ydgI
230,b1606,1710,folM
231,b1616,1720,uidB
232,b1617,1721,uidA
233,b1619,1723,hdhA
234,b1623,1727,add
235,b1636,1741,pdxY
236,b1638,1743,pdxH
237,b1640,1745,anmK
238,b1656,1761,sodB
239,b1661,1767,cfa
240,b1662,1768,ribC
241,b1686,1794,menI
242,b1693,1802,aroD
243,b1694,1803,ydiF
244,b1701,1810,fadK
245,b1702,1811,ppsA
246,b1704,1813,aroH
247,b1711,1820,btuC
248,b1733,1842,chbG
249,b1734,1843,chbF
250,b1736,1845,chbA
251,b1737,1846,chbC
252,b1738,1847,chbB
253,b1740,1849,nadE
254,b1761,1870,gdhA
255,b1767,1876,ansA
256,b1768,1877,pncA
257,b1771,1880,ydjG
258,b1781,1890,yeaE
259,b1794,1903,dgcP
260,b1800,1911,dmlA
261,b1801,1912,yeaV
262,b1813,1924,nudL
263,b1832,1945,msrC
264,b1849,1964,purT
265,b1854,1969,pykA
266,b1870,1986,cmoA
267,b1872,1988,torZ
268,b1873,1989,torY
269,b1907,2026,tyrP
270,b1912,2032,pgsA
271,b1918,2040,tcyL
272,b1920,2042,tcyJ
273,b1927,2050,amyA
274,b1985,2104,yeeO
275,b1990,2109,ldtA
276,b1991,2110,cobT
277,b2010,2135,dacD
278,b2019,2146,hisG
279,b2020,2147,hisD
280,b2021,2148,hisC
281,b2023,2150,hisH
282,b2025,2152,hisF
283,b2029,2156,gnd
284,b2034,2161,wbbI
285,b2036,2163,glf
286,b2041,2168,rfbB
287,b2047,2174,wcaJ
288,b2048,2175,cpsG
289,b2049,2176,cpsB
290,b2051,2178,gmm
291,b2052,2179,fcl
292,b2053,2180,gmd
293,b2091,2221,gatD
294,b2092,2222,gatC
295,b2093,2223,gatB
296,b2103,2233,thiD
297,b2104,2234,thiM
298,b2146,2277,preT
299,b2147,2278,preA
300,b2164,2295,psuT
301,b2173,2305,yeiR
302,b2174,2306,lpxT
303,b2175,2307,mepS
304,b2177,2309,yejA
305,b2179,2311,yejE
306,b2197,2328,ccmE
307,b2198,2329,ccmD
308,b2199,2330,ccmC
309,b2200,2331,ccmB
310,b2201,2332,ccmA
311,b2202,2333,napC
312,b2203,2334,napB
313,b2204,2335,napH
314,b2205,2336,napG
315,b2206,2337,napA
316,b2210,2342,mqo
317,b2215,2347,ompC
318,b2221,2354,atoD
319,b2240,2374,glpT
320,b2245,2380,yfaU
321,b2247,2382,rhmD
322,b2251,2386,nudI
323,b2253,2388,arnB
324,b2254,2389,arnC
325,b2255,2390,arnA
326,b2256,2391,arnD
327,b2257,2392,arnT
328,b4544,2393,arnE
329,b2258,2394,arnF
330,b2260,2396,menE
331,b2261,2397,menC
332,b2263,2399,menH
333,b2264,2400,menD
334,b2265,2401,menF
335,b2279,2415,nuoK
336,b2287,2423,nuoB
337,b2288,2424,nuoA
338,b2293,2429,hxpA
339,b2302,2438,yfcG
340,b2309,2445,hisJ
341,b2315,2451,folC
342,b2320,2456,pdxB
343,b2323,2459,fabB
344,b2328,2464,mepA
345,b2361,2497,yfdR
346,b2373,2513,oxc
347,b2379,2520,alaC
348,b2413,2555,cysZ
349,b2414,2556,cysK
350,b2422,2564,cysA
351,b2430,2572,yfeW
352,b2431,2573,yfeX
353,b2440,2582,eutC
354,b2441,2583,eutB
355,b2458,2600,eutD
356,b2467,2609,nudK
357,b2481,2625,hyfA
358,b2482,2626,hyfB
359,b2483,2627,hyfC
360,b2484,2628,hyfD
361,b2485,2629,hyfE
362,b2486,2630,hyfF
363,b2487,2631,hyfG
364,b2488,2632,hyfH
365,b2489,2633,hyfI
366,b2490,2634,hyfJ
367,b2498,2642,upp
368,b2500,2644,purN
369,b2503,2647,pdeF
370,b2528,2676,iscA
371,b2529,2677,iscU
372,b2530,2678,iscS
373,b2536,2684,hcaT
374,b2564,2716,pdxJ
375,b2578,2731,eamB
376,b2601,2757,aroF
377,b2615,2770,nadK
378,b2683,2832,ygaH
379,b2690,2840,yqaB
380,b2701,2851,mltB
381,b2704,2854,srlB
382,b2708,2858,gutQ
383,b2710,2860,norV
384,b2711,2861,norW
385,b2715,2865,ascF
386,b2727,2877,hypB
387,b2738,2888,ygbL
388,b2746,2896,ispF
389,b2747,2897,ispD
390,b2750,2900,cysC
391,b2751,2901,cysN
392,b2752,2902,cysD
393,b2762,2913,cysH
394,b2763,2914,cysI
395,b2788,2939,gudX
396,b2796,2948,sdaC
397,b2800,2952,fucA
398,b2801,2953,fucP
399,b2802,2954,fucI
400,b2803,2955,fucK
401,b2835,2989,lplT
402,b2836,2990,aas
403,b2841,2997,araE
404,b2842,2998,kduD
405,b2866,3022,xdhA
406,b2871,3027,ygeX
407,b2873,3029,hyuA
408,b2882,3038,xanQ
409,b2883,3039,guaD
410,b4464,3040,ghxQ
411,b2888,3043,uacT
412,b2889,3046,idi
413,b2904,3061,gcvH
414,b2912,3070,fau
415,b2913,3073,serA
416,b2919,3079,scpB
417,b2923,3083,argO
418,b2926,3086,pgk
419,b2930,3090,yggF
420,b2942,3102,metK
421,b2957,3117,ansB
422,b2964,3124,nupG
423,b2965,3125,speC
424,b2987,3149,pitB
425,b2995,3157,hybB
426,b2996,3158,hybA
427,b2997,3159,hybO
428,b3001,3163,gpr
429,b3003,3165,yghA
430,b3018,3177,plsC
431,b3032,3191,cpdA
432,b3040,3198,zupT
433,b3052,3215,hldE
434,b3058,3221,folB
435,b3059,3222,plsY
436,b3114,3276,tdcE
437,b3115,3277,tdcD
438,b3116,3278,tdcC
439,b3117,3279,tdcB
440,b3132,3293,kbaZ
441,b3137,3298,kbaY
442,b3177,3340,folP
443,b3182,3345,dacB
444,b3212,3376,gltB
445,b3223,3387,nanE
446,b3225,3389,nanA
447,b3236,3400,mdh
448,b3248,3411,yhdE
449,b3253,3416,yhdH
450,b3255,3419,accB
451,b3266,3430,acrF
452,b3290,3453,trkA
453,b3350,3515,kefB
454,b3365,3531,nirB
455,b3366,3532,nirD
456,b3367,3533,nirC
457,b3370,3536,frlA
458,b4474,3538,frlC
459,b3374,3539,frlD
460,b3397,3562,nudE
461,b3403,3568,pck
462,b3412,3577,bioH
463,b3416,3581,malQ
464,b3417,3582,malP
465,b3425,3589,glpE
466,b3430,3594,glgC
467,b3437,3602,gntK
468,b3447,3614,ggt
469,b3469,3636,zntA
470,b3475,3642,acpT
471,b3476,3643,nikA
472,b3477,3644,nikB
473,b3478,3645,nikC
474,b3479,3646,nikD
475,b3480,3647,nikE
476,b3502,3675,arsB
477,b3503,3676,arsC
478,b3525,3701,pdeH
479,b3528,3704,dctA
480,b3540,3718,dppF
481,b3544,3722,dppA
482,b3575,3760,yiaK
483,b3577,3762,yiaM
484,b3578,3763,yiaN
485,b3579,3764,yiaO
486,b3580,3765,lyxK
487,b3581,3766,sgbH
488,b3582,3767,sgbU
489,b3583,3768,sgbE
490,b3589,3776,yiaY
491,b3590,3777,selB
492,b3608,3800,gpsA
493,b3614,3806,yibQ
494,b3616,3808,tdh
495,b3619,3811,rfaD
496,b3633,3828,waaA
497,b3639,3834,dfp
498,b3642,3837,pyrE
499,b3653,3848,gltS
500,b3654,3849,xanP
501,b3664,3862,adeQ
502,b3679,3881,yidK
503,b3691,3893,dgoT
504,b4478,3894,dgoD
505,b4477,3895,dgoA
506,b3693,3896,dgoK
507,b3697,3899,yidA
508,b3709,3913,tnaB
509,b3714,3918,adeP
510,b3721,3925,bglB
511,b3731,3935,atpC
512,b3732,3936,atpD
513,b3735,3939,atpH
514,b3736,3940,atpF
515,b3738,3942,atpB
516,b3747,3951,kup
517,b3750,3954,rbsC
518,b3751,3955,rbsB
519,b3770,3974,ilvE
520,b3771,3975,ilvD
521,b3785,3988,wzzE
522,b3823,4029,rhtC
523,b3825,4031,pldB
524,b3849,4054,trkH
525,b3850,4055,hemG
526,b3856,4061,mobB
527,b3870,4077,glnA
528,b3875,4082,ompL
529,b3877,4084,yihP
530,b3880,4087,yihS
531,b3881,4088,yihT
532,b3882,4089,yihU
533,b3883,4090,yihV
534,b3885,4092,yihX
535,b3907,4114,rhaT
536,b3909,4116,kdgT
537,b3916,4123,pfkA
538,b3917,4124,sbp
539,b3918,4125,cdh
540,b3925,4132,glpX
541,b3926,4133,glpK
542,b3940,4147,metL
543,b3943,4150,yijE
544,b3945,4152,gldA
