,locus,matrix_idx
0,b0002,1
1,b0003,2
2,b0004,3
3,b0007,6
4,b0010,9
5,b0019,19
6,b0025,25
7,b0031,31
8,b0032,32
9,b0033,33
10,b0036,36
11,b0037,37
12,b0038,38
13,b0040,40
14,b0046,46
15,b0047,47
16,b0049,49
17,b0054,54
18,b0061,61
19,b0062,62
20,b0063,63
21,b0066,66
22,b0067,67
23,b0068,68
24,b0070,73
25,b0071,74
26,b0074,77
27,b0077,81
28,b0078,82
29,b0084,87
30,b0085,89
31,b0086,90
32,b0087,91
33,b0088,92
34,b0089,93
35,b0090,94
36,b0091,95
37,b0092,96
38,b0096,100
39,b0099,103
40,b0103,106
41,b0109,112
42,b0112,115
43,b0114,117
44,b0115,118
45,b0116,119
46,b0118,121
47,b0123,126
48,b0124,127
49,b0125,128
50,b0131,134
51,b0133,136
52,b0134,137
53,b0142,145
54,b0150,153
55,b0151,154
56,b0152,155
57,b0153,156
58,b0154,157
59,b0155,159
60,b0166,170
61,b0171,176
62,b0173,178
63,b0179,185
64,b0185,191
65,b0197,204
66,b0198,205
67,b0199,206
68,b0200,207
69,b0211,218
70,b0212,219
71,b0221,231
72,b0222,232
73,b0237,247
74,b0238,248
75,b0241,253
76,b0260,276
77,b0261,277
78,b0273,291
79,b0306,330
80,b0308,332
81,b0311,334
82,b0312,335
83,b0314,337
84,b0315,339
85,b0325,349
86,b0331,355
87,b0333,356
88,b0334,357
89,b0335,358
90,b0336,359
91,b0337,360
92,b0339,362
93,b0341,364
94,b0343,366
95,b0344,367
96,b0356,379
97,b0365,388
98,b0366,389
99,b0367,390
100,b0369,392
101,b0386,408
102,b0388,410
103,b0394,417
104,b0401,423
105,b0402,424
106,b0404,426
107,b0411,433
108,b0414,436
109,b0415,437
110,b0417,439
111,b0420,442
112,b0421,443
113,b0425,447
114,b0428,450
115,b0429,451
116,b0430,452
117,b0431,453
118,b0432,454
119,b0444,466
120,b0446,468
121,b0451,473
122,b0452,474
123,b0462,484
124,b0463,485
125,b0465,487
126,b0475,497
127,b0480,502
128,b0484,507
129,b0485,508
130,b0493,516
131,b0494,517
132,b0507,531
133,b0508,532
134,b0509,533
135,b0511,534
136,b0512,535
137,b0514,537
138,b0521,544
139,b0522,545
140,b0523,546
141,b0524,547
142,b0529,552
143,b0543,567
144,b0573,603
145,b0575,605
146,b0583,615
147,b0584,616
148,b0585,617
149,b0586,619
150,b0588,621
151,b0589,622
152,b0590,623
153,b0591,624
154,b0592,625
155,b0593,626
156,b0594,627
157,b0595,628
158,b0596,629
159,b0597,630
160,b0605,639
161,b0606,640
162,b0612,646
163,b0613,647
164,b0614,648
165,b0615,649
166,b0616,650
167,b0617,651
168,b0621,655
169,b0622,656
170,b0624,658
171,b0638,671
172,b0650,683
173,b0651,684
174,b0655,689
175,b0662,696
176,b0674,704
177,b0675,705
178,b0677,707
179,b0678,708
180,b0679,709
181,b0681,712
182,b0684,716
183,b0698,731
184,b0709,743
185,b0720,754
186,b0721,757
187,b0722,758
188,b0723,759
189,b0724,760
190,b0726,761
191,b0727,762
192,b0728,763
193,b0729,764
194,b0731,767
195,b0732,768
196,b0733,769
197,b0734,770
198,b0750,787
199,b0751,788
200,b0754,791
201,b0755,792
202,b0756,793
203,b0757,794
204,b0758,795
205,b0759,796
206,b0763,800
207,b0764,801
208,b0765,802
209,b0766,803
210,b0774,811
211,b0781,818
212,b0789,826
213,b0805,844
214,b0809,848
215,b0810,849
216,b0811,850
217,b0813,852
218,b0819,860
219,b0822,863
220,b0825,866
221,b0826,867
222,b0827,868
223,b0828,869
224,b0831,872
225,b0832,873
226,b0837,878
227,b0839,880
228,b0842,883
229,b0844,885
230,b0854,896
231,b0860,902
232,b0861,903
233,b0862,904
234,b0863,905
235,b0864,906
236,b0867,909
237,b0870,912
238,b0874,916
239,b0875,917
240,b0886,929
241,b0887,930
242,b0888,931
243,b0894,937
244,b0895,938
245,b0896,939
246,b0903,946
247,b0904,947
248,b0907,950
249,b0908,951
250,b0910,953
251,b0914,957
252,b0918,961
253,b0925,968
254,b0928,971
255,b0929,972
256,b0931,974
257,b0933,976
258,b0934,977
259,b0935,978
260,b0936,979
261,b0937,980
262,b0945,988
263,b0954,997
264,b0957,1000
265,b0972,1015
266,b0973,1016
267,b0974,1017
268,b0978,1021
269,b0996,1043
270,b0997,1044
271,b1002,1049
272,b1006,1053
273,b1007,1054
274,b1008,1055
275,b1009,1056
276,b1010,1057
277,b1011,1058
278,b1012,1059
279,b1014,1061
280,b1015,1063
281,b1019,1066
282,b1021,1068
283,b1022,1069
284,b1025,1072
285,b1033,1078
286,b1059,1103
287,b1062,1106
288,b1064,1108
289,b1091,1137
290,b1092,1138
291,b1093,1139
292,b1095,1141
293,b1097,1143
294,b1098,1144
295,b1101,1147
296,b1102,1148
297,b1103,1149
298,b1106,1152
299,b1109,1155
300,b1113,1160
301,b1119,1166
302,b1131,1178
303,b1134,1181
304,b1136,1183
305,b1189,1245
306,b1190,1246
307,b1192,1249
308,b1193,1250
309,b1197,1254
310,b1200,1257
311,b1207,1264
312,b1210,1267
313,b1215,1272
314,b1223,1286
315,b1224,1288
316,b1225,1289
317,b1226,1290
318,b1227,1291
319,b1232,1297
320,b1238,1303
321,b1241,1305
322,b1243,1309
323,b1244,1310
324,b1245,1311
325,b1246,1312
326,b1247,1313
327,b1250,1317
328,b1252,1319
329,b1260,1327
330,b1261,1328
331,b1262,1329
332,b1263,1330
333,b1264,1331
334,b1270,1337
335,b1276,1346
336,b1285,1357
337,b1288,1361
338,b1291,1364
339,b1296,1369
340,b1297,1371
341,b1298,1372
342,b1300,1374
343,b1301,1375
344,b1302,1376
345,b1308,1382
346,b1317,1391
347,b1319,1394
348,b1325,1400
349,b1329,1406
350,b1330,1407
351,b1336,1413
352,b1337,1414
353,b1341,1419
354,b1363,1448
355,b1377,1461
356,b1378,1463
357,b1380,1466
358,b1385,1471
359,b1387,1473
360,b1388,1474
361,b1389,1475
362,b1390,1476
363,b1391,1477
364,b1392,1478
365,b1393,1479
366,b1394,1480
367,b1395,1481
368,b1396,1482
369,b1397,1483
370,b1398,1484
371,b1400,1486
372,b1415,1501
373,b1430,1518
374,b1441,1530
375,b1448,1538
376,b1453,1543
377,b1463,1553
378,b1474,1564
379,b1475,1565
380,b1476,1566
381,b1485,1575
382,b1489,1579
383,b1492,1583
384,b1493,1584
385,b1511,1602
386,b1513,1604
387,b1514,1605
388,b1515,1606
389,b1516,1607
390,b1517,1608
391,b1518,1609
392,b1519,1610
393,b1521,1612
394,b1524,1615
395,b1535,1629
396,b1584,1686
397,b1587,1689
398,b1588,1690
399,b1589,1691
400,b1590,1692
401,b1592,1694
402,b1599,1702
403,b1600,1703
404,b1602,1706
405,b1603,1707
406,b1605,1709
407,b1606,1710
408,b1611,1715
409,b1612,1716
410,b1613,1717
411,b1616,1720
412,b1617,1721
413,b1619,1723
414,b1621,1725
415,b1622,1726
416,b1623,1727
417,b1634,1739
418,b1636,1741
419,b1638,1743
420,b1640,1745
421,b1646,1751
422,b1651,1756
423,b1654,1759
424,b1656,1761
425,b1661,1767
426,b1662,1768
427,b1676,1783
428,b1679,1786
429,b1680,1787
430,b1681,1788
431,b1682,1789
432,b1683,1790
433,b1684,1791
434,b1686,1794
435,b1693,1802
436,b1694,1803
437,b1701,1810
438,b1702,1811
439,b1704,1813
440,b1710,1819
441,b1711,1820
442,b1723,1832
443,b1732,1841
444,b1733,1842
445,b1734,1843
446,b1736,1845
447,b1737,1846
448,b1738,1847
449,b1740,1849
450,b1748,1857
451,b1761,1870
452,b1767,1876
453,b1768,1877
454,b1771,1880
455,b1778,1887
456,b1779,1888
457,b1781,1890
458,b1794,1903
459,b1800,1911
460,b1801,1912
461,b1805,1916
462,b1813,1924
463,b1814,1925
464,b1817,1929
465,b1818,1930
466,b1819,1931
467,b1832,1945
468,b1849,1964
469,b1850,1965
470,b1851,1966
471,b1852,1967
472,b1854,1969
473,b1857,1972
474,b1870,1986
475,b1872,1988
476,b1873,1989
477,b1901,2019
478,b1907,2026
479,b1912,2032
480,b1918,2040
481,b1919,2041
482,b1920,2042
483,b1927,2050
484,b1967,2087
485,b1981,2100
486,b1982,2101
487,b1985,2104
488,b1990,2109
489,b1991,2110
490,b1993,2112
491,b2010,2135
492,b2019,2146
493,b2020,2147
494,b2021,2148
495,b2022,2149
496,b2023,2150
497,b2024,2151
498,b2025,2152
499,b2026,2153
500,b2029,2156
501,b2034,2161
502,b2036,2163
503,b2041,2168
504,b2047,2174
505,b2048,2175
506,b2049,2176
507,b2051,2178
508,b2052,2179
509,b2053,2180
510,b2091,2221
511,b2092,2222
512,b2093,2223
513,b2094,2224
514,b2095,2225
515,b2096,2226
516,b2097,2227
517,b2103,2233
518,b2104,2234
519,b2143,2274
520,b2146,2277
521,b2147,2278
522,b2148,2279
523,b2149,2280
524,b2150,2281
525,b2153,2284
526,b2155,2286
527,b2156,2287
528,b2164,2295
529,b2167,2298
530,b2168,2299
531,b2169,2300
532,b2173,2305
533,b2174,2306
534,b2175,2307
535,b2177,2309
536,b2179,2311
537,b2197,2328
538,b2198,2329
539,b2199,2330
540,b2200,2331
541,b2201,2332
542,b2202,2333
543,b2203,2334
544,b2204,2335
545,b2205,2336
546,b2206,2337
547,b2210,2342
548,b2215,2347
549,b2221,2354
550,b2234,2367
551,b2235,2369
552,b2239,2373
553,b2240,2374
554,b2241,2375
555,b2242,2376
556,b2243,2377
557,b2245,2380
558,b2247,2382
559,b2251,2386
560,b2253,2388
561,b2254,2389
562,b2255,2390
563,b2256,2391
564,b2257,2392
565,b4544,2393
566,b2258,2394
567,b2260,2396
568,b2261,2397
569,b2263,2399
570,b2264,2400
571,b2265,2401
572,b2276,2412
573,b2277,2413
574,b2278,2414
575,b2279,2415
576,b2280,2416
577,b2281,2417
578,b2282,2418
579,b2283,2419
580,b2284,2420
581,b2285,2421
582,b2286,2422
583,b2287,2423
584,b2288,2424
585,b2290,2426
586,b2293,2429
587,b2296,2432
588,b2297,2433
589,b2302,2438
590,b2306,2442
591,b2307,2443
592,b2308,2444
593,b2309,2445
594,b2310,2446
595,b2312,2448
596,b2315,2451
597,b2316,2452
598,b2320,2456
599,b2323,2459
600,b2328,2464
601,b2341,2476
602,b2342,2477
603,b2344,2479
604,b2361,2497
605,b2371,2511
606,b2373,2513
607,b2379,2520
608,b2388,2529
609,b2392,2532
610,b2393,2534
611,b2400,2541
612,b2413,2555
613,b2414,2556
614,b2415,2557
615,b2416,2558
616,b2417,2559
617,b2421,2563
618,b2422,2564
619,b2423,2565
620,b2424,2566
621,b2425,2567
622,b2428,2570
623,b2429,2571
624,b2430,2572
625,b2431,2573
626,b2435,2577
627,b2436,2578
628,b2440,2582
629,b2441,2583
630,b2458,2600
631,b2467,2609
632,b2476,2620
633,b2478,2622
634,b2480,2624
635,b2481,2625
636,b2482,2626
637,b2483,2627
638,b2484,2628
639,b2485,2629
640,b2486,2630
641,b2487,2631
642,b2488,2632
643,b2489,2633
644,b2490,2634
645,b2492,2636
646,b2498,2642
647,b2499,2643
648,b2500,2644
649,b2501,2645
650,b2502,2646
651,b2503,2647
652,b2507,2651
653,b2508,2652
654,b2528,2676
655,b2529,2677
656,b2530,2678
657,b2536,2684
658,b2551,2700
659,b2552,2701
660,b2557,2707
661,b2564,2716
662,b2578,2731
663,b2579,2732
664,b2585,2739
665,b2587,2741
666,b2599,2755
667,b2600,2756
668,b2601,2757
669,b2615,2770
670,b2670,2820
671,b2675,2825
672,b2676,2826
673,b2677,2827
674,b2678,2828
675,b2679,2829
676,b2683,2832
677,b2687,2836
678,b2690,2840
679,b2701,2851
680,b2702,2852
681,b2703,2853
682,b2704,2854
683,b2705,2855
684,b2708,2858
685,b2710,2860
686,b2711,2861
687,b2715,2865
688,b2716,2866
689,b2727,2877
690,b2738,2888
691,b2746,2896
692,b2747,2897
693,b2750,2900
694,b2751,2901
695,b2752,2902
696,b2762,2913
697,b2763,2914
698,b2764,2915
699,b2779,2930
700,b2781,2932
701,b2784,2935
702,b2788,2939
703,b2796,2948
704,b2800,2952
705,b2801,2953
706,b2802,2954
707,b2803,2955
708,b2818,2971
709,b2835,2989
710,b2836,2990
711,b2841,2997
712,b2842,2998
713,b2866,3022
714,b2871,3027
715,b2873,3029
716,b2882,3038
717,b2883,3039
718,b4464,3040
719,b2888,3043
720,b2889,3046
721,b2903,3060
722,b2904,3061
723,b2905,3062
724,b2912,3070
725,b2913,3073
726,b2914,3074
727,b2919,3079
728,b2923,3083
729,b2925,3085
730,b2926,3086
731,b2927,3087
732,b2930,3090
733,b2937,3096
734,b2938,3097
735,b2942,3102
736,b2943,3103
737,b2957,3117
738,b2964,3124
739,b2965,3125
740,b2975,3136
741,b2976,3137
742,b4467,3139
743,b4468,3140
744,b2979,3141
745,b2987,3149
746,b2994,3156
747,b2995,3157
748,b2996,3158
749,b2997,3159
750,b3001,3163
751,b3003,3165
752,b3005,3166
753,b3006,3167
754,b3008,3168
755,b3011,3171
756,b3012,3172
757,b3018,3177
758,b3032,3191
759,b3035,3194
760,b3040,3198
761,b3052,3215
762,b3058,3221
763,b3059,3222
764,b3070,3233
765,b3073,3236
766,b3089,3252
767,b3091,3254
768,b3092,3255
769,b3093,3256
770,b3114,3276
771,b3115,3277
772,b3116,3278
773,b3117,3279
774,b3124,3285
775,b3125,3286
776,b3126,3287
777,b3127,3288
778,b3128,3289
779,b3132,3293
780,b3137,3298
781,b3161,3322
782,b3172,3335
783,b3177,3340
784,b3182,3345
785,b3199,3362
786,b3200,3363
787,b3201,3364
788,b3212,3376
789,b3213,3377
790,b3222,3386
791,b3223,3387
792,b3224,3388
793,b3225,3389
794,b3236,3400
795,b3248,3411
796,b3253,3416
797,b3255,3419
798,b3256,3420
799,b3265,3429
800,b3266,3430
801,b3290,3453
802,b3336,3500
803,b3350,3515
804,b3359,3524
805,b3365,3531
806,b3366,3532
807,b3367,3533
808,b3368,3534
809,b3370,3536
810,b3371,3537
811,b4474,3538
812,b3374,3539
813,b3390,3555
814,b3397,3562
815,b3403,3568
816,b3409,3574
817,b3412,3577
818,b3415,3580
819,b3416,3581
820,b3417,3582
821,b3425,3589
822,b3426,3590
823,b3428,3592
824,b3429,3593
825,b3430,3594
826,b3433,3599
827,b4476,3601
828,b3437,3602
829,b3447,3614
830,b3449,3616
831,b3450,3617
832,b3451,3618
833,b3452,3619
834,b3453,3620
835,b3454,3621
836,b3455,3622
837,b3456,3623
838,b3457,3624
839,b3458,3625
840,b3460,3627
841,b3469,3636
842,b3475,3642
843,b3476,3643
844,b3477,3644
845,b3478,3645
846,b3479,3646
847,b3480,3647
848,b3493,3661
849,b3500,3670
850,b3502,3675
851,b3503,3676
852,b3517,3693
853,b3525,3701
854,b3528,3704
855,b3540,3718
856,b3541,3719
857,b3542,3720
858,b3543,3721
859,b3544,3722
860,b3546,3724
861,b3564,3747
862,b3565,3749
863,b3566,3750
864,b3567,3751
865,b3568,3752
866,b3572,3757
867,b3575,3760
868,b3577,3762
869,b3578,3763
870,b3579,3764
871,b3580,3765
872,b3581,3766
873,b3582,3767
874,b3583,3768
875,b3588,3775
876,b3589,3776
877,b3590,3777
878,b3599,3790
879,b3600,3791
880,b3603,3795
881,b3605,3797
882,b3608,3800
883,b3612,3804
884,b3614,3806
885,b3616,3808
886,b3617,3809
887,b3619,3811
888,b3620,3812
889,b3622,3814
890,b3631,3825
891,b3633,3828
892,b3639,3834
893,b3642,3837
894,b3648,3843
895,b3650,3845
896,b3653,3848
897,b3654,3849
898,b3664,3862
899,b3665,3863
900,b3670,3869
901,b3671,3870
902,b3679,3881
903,b3691,3893
904,b4478,3894
905,b4477,3895
906,b3693,3896
907,b3697,3899
908,b3708,3912
909,b3709,3913
910,b3714,3918
911,b3721,3925
912,b3722,3926
913,b3725,3929
914,b3727,3931
915,b3728,3932
916,b3729,3933
917,b3730,3934
918,b3731,3935
919,b3732,3936
920,b3733,3937
921,b3734,3938
922,b3735,3939
923,b3736,3940
924,b3737,3941
925,b3738,3942
926,b3744,3948
927,b3747,3951
928,b3748,3952
929,b3749,3953
930,b3750,3954
931,b3751,3955
932,b3752,3957
933,b3770,3974
934,b3771,3975
935,b3772,3976
936,b3774,3978
937,b3781,3984
938,b3785,3988
939,b3786,3989
940,b3806,4011
941,b3809,4015
942,b3821,4027
943,b3823,4029
944,b3825,4031
945,b3829,4035
946,b3831,4037
947,b3845,4050
948,b3846,4051
949,b3849,4054
950,b3850,4055
951,b3856,4061
952,b3860,4065
953,b3867,4073
954,b3870,4077
955,b3875,4082
956,b3877,4084
957,b3880,4087
958,b3881,4088
959,b3882,4089
960,b3883,4090
961,b3885,4092
962,b3907,4114
963,b3908,4115
964,b3909,4116
965,b3916,4123
966,b3917,4124
967,b3918,4125
968,b3919,4126
969,b3925,4132
970,b3926,4133
971,b3927,4134
972,b3939,4146
973,b3940,4147
974,b3941,4148
975,b3942,4149
976,b3943,4150
