accession,overexpression
ERX1273491,mazF
ERX1273492,mazF
ERX1273493,mazF
ERX1273494,mazF
ERX1273495,mazF
ERX1273506,mqsR
ERX1273507,mqsR
ERX1273508,mqsR
ERX1273509,mqsR
ERX1273510,mqsR
ERX2700490,mazF
ERX2700491,mazF
ERX2700492,mqsR
ERX2700493,mqsR
ERX2874132,aroP
ERX2874133,aroP
ERX2874134,bamC
ERX2874135,bamC
ERX2874136,cusA
ERX2874137,cusA
ERX2874138,hemX
ERX2874139,hemX
ERX2874142,topA
ERX2874143,topA
ERX2874144,yicR
ERX2874145,yicR
ERX2874146,yqjD
ERX2874147,yqjD
ERX3803290,ryhB
ERX3803291,ryhB
ERX3803292,ryhB
ERX3803293,cyaR
ERX3803294,cyaR
ERX3803295,cyaR
ERX3803296,cyaR
ERX3803297,cyaR
ERX3803298,cyaR
ERX3803299,arcZ
ERX3803300,arcZ
ERX3803301,arcZ
ERX3803302,arcZ
ERX3803303,arcZ
ERX3803304,arcZ
ERX3803305,arcZ
ERX3803306,arcZ
ERX3803307,arcZ
ERX3803308,arcZ
ERX3803309,arcZ
ERX3803310,arcZ
ERX3803311,gcvB
ERX3803312,gcvB
ERX3803313,gcvB
ERX3803314,gcvB
ERX3803315,gcvB
ERX3803316,gcvB
ERX3803320,micA
ERX3803321,micA
ERX3803322,micA
ERX575541,ryhB
ERX575542,ryhB
ERX575543,ryhB
ERX575546,ryhB
SRX1532413,dicF
SRX1532414,dicF
SRX1532415,dicF
SRX4912069,rydC
SRX4912070,rydC
SRX4912071,rydC
