,matrix_idx,iml_idx,semisup_idx,dataset_items,fitness
arcZ,3373,-1,-1,"[37,38,39,40,41,42,43,44,45,46,47,48]",0.009672224250496195
aroP,115,52,103,"[14,15]",1.8653890603861951
bamC,2621,-1,2304,"[16,17]",165.05274094233152
cusA,605,201,525,"[18,19]",139.78673643331277
cyaR,2213,-1,-1,"[31,32,33,34,35,36]",1.3887135393262258
dicF,1675,-1,-1,"[62,63,64]",3.3018683250923058
gcvB,2961,-1,-1,"[49,50,51,52,53,54]",0.9055975542860539
hemX,4008,-1,3520,"[20,21]",238.5302176816806
mazF,2933,-1,2576,"[0,1,2,3,4,10,11]",92.0197801772725
micA,2837,-1,-1,"[55,56,57]",0.60976492705443
mqsR,3181,-1,2794,"[5,6,7,8,9,12,13]",60.830933927547306
rydC,1504,-1,-1,"[65,66,67]",0.7476689809194157
ryhB,3606,-1,-1,"[28,29,30,58,59,60,61]",0.5199038509445022
topA,1341,-1,1183,"[22,23]",1.1700713316947364
yicR,3833,-1,3367,"[24,25]",0.011869092122914586
yqjD,3262,-1,2863,"[26,27]",0.856813392728411
