,perturbation,control_idx,deleted_genes,mutated_genes,overexpressed_genes,conditions,Strain,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Supplement,Antibiotic for selection,Growth Rate (1/hr)
p1k_00007,{'b0683': -1},"['p1k_00003', 'p1k_00004']",fur,,,"('MG1655', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', 'DPD (0.2mM)')",MG1655,M9,37,7.0,glucose(2),NH4Cl(1),O2,DPD (0.2mM),Kanamycin (50 ug/mL),0.0
p1k_00008,{'b0683': -1},"['p1k_00003', 'p1k_00004']",fur,,,"('MG1655', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', 'DPD (0.2mM)')",MG1655,M9,37,7.0,glucose(2),NH4Cl(1),O2,DPD (0.2mM),Kanamycin (50 ug/mL),0.0
p1k_00009,{'b0683': -1},"['p1k_00005', 'p1k_00006']",fur,,,"('MG1655', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', 'FeCl2 (0.1mM)')",MG1655,M9,37,7.0,glucose(2),NH4Cl(1),O2,FeCl2 (0.1mM),Kanamycin (50 ug/mL),0.62
p1k_00010,{'b0683': -1},"['p1k_00005', 'p1k_00006']",fur,,,"('MG1655', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', 'FeCl2 (0.1mM)')",MG1655,M9,37,7.0,glucose(2),NH4Cl(1),O2,FeCl2 (0.1mM),Kanamycin (50 ug/mL),0.62
p1k_00014,{'b3516': -1},"['p1k_00011', 'p1k_00012', 'p1k_00201', 'p1k_00202']",gadX,,,"('MG1655', 'M9', 37, 5.5, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,5.5,glucose(2),NH4Cl(1),O2,,Kanamycin (50 ug/mL),
p1k_00015,{'b3515': -1},"['p1k_00011', 'p1k_00012', 'p1k_00201', 'p1k_00202']",gadW,,,"('MG1655', 'M9', 37, 5.5, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,5.5,glucose(2),NH4Cl(1),O2,,Kanamycin (50 ug/mL),
p1k_00016,{'b3515': -1},"['p1k_00011', 'p1k_00012', 'p1k_00201', 'p1k_00202']",gadW,,,"('MG1655', 'M9', 37, 5.5, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,5.5,glucose(2),NH4Cl(1),O2,,Kanamycin (50 ug/mL),
p1k_00017,{'b3512': -1},"['p1k_00011', 'p1k_00012', 'p1k_00201', 'p1k_00202']",gadE,,,"('MG1655', 'M9', 37, 5.5, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,5.5,glucose(2),NH4Cl(1),O2,,Kanamycin (50 ug/mL),
p1k_00018,{'b3512': -1},"['p1k_00011', 'p1k_00012', 'p1k_00201', 'p1k_00202']",gadE,,,"('MG1655', 'M9', 37, 5.5, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,5.5,glucose(2),NH4Cl(1),O2,,Kanamycin (50 ug/mL),
p1k_00021,{'b3961': -1},"['p1k_00019', 'p1k_00020']",oxyR,,,"('MG1655', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', 'PQ (250uM)')",MG1655,M9,37,7.0,glucose(2),NH4Cl(1),O2,PQ (250uM),Kanamycin (50 ug/mL),0.0
