,locus,symbol
18,b4413,sokC
69,b4762,sroA
71,b4577,sgrS
88,b4810,ftsO
158,b4765,yadX
173,b4414,tff
179,b4809,ispZ
208,b0201,rrsH
209,b0202,ileV
210,b0203,alaV
211,b0204,rrlH
212,b0205,rrfH
213,b0206,aspU
220,b4815,ykfO
224,b0216,aspV
256,b0244,thrW
266,b4627,ykfL
267,b4628,ykfK
273,b4690,eyeA
282,b4708,insI2
283,b4505,insX
292,b4766,argL
325,b4631,ykgQ
394,b4767,ytiB
477,b0455,ffs
504,b4585,chiX
530,b4831,allZ
559,b0536,argU
563,b4508,peaD
612,b4835,sokE
688,b4763,sroC
697,b0664,glnX
698,b0665,glnV
699,b0666,metU
700,b0668,glnW
701,b0670,glnU
702,b0672,leuW
703,b0673,metT
711,b4808,chiZ
723,b4636,ybfI
726,b4803,speFL
755,b4768,ybgV
765,b4764,sdhX
780,b0743,lysT
781,b0744,valT
782,b0745,lysW
783,b0746,valZ
784,b0747,lysY
785,b0748,lysZ
786,b0749,lysQ
839,b4814,zbiJ
840,b4769,ybiE
856,b4416,rybA
888,b4417,rybB
923,b4770,yljB
926,b0883,serW
1014,b0971,serT
1077,b1032,serX
1128,b4826,flgO
1133,b4418,sraB
1159,b4832,bhsB
1184,b4806,C0293
1234,b4816,ymgN
1274,b4420,rdlA
1276,b4422,rdlB
1278,b4424,rdlC
1287,b4813,narS
1293,b4425,rttR
1295,b1230,tyrV
1296,b1231,tyrT
1306,b4771,ychT
1356,b4772,ymiD
1417,b4426,mcaS
1420,b4773,ynaN
1422,b4699,fnrS
1429,b4714,ralA
1436,b4833,kilS
1462,b4427,micC
1504,b4597,rydC
1506,b4774,yncP
1509,b4429,sokB
1520,b4578,yncK
1627,b4775,mgtT
1628,b4698,mgrR
1656,b4776,ynfU
1675,b1574,dicF
1704,b4777,mdtU
1771,b1665,valV
1772,b1666,valW
1782,b4817,ynhH
1792,b4430,rydB
1797,b4431,rprA
1952,b4432,ryeA
1953,b4433,sdsR
1990,b4717,micL
1994,b4778,yecV
2009,b4828,motR
2028,b4759,3'ETS-leuZ
2029,b1909,leuZ
2030,b1910,cysT
2031,b1911,glyW
2038,b4719,sdsN
2045,b4827,fliX
2075,b1954,dsrA
2085,b4603,rseX
2095,b1975,serU
2097,b1977,asnT
2103,b1984,asnW
2105,b1986,asnU
2108,b1989,asnV
2113,b4639,yeeH
2115,b4640,yoeG
2116,b4641,yoeH
2121,b4435,isrC
2129,b4642,yoeD
2132,b4818,yoeJ
2201,b4436,sibA
2203,b4437,sibB
2213,b4438,cyaR
2246,b4499,yehH
2321,b2189,proL
2348,b4439,micF
2368,b4779,yoaM
2483,b2348,argW
2488,b4780,yodE
2489,b2353,tfaS
2502,b4643,pawZ
2508,b4781,evgL
2533,b4819,ypeD
2537,b2396,alaX
2538,b2397,alaW
2542,b2401,valU
2543,b2402,valX
2544,b2403,valY
2545,b2404,lysV
2659,b4761,sroE
2667,b4811,timR
2668,b4440,ryfA
2669,b4812,timP
2706,b4441,glmY
2714,b4608,ohsC
2738,b4782,pssL
2742,b4783,yfiS
2743,b2588,rrfG
2744,b2589,rrlG
2745,b2590,gltW
2746,b2591,rrsG
2748,b4609,ryfD
2753,b4805,raiZ
2776,b2621,ssrA
2802,b4645,psaA
2807,b2652,ileY
2837,b4442,micA
2841,b2691,argQ
2842,b2692,argZ
2843,b2693,argY
2844,b2694,argV
2845,b2695,serV
2912,b4701,sokX
2944,b4408,csrB
2961,b4443,gcvB
2967,b2814,metZ
2968,b2815,metW
2969,b2816,metV
2991,b4444,omrA
2992,b4445,omrB
3020,b2864,glyU
3069,b2911,ssrS
3071,b4446,sibC
3099,b4784,yqgG
3126,b4785,yqgH
3128,b2967,pheV
3131,b4786,yqhJ
3211,b4447,sibD
3213,b4611,sibE
3232,b3069,ileX
3258,b4787,yqiM
3284,b3123,rnpB
3327,b4449,sraG
3334,b3171,metY
3337,b3174,leuU
3373,b4450,arcZ
3417,b4697,yrdF
3418,b4646,yrdE
3436,b3272,rrfF
3437,b3273,thrV
3438,b3274,rrfD
3439,b3275,rrlD
3440,b3276,alaU
3441,b3277,ileU
3442,b3278,rrsD
3525,b4820,yrfJ
3597,b4788,yhgO
3598,b4789,yhgP
3606,b4451,ryhB
3651,b4552,yrhC
3656,b4790,yhiY
3664,b4791,yriA
3665,b4792,yriB
3672,b4712,agrA
3673,b4713,agrB
3685,b4704,arrS
3687,b4718,gadF
3691,b4452,gadY
3716,b4454,rdlD
3723,b3545,proK
3735,b4793,ysaE
3736,b4647,mokA
3740,b4614,sokA
3748,b4834,xylZ
3755,b4794,baxL
3769,b4648,ysaC
3770,b4649,ysaD
3785,b4651,yibW
3787,b4652,yibU
3815,b4795,yibX
3816,b4796,yibY
3827,b4760,rirA
3853,b3658,selC
3854,b4653,yicT
3857,b4797,yicU
3864,b4829,uhpU
3872,b4616,istR
3874,b4798,ysdE
3883,b4556,glvG
3956,b4804,rbsZ
3961,b3756,rrsC
3962,b3757,gltU
3963,b3758,rrlC
3964,b3759,rrfC
3965,b3760,aspT
3966,b3761,trpT
4000,b3796,argX
4001,b3797,hisR
4002,b3798,leuT
4003,b3799,proM
