Locus,Symbol,Aliases
b0002,thrA,"{'thrA2', 'thrD', 'Hs1', 'thrA'}"
b0008,talB,{'yaaK'}
b0009,mog,"{'yaaG', 'mog', 'chlGA', 'bisD'}"
b0010,satP,{'yaaH'}
b0012,mbiA,"{'htgA', 'htpY'}"
b0014,dnaK,"{'grpC', 'groPAB', 'grpF', 'seg', 'groPF', 'groPC'}"
b0015,dnaJ,"{'grpC', 'groP'}"
b0016,insL1,{'yi81-1'}
b0018,mokC,{'gefL'}
b0019,nhaA,"{'ant', 'antA'}"
b0020,nhaR,"{'antO', 'yaaB'}"
b0023,rpsT,"{'supS20', 'supS', 'sup(s20)'}"
b0025,ribF,{'yaaC'}
b0026,ileS,{'ilvS'}
b0027,lspA,{'lsp'}
b0028,fkpB,"{'yaaD', 'slpA'}"
b0029,ispH,"{'yaaE', 'lytB'}"
b0030,rihC,{'yaaF'}
b0032,carA,"{'arg', 'pyrA'}"
b0033,carB,{'pyrA'}
b0036,caiD,{'yaaL'}
b0037,caiC,{'yaaM'}
b0038,caiB,{'yaaN'}
b0039,caiA,{'yaaO'}
b0040,caiT,{'yaaP'}
b0041,fixA,{'yaaQ'}
b0042,fixB,{'yaaR'}
b0043,fixC,{'yaaS'}
b0044,fixX,{'yaaT'}
b0045,yaaU,{'yabE'}
b0046,kefF,{'yabF'}
b0047,kefC,{'trkC'}
b0048,folA,"{'tmrA', 'tmr'}"
b0049,apaH,{'cfcB'}
b0051,rsmA,{'ksgA'}
b0054,lptD,"{'yabG', 'ostA', 'imp'}"
b0055,djlA,{'yabH'}
b0056,yabP,{'b4659'}
b0057,yabQ,{'b4659'}
b0058,rluA,{'yabO'}
b0059,rapA,"{'hepA', 'yabA'}"
b0060,polB,{'dinA'}
b0066,thiQ,"{'sfuC', 'yabJ'}"
b0067,thiP,"{'yabK', 'sfuB'}"
b0068,thiB,"{'yabL', 'tbpA', 'sfuA'}"
b0069,sgrR,{'yabN'}
b0070,setA,{'yabM'}
b0075,leuL,"{'leuIPP', 'leulLP', 'leuL', 'leulL'}"
b0078,ilvH,{'brnP'}
b0080,cra,"{'fruR', 'fruC', 'shl'}"
b0081,mraZ,{'yabB'}
b0082,rsmH,"{'yabC', 'mraW'}"
b0083,ftsL,"{'yabD', 'mraR'}"
b0084,ftsI,"{'pbpB', 'sep'}"
b0086,murF,{'mra'}
b0087,mraY,{'murX'}
b0092,ddlB,{'ddl'}
b0094,ftsA,{'divA'}
b0095,ftsZ,"{'sfiB', 'sulB'}"
b0096,lpxC,"{'asmB', 'envA'}"
b0097,secM,"{'yacA', 'srrA'}"
b0098,secA,"{'pea', 'prlD', 'azi'}"
b0099,mutT,{'nudA'}
b0102,zapD,{'yacF'}
b0103,coaE,{'yacE'}
b0106,hofC,"{'hopC', 'yacD'}"
b0107,hofB,{'hopB'}
b0112,aroP,{'aroR'}
b0113,pdhR,"{'aceC', 'yacB', 'genA'}"
b0116,lpd,"{'lpd', 'dhlA'}"
b0118,acnB,"{'yacI', 'yacJ'}"
b0123,cueO,{'yacK'}
b0126,can,{'yadF'}
b0129,yadI,{'agaX'}
b0132,rpnC,{'yadD'}
b0140,yadV,{'ecpD'}
b0144,gluQ,{'yadB'}
b0145,dksA,{'msmA'}
b0146,sfsA,"{'sfs', 'sfs1'}"
b0147,thpR,"{'yadP', 'ligT'}"
b0148,hrpB,{'yadO'}
b0149,mrcB,"{'pbpF', 'ponB'}"
b0150,fhuA,"{'T5rec', 'T1', 'tonA'}"
b0154,hemL,"{'gsa', 'popC'}"
b0155,clcA,"{'yadQ', 'eriC'}"
b0156,erpA,{'yadR'}
b0158,btuF,{'yadT'}
b0159,mtn,"{'mtn', 'yadA', 'pfs'}"
b0160,dgt,{'optA'}
b0161,degP,"{'htrA', 'ptd'}"
b0162,cdaR,"{'yaeG', 'sdaR'}"
b0166,dapD,{'ssa'}
b0167,glnD,{'glnD'}
b0171,pyrH,"{'smbA', 'umk'}"
b0172,frr,{'rrf'}
b0173,dxr,"{'ispC', 'yaeM'}"
b0174,ispU,"{'uppS', 'rth', 'yaeS'}"
b0175,cdsA,{'cds'}
b0176,rseP,"{'yaeL', 'ecfE'}"
b0177,bamA,"{'yzzY', 'yaeT', 'ecfK', 'yzzN'}"
b0178,skp,"{'ompH', 'firA', 'hlpA'}"
b0179,lpxD,"{'firA', 'omsA'}"
b0180,fabZ,"{'sabA1', 'sefA', 'sfhC21', 'yaeA'}"
b0182,lpxB,{'pgsB'}
b0184,dnaE,"{'polC', 'sdgC'}"
b0186,ldcC,"{'ldcH', 'ldc'}"
b0188,tilS,"{'yaeN', 'mesJ'}"
b0189,rof,{'yaeO'}
b0191,arfB,{'yaeJ'}
b0192,nlpE,{'cutF'}
b0193,yaeF,{'yaeK'}
b0194,proS,"{'drp', 'drpA'}"
b0195,trmO,"{'yaeB', 'tsaA'}"
b0197,metQ,"{'yaeC', 'metD'}"
b0198,metI,"{'metD', 'yaeE'}"
b0199,metN,"{'abc', 'metD'}"
b0200,gmhB,{'yaeD'}
b0207,dkgB,{'yafB'}
b0211,mltD,"{'yafG', 'dniR'}"
b0212,gloB,{'yafR'}
b0214,rnhA,"{'sin', 'dasF', 'cer', 'sdrA', 'rnh', 'herA'}"
b0215,dnaQ,{'mutD'}
b0220,ivy,{'ykfE'}
b0221,fadE,{'yafH'}
