accession,overexpression,locus,platform
ERX1273486,WT,,HiSeq 2000
ERX1273487,WT,,HiSeq 2000
ERX1273488,WT,,HiSeq 2000
ERX1273489,WT,,HiSeq 2000
ERX1273490,WT,,HiSeq 2000
ERX1273491,MazF,,HiSeq 2000
ERX1273492,MazF,,HiSeq 2000
ERX1273493,MazF,,HiSeq 2000
ERX1273494,MazF,,HiSeq 2000
ERX1273495,MazF,,HiSeq 2000
ERX1273496,WT(log),,HiSeq 2000
ERX1273497,WT(log),,HiSeq 2000
ERX1273498,WT(log),,HiSeq 2000
ERX1273499,WT(log),,HiSeq 2000
ERX1273500,WT(log),,HiSeq 2000
ERX1273501,WT,,HiSeq 2000
ERX1273502,WT,,HiSeq 2000
ERX1273503,WT,,HiSeq 2000
ERX1273504,WT,,HiSeq 2000
ERX1273505,WT,,HiSeq 2000
ERX1273506,MqsR,,HiSeq 2000
ERX1273507,MqsR,,HiSeq 2000
ERX1273508,MqsR,,HiSeq 2000
ERX1273509,MqsR,,HiSeq 2000
ERX1273510,MqsR,,HiSeq 2000
ERX2700489,WT,,Illumina MiSeq
ERX2700490,MazF,,Illumina MiSeq
ERX2700491,MazF,,Illumina MiSeq
ERX2700492,MqsR,,Illumina MiSeq
ERX2700493,MqsR,,Illumina MiSeq
ERX2874132,aroP,,Illumina MiSeq
ERX2874133,aroP,,Illumina MiSeq
ERX2874134,bamC ,,
ERX2874135,bamC ,,
ERX2874136,cusA,,
ERX2874137,cusA,,
ERX2874138,hemX,,
ERX2874139,hemX,,
ERX2874140,WT,,
ERX2874141,WT,,
ERX2874142,topA,,
ERX2874143,topA,,
ERX2874144,yicR,,Illumina MiSeq
ERX2874145,yicR,,Illumina MiSeq
ERX2874146,yqjD,,Illumina MiSeq
ERX2874147,yqjD,,Illumina MiSeq
ERX3803290,delta ryhB,,NextSeq 500
ERX3803291,delta ryhB,,NextSeq 500
ERX3803292,delta ryhB,,NextSeq 500
ERX3803293,delta cyaR+pCyaR,,NextSeq 500
ERX3803294,delta cyaR+pCyaR,,NextSeq 500
ERX3803295,delta cyaR+pCyaR,,NextSeq 500
ERX3803296,delta cyaR+pJV300,,NextSeq 500
ERX3803297,delta cyaR+pJV300,,NextSeq 500
ERX3803298,delta cyaR+pJV300,,NextSeq 500
ERX3803299,delta arcZ+pArcZ M1,,NextSeq 500
ERX3803300,delta arcZ+pArcZ M1,,NextSeq 500
ERX3803301,delta arcZ+pArcZ M1,,NextSeq 500
ERX3803302,delta arcZ+pArcZ M2,,NextSeq 500
ERX3803303,delta arcZ+pArcZ M2,,NextSeq 500
ERX3803304,delta arcZ+pArcZ M2,,NextSeq 500
