accession,overexpression,locus,platform
ERX1273486,WT,,HiSeq 2000
ERX1273487,WT,,HiSeq 2000
ERX1273488,WT,,HiSeq 2000
ERX1273489,WT,,HiSeq 2000
ERX1273490,WT,,HiSeq 2000
ERX1273491,mazF,,HiSeq 2000
ERX1273492,mazF,,HiSeq 2000
ERX1273493,mazF,,HiSeq 2000
ERX1273494,mazF,,HiSeq 2000
ERX1273495,mazF,,HiSeq 2000
ERX1273496,WT,,HiSeq 2000
ERX1273497,WT,,HiSeq 2000
ERX1273498,WT,,HiSeq 2000
ERX1273499,WT,,HiSeq 2000
ERX1273500,WT,,HiSeq 2000
ERX1273501,WT,,HiSeq 2000
ERX1273502,WT,,HiSeq 2000
ERX1273503,WT,,HiSeq 2000
ERX1273504,WT,,HiSeq 2000
ERX1273505,WT,,HiSeq 2000
ERX1273506,mqsR,,HiSeq 2000
ERX1273507,mqsR,,HiSeq 2000
ERX1273508,mqsR,,HiSeq 2000
ERX1273509,mqsR,,HiSeq 2000
ERX1273510,mqsR,,HiSeq 2000
ERX2700489,WT,,Illumina MiSeq
ERX2700490,mazF,,Illumina MiSeq
ERX2700491,mazF,,Illumina MiSeq
ERX2700492,mqsR,,Illumina MiSeq
ERX2700493,mqsR,,Illumina MiSeq
ERX2874132,aroP,,Illumina MiSeq
ERX2874133,aroP,,Illumina MiSeq
ERX2874134,bamC,,
ERX2874135,bamC,,
ERX2874136,cusA,,
ERX2874137,cusA,,
ERX2874138,hemX,,
ERX2874139,hemX,,
ERX2874140,WT,,
ERX2874141,WT,,
ERX2874142,topA,,
ERX2874143,topA,,
ERX2874144,yicR,,Illumina MiSeq
ERX2874145,yicR,,Illumina MiSeq
ERX2874146,yqjD,,Illumina MiSeq
ERX2874147,yqjD,,Illumina MiSeq
ERX3803290,ryhB,,NextSeq 500
ERX3803291,ryhB,,NextSeq 500
ERX3803292,ryhB,,NextSeq 500
ERX3803293,cyaR,,NextSeq 500
ERX3803294,cyaR,,NextSeq 500
ERX3803295,cyaR,,NextSeq 500
ERX3803296,cyaR,,NextSeq 500
ERX3803297,cyaR,,NextSeq 500
ERX3803298,cyaR,,NextSeq 500
ERX3803299,arcZ,,NextSeq 500
ERX3803300,arcZ,,NextSeq 500
ERX3803301,arcZ,,NextSeq 500
ERX3803302,arcZ,,NextSeq 500
ERX3803303,arcZ,,NextSeq 500
ERX3803304,arcZ,,NextSeq 500
ERX3803305,arcZ,,NextSeq 500
ERX3803306,arcZ,,NextSeq 500
ERX3803307,arcZ,,NextSeq 500
ERX3803308,arcZ,,NextSeq 500
ERX3803309,arcZ,,NextSeq 500
ERX3803310,arcZ,,NextSeq 500
ERX3803311,gcvB,,NextSeq 500
ERX3803312,gcvB,,NextSeq 500
ERX3803313,gcvB,,NextSeq 500
ERX3803314,gcvB,,NextSeq 500
ERX3803315,gcvB,,NextSeq 500
ERX3803316,gcvB,,NextSeq 500
ERX3803320,micA,,NextSeq 500
ERX3803321,micA,,NextSeq 500
ERX3803322,micA,,NextSeq 500
ERX3803323,WT,, NextSeq 500
ERX3803324,WT,,NextSeq 500
ERX3803325,WT,,NextSeq 500
ERX575539,WT,,HiSeq 2500
ERX575540,WT,,
ERX575541,ryhB,,HiSeq 2500
ERX575542,ryhB,,
ERX575543,ryhB,,
ERX575544,WT,,
ERX575545,WT,,HiSeq 2500
ERX575546,ryhB,,HiSeq 2500
SRX1532410,WT,,HiSeq 2000
SRX1532411,WT,,HiSeq 2000
SRX1532412,WT,,HiSeq 2000
SRX1532413,dicF,,HiSeq 2000
SRX1532414,dicF,,HiSeq 2000
SRX1532415,dicF,,HiSeq 2000
SRX4912066,WT,,HiSeq 2000
SRX4912067,WT,,HiSeq 2000
SRX4912068,WT,,HiSeq 2000
SRX4912069,rydC,,HiSeq 2000
SRX4912070,rydC,,HiSeq 2000
SRX4912071,rydC,,HiSeq 2000
