label,accuracy,f1,pred 0,prob 0,test 0,pred 1,prob 1,test 1,pred 2,prob 2,test 2,pred 3,prob 3,test 3,pred 4,prob 4,test 4,pred 5,prob 5,test 5,pred 6,prob 6,test 6,pred 7,prob 7,test 7,pred 8,prob 8,test 8,pred 9,prob 9,test 9,pred10,prob10,test10,pred11,prob11,test11,pred12,prob12,test12,pred13,prob13,test13,pred14,prob14,test14,pred15,prob15,test15,pred16,prob16,test16,pred17,prob17,test17,pred18,prob18,test18,pred19,prob19,test19,pred20,prob20,test20,pred21,prob21,test21,pred22,prob22,test22,pred23,prob23,test23,pred24,prob24,test24,pred25,prob25,test25,pred26,prob26,test26,pred27,prob27,test27,pred28,prob28,test28,pred29,prob29,test29,pred30,prob30,test30,pred31,prob31,test31,pred32,prob32,test32,pred33,prob33,test33,pred34,prob34,test34,pred35,prob35,test35,pred36,prob36,test36,pred37,prob37,test37,pred38,prob38,test38,pred39,prob39,test39,pred40,prob40,test40,pred41,prob41,test41,pred42,prob42,test42,pred43,prob43,test43,pred44,prob44,test44,pred45,prob45,test45,pred46,prob46,test46,pred47,prob47,test47,pred48,prob48,test48,pred49,prob49,test49,pred50,prob50,test50,pred51,prob51,test51,pred52,prob52,test52,pred53,prob53,test53,pred54,prob54,test54,pred55,prob55,test55,pred56,prob56,test56,pred57,prob57,test57,pred58,prob58,test58,pred59,prob59,test59,pred60,prob60,test60,pred61,prob61,test61,pred62,prob62,test62,pred63,prob63,test63,pred64,prob64,test64,pred65,prob65,test65,pred66,prob66,test66,pred67,prob67,test67,pred68,prob68,test68,pred69,prob69,test69,pred70,prob70,test70,pred71,prob71,test71,pred72,prob72,test72
       0,  17.81%,0.15852944620067907,-1,0.39088795,-1,-1,0.39088795,-1,-1,0.39088795,-1,-1,0.38313115,0,-1,0.39088795,-1,-1,0.39088795,0,1,0.34605238,-1,1,0.34605238,-1,1,0.34605238,-1,1,0.34605238,-1,1,0.34605238,0,-1,0.39088795,-1,-1,0.39088795,0,1,0.34605238,-1,-1,0.38313115,0,1,0.34605238,-1,-1,0.37970388,0,-1,0.37970388,1,-1,0.38114184,1,-1,0.38114184,1,-1,0.3424862,1,-1,0.3424862,1,-1,0.38500446,0,-1,0.38500446,0,-1,0.3849663,1,-1,0.3849663,1,-1,0.38312384,0,-1,0.38312384,-1,-1,0.38313115,0,-1,0.37523702,0,-1,0.37523708,0,-1,0.3831312,0,0,0.3370733,0,0,0.3370733,1,0,0.3370733,1,-1,0.38313115,0,-1,0.34751764,1,-1,0.34751764,1,-1,0.34751764,1,-1,0.34751764,1,-1,0.34751764,1,-1,0.34751764,1,-1,0.3783693,0,-1,0.3783693,0,-1,0.3783693,0,-1,0.3783693,0,-1,0.3783693,0,-1,0.3783693,0,-1,0.3783693,0,-1,0.3783693,-1,-1,0.3783693,-1,-1,0.3783693,0,-1,0.3783693,0,-1,0.3783693,0,-1,0.349016,1,-1,0.349016,1,-1,0.349016,1,-1,0.349016,1,-1,0.349016,1,-1,0.349016,1,-1,0.38274655,1,-1,0.38274655,1,-1,0.38274652,1,0,0.33707327,0,0,0.33707333,0,0,0.33707333,0,0,0.33707333,0,-1,0.38832587,0,-1,0.38832587,0,-1,0.38832587,0,-1,0.38328296,1,-1,0.38328296,1,-1,0.38328296,1
       1,  24.66%,0.13186813186813187,1,0.38164264,-1,1,0.38164264,-1,1,0.38164264,-1,1,0.3863296,0,1,0.38164264,-1,1,0.38164264,-1,1,0.39277622,-1,1,0.39277622,-1,1,0.39277622,0,1,0.39277622,-1,1,0.39277622,-1,1,0.38164264,-1,1,0.38164264,-1,1,0.39277622,0,1,0.3863296,0,1,0.39277622,0,1,0.38878316,0,1,0.38878316,0,1,0.38907662,-1,1,0.38907662,-1,1,0.36892384,-1,1,0.36892384,-1,1,0.38336122,-1,1,0.38336122,-1,1,0.38387352,-1,1,0.38387352,0,1,0.38563114,-1,1,0.38563114,-1,1,0.3863296,0,1,0.39242724,0,1,0.3924272,-1,1,0.38632962,0,1,0.37389338,0,1,0.37389338,1,1,0.37389338,0,1,0.3863296,0,1,0.38461873,1,1,0.38461873,1,1,0.38461873,1,1,0.38461873,1,1,0.38461873,1,1,0.38461873,0,1,0.39029592,0,1,0.39029592,0,1,0.39029592,0,1,0.39029592,0,1,0.39029592,0,1,0.39029592,0,1,0.39029592,0,1,0.39029592,1,1,0.39029592,0,1,0.39029592,0,1,0.39029592,0,1,0.39029592,1,1,0.38014594,1,1,0.38014594,1,1,0.38014594,1,1,0.38014594,1,1,0.38014594,1,1,0.38014594,1,1,0.38508978,1,1,0.38508978,1,1,0.38508984,1,1,0.3738934,0,1,0.37389335,0,1,0.37389335,0,1,0.37389335,0,1,0.3819109,0,1,0.3819109,0,1,0.3819109,0,1,0.3837202,1,1,0.3837202,0,1,0.3837202,0
       2,  26.03%,0.13768115942028986,-1,0.49569243,-1,-1,0.49569243,-1,-1,0.49569243,0,-1,0.48980525,0,-1,0.49569243,-1,-1,0.49569243,0,-1,0.48950237,-1,-1,0.48950237,-1,-1,0.48950237,-1,-1,0.48950237,-1,-1,0.48950237,0,-1,0.49569243,-1,-1,0.49569243,-1,-1,0.48950237,-1,-1,0.48980525,0,-1,0.48950237,-1,-1,0.48472774,1,-1,0.48472774,1,-1,0.48703423,-1,-1,0.48703423,-1,-1,0.50528336,-1,-1,0.50528336,-1,-1,0.49339905,0,-1,0.49339905,0,-1,0.49406832,-1,-1,0.49406832,-1,-1,0.4917667,-1,-1,0.4917667,-1,-1,0.48980525,0,-1,0.48199812,0,-1,0.48199815,0,-1,0.48980525,0,-1,0.49840748,0,-1,0.49840748,1,-1,0.49840748,1,-1,0.48980525,0,-1,0.4945891,1,-1,0.4945891,1,-1,0.4945891,1,-1,0.4945891,1,-1,0.4945891,1,-1,0.4945891,0,-1,0.48742256,0,-1,0.48742256,0,-1,0.48742256,0,-1,0.48742256,0,-1,0.48742256,0,-1,0.48742256,0,-1,0.48742256,0,-1,0.48742256,1,-1,0.48742256,0,-1,0.48742256,0,-1,0.48742256,0,-1,0.48742256,0,-1,0.5009449,1,-1,0.5009449,1,-1,0.5009449,1,-1,0.5009449,1,-1,0.5009449,1,-1,0.5009449,1,-1,0.4929253,1,-1,0.4929253,1,-1,0.49292526,1,-1,0.49840745,0,-1,0.49840748,0,-1,0.49840748,0,-1,0.49840748,0,-1,0.494909,0,-1,0.494909,0,-1,0.494909,0,-1,0.4936306,1,-1,0.4936306,1,-1,0.4936306,0
       3,   5.48%,0.05194805194805195,1,0.40481183,0,1,0.40481183,0,1,0.40481183,1,1,0.4041657,0,1,0.40481183,0,1,0.40481183,1,1,0.5094622,0,1,0.5094622,0,1,0.5094622,1,1,0.5094622,0,1,0.5094622,1,1,0.40481183,0,1,0.40481183,0,1,0.5094622,0,1,0.4041657,0,1,0.5094622,0,1,0.39921758,0,1,0.39921758,0,1,0.40522107,0,1,0.40522107,0,1,0.5190228,0,1,0.5190228,0,1,0.4052451,0,1,0.4052451,0,1,0.41616675,0,1,0.41616675,0,1,0.38175723,0,1,0.38175723,0,1,0.4041657,0,1,0.40974936,0,1,0.40974936,0,1,0.4041657,0,1,0.49105626,0,1,0.49105626,0,1,0.49105626,0,1,0.4041657,0,1,0.5363497,0,1,0.5363497,0,1,0.5363497,0,1,0.5363497,0,1,0.5363497,0,1,0.5363497,0,1,0.3907192,0,1,0.3907192,0,1,0.3907192,0,1,0.3907192,0,1,0.3907192,0,1,0.3907192,0,1,0.3907192,0,1,0.3907192,0,1,0.3907192,0,1,0.3907192,0,1,0.3907192,0,1,0.3907192,0,1,0.5124458,0,1,0.5124458,0,1,0.5124458,0,1,0.5124458,0,1,0.5124458,0,1,0.5124458,0,1,0.41142222,0,1,0.41142222,0,1,0.41142222,0,1,0.49105626,0,1,0.49105632,0,1,0.49105632,0,1,0.49105632,0,1,0.4094582,0,1,0.4094582,0,1,0.4094582,0,1,0.40593708,0,1,0.40593708,0,1,0.40593708,0
       4,  30.14%,0.16296296296296295,-1,0.435215,1,-1,0.435215,0,-1,0.435215,1,-1,0.4210141,0,-1,0.435215,0,-1,0.435215,1,0,0.4264923,1,0,0.4264923,1,0,0.4264923,1,0,0.4264923,0,0,0.4264923,1,-1,0.435215,1,-1,0.435215,1,0,0.4264923,0,-1,0.4210141,0,0,0.4264923,1,-1,0.41812003,0,-1,0.41812003,0,-1,0.4126643,0,-1,0.4126643,0,0,0.42486417,0,0,0.42486417,0,-1,0.42530775,0,-1,0.42530775,0,-1,0.4286335,0,-1,0.4286335,0,-1,0.40722772,0,-1,0.40722772,0,-1,0.4210141,0,-1,0.41343608,0,-1,0.41343608,0,-1,0.4210141,0,0,0.4424024,0,0,0.4424024,1,0,0.4424024,0,-1,0.4210141,0,0,0.444202,0,0,0.444202,0,0,0.444202,0,0,0.444202,0,0,0.444202,0,0,0.444202,0,-1,0.4050443,0,-1,0.4050443,0,-1,0.4050443,0,-1,0.4050443,0,-1,0.4050443,0,-1,0.4050443,0,-1,0.4050443,0,-1,0.4050443,0,-1,0.4050443,0,-1,0.4050443,0,-1,0.4050443,0,-1,0.4050443,0,0,0.43466446,0,0,0.43466446,0,0,0.43466446,0,0,0.43466446,0,0,0.43466446,0,0,0.43466446,0,-1,0.42344624,0,-1,0.42344624,0,-1,0.42344624,0,0,0.4424024,0,0,0.4424024,0,0,0.4424024,0,0,0.4424024,0,-1,0.43413296,0,-1,0.43413296,0,-1,0.43413296,0,-1,0.42503053,0,-1,0.42503053,0,-1,0.42503053,0
       5,  24.66%,0.17441364605543708,1,0.36739105,-1,1,0.36739105,-1,1,0.36739105,0,1,0.37847206,0,1,0.36739105,-1,1,0.36739105,0,0,0.4997772,0,0,0.4997772,0,0,0.4997772,0,0,0.4997772,0,0,0.4997772,1,1,0.36739105,-1,1,0.36739105,-1,0,0.4997772,-1,1,0.37847206,0,0,0.4997772,-1,1,0.3828985,1,1,0.3828985,1,1,0.38521472,1,1,0.38521472,1,0,0.51693034,1,0,0.51693034,0,1,0.3737799,0,1,0.3737799,0,1,0.3715543,1,1,0.3715543,1,1,0.38590088,0,1,0.38590088,0,1,0.37847206,0,1,0.38564372,0,1,0.38564372,0,1,0.37847206,0,0,0.52823055,0,0,0.52823055,1,0,0.52823055,0,1,0.37847206,0,0,0.5225574,1,0,0.5225574,1,0,0.5225574,1,0,0.5225574,1,0,0.5225574,1,0,0.5225574,1,1,0.38785917,0,1,0.38785917,-1,1,0.38785917,0,1,0.38785917,0,1,0.38785917,-1,1,0.38785917,0,1,0.38785917,0,1,0.38785917,0,1,0.38785917,0,1,0.38785917,0,1,0.38785917,0,1,0.38785917,0,0,0.5216134,1,0,0.5216134,1,0,0.5216134,1,0,0.5216134,1,0,0.5216134,1,0,0.5216134,1,1,0.3755736,0,1,0.3755736,0,1,0.3755736,0,0,0.52823055,0,0,0.52823055,0,0,0.52823055,0,0,0.52823055,0,1,0.36897784,0,1,0.36897784,0,1,0.36897784,0,1,0.37478924,1,1,0.37478924,0,1,0.37478924,0
       6, 100.00%,1.0,0,0.9989077,0,0,0.9989077,0,0,0.9989077,0,0,0.9988879,0,0,0.9989077,0,0,0.9989077,0,0,0.9989936,0,0,0.9989936,0,0,0.9989936,0,0,0.9989936,0,0,0.9989936,0,0,0.9989077,0,0,0.9989077,0,0,0.9989936,0,0,0.9988879,0,0,0.9989936,0,0,0.9988941,0,0,0.9988941,0,0,0.9987005,0,0,0.9987005,0,0,0.9991428,0,0,0.9991428,0,0,0.998954,0,0,0.998954,0,0,0.99906963,0,0,0.99906963,0,0,0.9987237,0,0,0.9987237,0,0,0.9988879,0,0,0.99894387,0,0,0.99894387,0,0,0.9988879,0,0,0.99917394,0,0,0.99917394,0,0,0.99917394,0,0,0.9988879,0,0,0.9990337,0,0,0.9990337,0,0,0.9990337,0,0,0.9990337,0,0,0.9990337,0,0,0.9990337,0,0,0.9987795,0,0,0.9987795,0,0,0.9987795,0,0,0.9987795,0,0,0.9987795,0,0,0.9987795,0,0,0.9987795,0,0,0.9987795,0,0,0.9987795,0,0,0.9987795,0,0,0.9987795,0,0,0.9987795,0,0,0.99909157,0,0,0.99909157,0,0,0.99909157,0,0,0.99909157,0,0,0.99909157,0,0,0.99909157,0,0,0.99893564,0,0,0.99893564,0,0,0.99893564,0,0,0.99917394,0,0,0.99917394,0,0,0.99917394,0,0,0.99917394,0,0,0.9989469,0,0,0.9989469,0,0,0.9989469,0,0,0.99898905,0,0,0.99898905,0,0,0.99898905,0
       7,  20.55%,0.17045454545454544,1,0.360322,0,1,0.360322,0,1,0.360322,0,1,0.3644563,0,1,0.360322,0,1,0.360322,0,1,0.42774892,0,1,0.42774892,0,1,0.42774892,0,1,0.42774892,0,1,0.42774892,0,1,0.360322,0,1,0.360322,0,1,0.42774892,0,1,0.3644563,0,1,0.42774892,0,1,0.36558673,0,1,0.36558673,0,1,0.3689334,0,1,0.3689334,0,0,0.45765737,0,0,0.45765737,0,1,0.36282825,0,1,0.36282825,0,1,0.3605258,0,1,0.3605258,0,1,0.37068266,0,1,0.37068266,0,1,0.3644563,0,1,0.36613342,0,1,0.36613342,0,1,0.36445636,0,0,0.45543066,0,0,0.45543066,0,0,0.45543066,0,1,0.3644563,0,1,0.4370625,0,1,0.4370625,0,1,0.4370625,0,1,0.4370625,0,1,0.4370625,0,1,0.4370625,0,1,0.37281024,0,1,0.37281024,0,1,0.37281024,0,1,0.37281024,0,1,0.37281024,0,1,0.37281024,0,1,0.37281024,0,1,0.37281024,0,1,0.37281024,0,1,0.37281024,0,1,0.37281024,0,1,0.37281024,0,0,0.43871808,0,0,0.43871808,0,0,0.43871808,0,0,0.43871808,0,0,0.43871808,0,0,0.43871808,0,1,0.36486888,0,1,0.36486888,0,1,0.36486888,0,0,0.45543066,0,0,0.45543066,0,0,0.45543066,0,0,0.45543066,0,1,0.36100495,0,1,0.36100495,0,1,0.36100495,0,1,0.36342287,0,1,0.36342287,0,1,0.36342287,0
       8,   1.37%,0.022988505747126436,-1,0.37371227,0,-1,0.37371227,0,-1,0.37371227,0,-1,0.37170938,0,-1,0.37371227,0,-1,0.37371227,0,1,0.46246588,0,1,0.46246588,0,1,0.46246588,0,1,0.46246588,0,1,0.46246588,1,-1,0.37371227,0,-1,0.37371227,0,1,0.46246588,0,-1,0.37170938,0,1,0.46246588,0,-1,0.37260106,0,-1,0.37260106,0,-1,0.3667951,0,-1,0.3667951,0,1,0.42854953,0,1,0.42854953,0,-1,0.37577137,0,-1,0.37577137,0,-1,0.37497497,0,-1,0.37497497,0,-1,0.3736181,0,-1,0.3736181,0,-1,0.37170938,0,-1,0.37083012,0,-1,0.37083012,0,-1,0.3717094,0,1,0.4189773,0,1,0.4189773,0,1,0.4189773,0,-1,0.37170938,0,1,0.47563705,0,1,0.47563705,0,1,0.47563705,0,1,0.47563705,0,1,0.47563705,0,1,0.47563705,0,-1,0.37296227,0,-1,0.37296227,0,-1,0.37296227,0,-1,0.37296227,0,-1,0.37296227,0,-1,0.37296227,0,-1,0.37296227,0,-1,0.37296227,0,-1,0.37296227,0,-1,0.37296227,0,-1,0.37296227,0,-1,0.37296227,0,1,0.45122293,0,1,0.45122293,0,1,0.45122293,0,1,0.45122293,0,1,0.45122293,0,1,0.45122293,0,-1,0.37324762,0,-1,0.37324762,0,-1,0.37324762,0,1,0.41897723,0,1,0.4189773,0,1,0.4189773,0,1,0.4189773,0,-1,0.3730553,0,-1,0.3730553,0,-1,0.3730553,0,-1,0.37590957,0,-1,0.37590957,0,-1,0.37590957,0
       9, 100.00%,1.0,0,0.9981014,0,0,0.9981014,0,0,0.9981014,0,0,0.9980954,0,0,0.9981014,0,0,0.9981014,0,0,0.9986141,0,0,0.9986141,0,0,0.9986141,0,0,0.9986141,0,0,0.9986141,0,0,0.9981014,0,0,0.9981014,0,0,0.9986141,0,0,0.9980954,0,0,0.9986141,0,0,0.99811316,0,0,0.99811316,0,0,0.997874,0,0,0.997874,0,0,0.9987532,0,0,0.9987532,0,0,0.99813676,0,0,0.99813676,0,0,0.99830014,0,0,0.99830014,0,0,0.9978294,0,0,0.9978294,0,0,0.9980954,0,0,0.99821407,0,0,0.99821407,0,0,0.9980954,0,0,0.9988613,0,0,0.9988613,0,0,0.9988613,0,0,0.9980954,0,0,0.9986273,0,0,0.9986273,0,0,0.9986273,0,0,0.9986273,0,0,0.9986273,0,0,0.9986273,0,0,0.9979948,0,0,0.9979948,0,0,0.9979948,0,0,0.9979948,0,0,0.9979948,0,0,0.9979948,0,0,0.9979948,0,0,0.9979948,0,0,0.9979948,0,0,0.9979948,0,0,0.9979948,0,0,0.9979948,0,0,0.9987052,0,0,0.9987052,0,0,0.9987052,0,0,0.9987052,0,0,0.9987052,0,0,0.9987052,0,0,0.9980983,0,0,0.9980983,0,0,0.9980984,0,0,0.9988613,0,0,0.9988613,0,0,0.9988613,0,0,0.9988613,0,0,0.9981341,0,0,0.9981341,0,0,0.9981341,0,0,0.99816096,0,0,0.99816096,0,0,0.99816096,0
