w,stage,data_cons,kb_cons
0.5,baseline,0.4173,0.6995
0.5,align1,0.3944,0.6381
0.5,refine1,0.4074,0.6290
0.5,align2,0.4049,0.6263
0.5,refine2,0.4047,0.6476
rand,baseline,0.4210,0.6844
rand,align1,0.4074,0.6194
rand,refine1,0.4162,0.6346
rand,align2,0.4126,0.6299
rand,refine2,0.4122,0.6468
con+,baseline,0.5146,0.4367
con+,align1,0.4983,0.4510
con+,refine1,0.5003,0.6509
con+,align2,0.4992,0.6479
con+,refine2,0.4993,0.6577
con-,baseline,0.5583,0.3363
con-,align1,0.5306,0.3910
con-,refine1,0.5548,0.6527
con-,align2,0.5512,0.6527
con-,refine2,0.5516,0.6558
go-,baseline,0.5225,0.3987
go-,align1,0.4999,0.4294
go-,refine1,0.5109,0.6519
go-,align2,0.5091,0.6520
go-,refine2,0.5099,0.6582
grn-,baseline,0.5372,0.3818
grn-,align1,0.5120,0.4335
grn-,refine1,0.5245,0.6598
grn-,align2,0.5222,0.6607
grn-,refine2,0.5226,0.6614
