,f1_initial_KB_combined_mean,f1_initial_KB_combined_tol,f1_closure_KB_combined_mean,f1_closure_KB_combined_tol,degree_assortativity_mean,degree_assortativity_tol,modularity_mean,modularity_tol
0,1.0,0.0,1.0,0.0,-0.1547,0.0,0.3172,0.0
1,0.90525,0.0,0.9714,0.0,-0.1302,0.0,0.3406,0.0
2,0.88957,0.0,0.97123,0.0,-0.1402,0.0,0.3408,0.0
3,0.87536,0.0,0.96619,0.0,-0.1836,0.0,0.3677,0.0
4,0.84522,0.0,0.95995,0.0,-0.2583,0.0,0.3604,0.0
5,0.81813,0.0,0.96193,0.0,-0.2927,0.0,0.3937,0.0
6,0.79008,0.0,0.96936,0.0,-0.3368,0.0,0.4093,0.0
7,0.76043,0.0,0.95994,0.0,-0.3524,0.0,0.415,0.0
8,0.70971,0.0,0.95095,0.0,-0.383,0.0,0.4202,0.0
9,0.65199,0.0,0.9182,0.0,-0.3614,0.0,0.4288,0.0
