GO_0000006,{'b1859'}
GO_0000014,"{'b2761', 'b0398', 'b0397', 'b0228'}"
GO_0000015,{'b2779'}
GO_0000018,"{'b2831', 'b2733', 'b4170', 'b0393'}"
GO_0000023,{'b0403'}
GO_0000025,{'b3416'}
GO_0000027,"{'b1343', 'b3294', 'b3179', 'b3308', 'b3305', 'b2511', 'b3317', 'b3318', 'b3309', 'b3983', 'b2576', 'b3302', 'b3320', 'b2606', 'b3183', 'b3312', 'b3984', 'b2185', 'b3185', 'b3871', 'b1716', 'b3180', 'b2594', 'b3162', 'b3637', 'b3636', 'b1089', 'b3313'}"
GO_0000028,"{'b0911', 'b3341', 'b3306', 'b3311', 'b0169', 'b3065', 'b3303', 'b4161', 'b2566', 'b2608', 'b0051', 'b3165', 'b3296', 'b0023', 'b3314', 'b3307', 'b2609', 'b3180', 'b3170'}"
GO_0000030,{'b2257'}
GO_0000034,{'b3665'}
GO_0000035,{'b1094'}
GO_0000036,{'b1094'}
GO_0000049,"{'b3704', 'b2517', 'b3074', 'b3282', 'b3056', 'b1133', 'b1719', 'b3407', 'b2697', 'b4172', 'b4049', 'b3260', 'b3590', 'b3185', 'b0426', 'b3871', 'b2318', 'b3342', 'b1787', 'b0423', 'b3984', 'b3636', 'b2140', 'b0026', 'b3559', 'b3341', 'b3308', 'b1714', 'b1084', 'b3321', 'b3887', 'b3965', 'b2400', 'b3247', 'b3298', 'b3166', 'b3316', 'b3643', 'b1344', 'b4391', 'b2114', 'b3307', 'b2474', 'b3230', 'b3651', 'b4550', 'b0195', 'b1713', 'b3313'}"
GO_0000050,set()
GO_0000053,set()
GO_0000062,{'b1187'}
GO_0000096,{'b2810'}
GO_0000099,"{'b3943', 'b1729'}"
GO_0000100,{'b0260'}
GO_0000101,"{'b3943', 'b1729'}"
GO_0000102,{'b4141'}
GO_0000103,"{'b2763', 'b2752', 'b2751', 'b2764', 'b2750', 'b4214', 'b2413'}"
GO_0000104,"{'b4151', 'b0723', 'b4152'}"
GO_0000105,"{'b2024', 'b2025', 'b2019', 'b2021', 'b0529', 'b2018', 'b2023', 'b2026', 'b2020', 'b2022'}"
GO_0000107,"{'b2025', 'b2023'}"
GO_0000150,"{'b1158', 'b2648', 'b0544', 'b0278', 'b1545', 'b1374'}"
