locus,concepts
b0001,"{'GO_0009088', 'GO_0031555', 'GO_0031556'}"
b0002,"{'GO_0016310', 'GO_0042802', 'GO_0051289', 'GO_0009089', 'GO_0046872', 'GO_0009086', 'GO_0016491', 'GO_0050661', 'GO_0005524', 'GO_0009085', 'GO_0009090', 'GO_0009088', 'GO_0004412', 'GO_0016301', 'GO_0004072', 'GO_0009067', 'GO_0070403'}"
b0003,"{'GO_0016310', 'GO_0004413', 'GO_0005737', 'GO_0005524', 'GO_0006566', 'GO_0009088', 'GO_0005829', 'GO_0016301'}"
b0004,"{'GO_0004795', 'GO_0030170', 'GO_0006520', 'GO_0016829', 'GO_0009088', 'GO_0005829'}"
b0006,"{'GO_0033194', 'GO_0003677', 'GO_0005737', 'GO_0005829', 'GO_0000217'}"
b0007,"{'GO_0005886', 'GO_0005283', 'GO_0006865', 'GO_0016020', 'GO_0015293', 'GO_0006814', 'GO_0055085', 'GO_0003333', 'GO_0035725'}"
b0008,"{'GO_0016020', 'GO_0005975', 'GO_0005737', 'GO_0009052', 'GO_0016740', 'GO_0016744', 'GO_0006098', 'GO_0004801', 'GO_0005829'}"
b0009,"{'GO_0042802', 'GO_0016740', 'GO_0005515', 'GO_0005524', 'GO_0006777', 'GO_0005829', 'GO_0032324', 'GO_0061598'}"
b0010,"{'GO_0005886', 'GO_1902600', 'GO_0016020', 'GO_0015293', 'GO_0015360', 'GO_0022857', 'GO_0035433', 'GO_0006811', 'GO_0071422'}"
b0014,"{'GO_0051082', 'GO_0009408', 'GO_0065003', 'GO_0005524', 'GO_0005829', 'GO_0034620', 'GO_1990169', 'GO_0044183', 'GO_0051085', 'GO_0005515', 'GO_0045892', 'GO_0016234', 'GO_0006260', 'GO_0005737', 'GO_0016989', 'GO_0005886', 'GO_0043335', 'GO_0140662', 'GO_0016020', 'GO_0032991', 'GO_0043531', 'GO_0006457', 'GO_0008270', 'GO_0051087'}"
b0015,"{'GO_0051082', 'GO_0009408', 'GO_0015035', 'GO_0065003', 'GO_0005524', 'GO_0005829', 'GO_0051085', 'GO_0005515', 'GO_0045892', 'GO_0006260', 'GO_0031072', 'GO_0005737', 'GO_0016032', 'GO_0046872', 'GO_0042026', 'GO_0003756', 'GO_0016989', 'GO_0043335', 'GO_0016020', 'GO_0032991', 'GO_0006457', 'GO_0008270', 'GO_0042803', 'GO_0051087'}"
b0016,"{'GO_0006310', 'GO_0003677', 'GO_0004803', 'GO_0032196', 'GO_0006313'}"
b0018,"{'GO_0005886', 'GO_0016020'}"
b0019,"{'GO_0005886', 'GO_0016020', 'GO_0010446', 'GO_0015385', 'GO_0006814', 'GO_0015297', 'GO_0051453', 'GO_0055085', 'GO_0009651', 'GO_0006885', 'GO_0015081', 'GO_1901612', 'GO_0035725'}"
b0020,"{'GO_0003700', 'GO_0003677', 'GO_0005737', 'GO_0001216', 'GO_0006355', 'GO_2000144'}"
b0021,"{'GO_0006310', 'GO_0003677', 'GO_0004803', 'GO_0032196', 'GO_0006313'}"
b0022,"{'GO_0032196', 'GO_0006310', 'GO_0006313'}"
b0023,"{'GO_0019843', 'GO_0022627', 'GO_0005737', 'GO_0003735', 'GO_0008073', 'GO_0003723', 'GO_0000028', 'GO_0070181', 'GO_0002181', 'GO_0006412', 'GO_0005829', 'GO_1990904', 'GO_0005840'}"
b0024,{'GO_0006974'}
b0025,"{'GO_0008531', 'GO_0016310', 'GO_0003919', 'GO_0005515', 'GO_0005524', 'GO_0016301', 'GO_0016779', 'GO_0009398', 'GO_0009231', 'GO_0006747'}"
