symbol,locus
sgrR,b0069
sgrS,b4577
leuO,b0076
cra,b0080
dksA,b0145
matA,b0294
phoB,b0399
bolA,b0435
hupB,b0440
acrR,b0464
fur,b0683
modE,b0761
rcdA,b0846
rybB,b4417
lrp,b0889
rpsA,b0911
ihfB,b0912
torR,b0995
rutR,b1013
csgD,b1040
phoP,b1130
narL,b1221
hns,b1237
fnr,b1334
mcaS,b4426
fnrS,b4699
racR,b1356
ydaT,b1358
rydC,b4597
sutR,b1434
ydeO,b1499
marR,b1530
marA,b1531
mgrR,b4698
rstA,b1608
slyA,b1642
rprA,b4431
ydiP,b1696
ihfA,b1712
flhC,b1891
flhD,b1892
uvrY,b1914
sdiA,b1916
fliZ,b1921
fliA,b1922
rcsA,b1951
dsrA,b1954
rseX,b4603
nac,b1988
cyaR,b4438
btsR,b2125
mlrA,b2127
micF,b4439
rcsB,b2217
lrhA,b2289
evgA,b2369
glrR,b2554
rpoE,b2573
alpA,b2624
glaR,b2664
stpA,b2669
micA,b4442
csrA,b2696
rpoS,b2741
gcvA,b2808
gcvB,b4443
omrA,b4444
omrB,b4445
argP,b2916
mqsA,b3021
qseB,b3025
rpoD,b3067
deaD,b3162
rpoN,b3202
arcZ,b4450
argR,b3237
fis,b3261
crp,b3357
ompR,b3405
ryhB,b4451
rpoH,b3461
arrS,b4704
gadE,b3512
gadW,b3515
gadY,b4452
gadX,b3516
cspA,b3556
lldR,b3604
uhpU,b4829
uhpA,b3669
dnaA,b3702
hdfR,b4480
glnG,b3868
cpxR,b3912
cytR,b3934
oxyS,b4458
oxyR,b3961
hupA,b4000
zraR,b4004
lexA,b4043
soxS,b4062
soxR,b4063
basR,b4113
adiY,b4116
nsrR,b4178
yjjQ,b4365
bglJ,b4366
rob,b4396
arcA,b4401
