regulator,edge,regulated
aaeR,+,aaeA
aaeR,+,aaeB
aaeR,+,aaeX
accA,-,accA
accA,-,accD
accB,-,accB
accB,-,accC
accD,-,accA
accD,-,accD
acnB,+,acnB
acrR,-,acrA
acrR,-,acrB
acrR,-,acrR
acrR,-,flhC
acrR,-,flhD
acrR,-,marA
acrR,-,marB
acrR,-,marR
acrR,-,mdtI
acrR,-,mdtJ
acrR,-,mdtU
acrR,-,micF
acrR,-,puuA
acrR,-,soxR
acrR,-,soxS
ada,-+,ada
ada,+,aidB
ada,+,alkA
ada,-+,alkB
adiY,+,adiA
adiY,+,gadA
adiY,+,gadB
adiY,+,gadC
adiY,+,gadX
adiY,+,gltB
adiY,+,gltD
adiY,+,gltF
agaR,-,agaB
agaR,-,agaC
agaR,-,agaD
agaR,-,agaI
agaR,-,agaR
agaR,-,agaS
agaR,-,agaV
agaR,-,kbaY
agaR,-,kbaZ
agrB,-,dinQ
aidB,-,aidB
alaS,-,alaS
allR,-,allA
allR,-,allB
allR,-,allS
allR,-,allW
allR,-,gcl
allR,-,glxK
allR,-,glxR
allR,-,hyi
allR,-,ybbY
allS,+,allC
allS,+,allD
allS,+,allE
alpA,+,intA
alpA,-,phoB
alpA,-,phoR
alsR,-,alsA
alsR,-,alsB
alsR,-,alsC
alsR,-,alsE
alsR,-,alsR
alsR,-,rpiB
ameF,+,mazE
ameF,+,mazF
appY,+,appA
appY,+,appB
appY,+,appC
appY,+,appX
appY,+,hyaA
appY,+,hyaB
appY,+,hyaC
appY,+,hyaD
appY,+,hyaE
appY,+,hyaF
araC,-+,araA
araC,-+,araB
araC,-+,araC
araC,-+,araD
araC,+,araE
araC,+,araF
araC,+,araG
araC,+,araH
araC,+,araJ
araC,-,xylA
araC,-,xylB
araC,-,ydeM
araC,-,ydeN
araC,+,ygeA
araC,-,yjfF
araC,-,ytfQ
araC,-,ytfR
araC,-,ytfT
arcA,-,aceA
arcA,-,aceB
arcA,-,aceE
arcA,-,aceF
arcA,-,aceK
arcA,+,ackA
arcA,-,acnA
arcA,-,acnB
arcA,+,acpP
arcA,-,aldA
arcA,+,appA
arcA,+,appB
arcA,+,appC
arcA,+,appX
arcA,+,appY
arcA,+,arcA
arcA,-,arcZ
arcA,+,argR
arcA,-,argT
arcA,-,betA
arcA,-,betB
arcA,-,betI
arcA,-,betT
arcA,-,cadA
arcA,-,cadB
arcA,+,caiA
arcA,+,caiB
arcA,+,caiC
arcA,+,caiD
arcA,+,caiE
arcA,+,caiT
arcA,+,carA
arcA,-,citC
arcA,-,citD
arcA,-,citE
arcA,-,citF
arcA,-,citG
arcA,-,citX
arcA,-,cycA
arcA,+,cydA
arcA,+,cydB
arcA,+,cydC
arcA,+,cydD
arcA,-,cyoA
arcA,-,cyoB
arcA,-,cyoC
arcA,-,cyoD
arcA,-,cyoE
arcA,-,dctA
arcA,+,dcuA
arcA,+,dcuB
arcA,+,dcuC
arcA,+,dpiA
arcA,+,dpiB
arcA,+,dppA
arcA,+,dsbB
arcA,-,fadA
arcA,-,fadB
arcA,-,fadD
arcA,-,fadE
arcA,-,fadH
arcA,-,fadI
arcA,-,fadJ
arcA,-,fadL
arcA,-,feoA
arcA,-,fnr
arcA,-+,focA
arcA,-,folE
arcA,-,fumA
arcA,+,fumB
arcA,-,fumC
arcA,+,gadA
arcA,+,gadE
arcA,+,gadF
arcA,+,gadX
arcA,-,gatA
arcA,-,gatB
arcA,-,gatD
arcA,-,gatY
arcA,-,gatZ
arcA,+,gcvB
arcA,-,glaH
arcA,-,glcA
arcA,-,glcB
arcA,-,glcC
arcA,-,glcD
arcA,-,glcE
arcA,-,glcF
arcA,-,glcG
arcA,-,glpA
arcA,-,glpB
arcA,-,glpC
arcA,-,glpD
arcA,-,glpE
arcA,-,gltA
arcA,+,grcA
arcA,+,hemA
arcA,+,hyaA
arcA,+,hyaB
arcA,+,hyaC
arcA,+,hyaD
arcA,+,hyaE
arcA,+,hyaF
arcA,-,hybA
arcA,-,hybB
arcA,-,hybC
arcA,-,hybD
arcA,-,hybE
arcA,-,hybF
arcA,-,hybG
arcA,-,hybO
arcA,-,icd
arcA,+,igaA
arcA,+,iraM
arcA,-,kdpA
arcA,-,kgtP
arcA,-,lldD
arcA,-,lldP
arcA,-,lldR
arcA,-,lpd
arcA,+,manA
arcA,-,mdh
arcA,+,micF
arcA,+,moeA
arcA,+,moeB
arcA,-,mqo
arcA,-,msrB
arcA,-,ndh
arcA,-,ndk
arcA,-,nudE
arcA,-,nuoA
arcA,-,nuoB
arcA,-,nuoC
arcA,-,nuoE
arcA,-,nuoF
arcA,-,nuoG
arcA,-,nuoH
arcA,-,nuoI
arcA,-,nuoJ
arcA,-,nuoK
arcA,-,nuoL
arcA,-,nuoM
arcA,-,nuoN
arcA,+,nupC
arcA,-,ompW
arcA,-+,oppA
arcA,-,oppB
arcA,-,oppC
arcA,-,oppD
arcA,-,oppF
arcA,-,osmY
arcA,-,pepN
arcA,+,pflB
arcA,-,phoH
arcA,+,pldA
arcA,+,pncB
arcA,+,pntA
arcA,-,potF
arcA,-,pqqU
arcA,+,prfA
arcA,+,prmC
arcA,-,ptsG
arcA,-,putA
arcA,-,putP
arcA,-,puuA
arcA,-,puuB
arcA,-,puuC
arcA,-,puuD
arcA,-,puuE
arcA,-,puuP
arcA,-,puuR
arcA,+,pyrS
arcA,-,rhaT
arcA,+,rho
arcA,-,rmf
arcA,-,rplB
arcA,-,rplC
arcA,-,rplD
arcA,-,rplP
arcA,-,rplV
arcA,-,rplW
arcA,-,rpmC
arcA,-,rpoS
arcA,-,rpsC
arcA,-,rpsJ
arcA,-,rpsQ
arcA,-,rpsS
arcA,-,rsd
arcA,+,rstA
