medium,value
pi_e,1000.0
co2_e,1000.0
met__L_e,50.0
ile__L_e,50.0
fe3_e,1000.0
leu__L_e,50.0
h_e,1000.0
gln__L_e,50.0
pro__L_e,50.0
ade_e,50.0
mn2_e,1000.0
arg__L_e,50.0
asp__L_e,50.0
tyr__L_e,50.0
glu__L_e,50.0
gua_e,50.0
fe2_e,1000.0
glc__D_e,50.0
ura_e,50.0
val__L_e,50.0
gly_e,50.0
lys__L_e,50.0
ser__L_e,50.0
thm_e,50.0
trp__L_e,50.0
zn2_e,1000.0
mg2_e,1000.0
ca2_e,1000.0
ni2_e,1000.0
cu2_e,1000.0
sel_e,1000.0
cobalt2_e,1000.0
h2o_e,1000.0
pnto__R_e,50.0
mobd_e,1000.0
so4_e,1000.0
phe__L_e,50.0
thr__L_e,50.0
nh4_e,1000.0
csn_e,50.0
his__L_e,50.0
k_e,1000.0
na1_e,1000.0
cys__L_e,50.0
cl_e,1000.0
o2_e,1000.0
tungs_e,1000.0
slnt_e,1000.0
4abzglu_e,50.0
ala__L_e,50.0
asn__L_e,50.0
