source,target,importance
SAMD11,PERM1,0.125
SAMD11,HES4,0.1538461538461538
SAMD11,TNFRSF4,0.1052631578947368
SAMD11,CALML6,0.2222222222222222
SAMD11,SMIM1,0.1111111111111111
SAMD11,CELA2B,0.1111111111111111
SAMD11,CELA3A,0.125
SAMD11,SYF2,0.1111111111111111
SAMD11,RSRP1,0.2
SAMD11,SH3BGRL3,0.125
SAMD11,ZNF683,0.1176470588235294
SAMD11,HMGN2,0.2307692307692307
SAMD11,THEMIS2,0.2
SAMD11,DCDC2B,0.125
SAMD11,BSDC1,0.1666666666666666
SAMD11,TMEM54,0.1666666666666666
SAMD11,PSMB2,0.1052631578947368
SAMD11,CLSPN,0.125
SAMD11,ZMYND12,0.1666666666666666
SAMD11,PDZK1IP1,0.1428571428571428
SAMD11,CDKN2C,0.1176470588235294
SAMD11,FAM159A,0.1666666666666666
SAMD11,TMEM61,0.1666666666666666
SAMD11,MSH4,0.1111111111111111
SAMD11,GIPC2,0.125
SAMD11,MYBPHL,0.125
SAMD11,FAM212B,0.1111111111111111
SAMD11,FAM46C,0.1428571428571428
SAMD11,POLR3GL,0.2222222222222222
SAMD11,PDE4DIP,0.1538461538461538
SAMD11,HIST2H2AC,0.1111111111111111
SAMD11,PLEKHO1,0.1538461538461538
SAMD11,ANP32E,0.2727272727272727
SAMD11,BNIPL,0.1818181818181818
SAMD11,C1orf56,0.1428571428571428
SAMD11,GABPB2,0.2222222222222222
SAMD11,LYSMD1,0.1666666666666666
SAMD11,S100A5,0.1818181818181818
SAMD11,SHE,0.1666666666666666
SAMD11,PBXIP1,0.1153846153846153
SAMD11,CKS1B,0.1176470588235294
SAMD11,KLHDC9,0.1666666666666666
SAMD11,NIT1,0.1111111111111111
SAMD11,MPC2,0.1428571428571428
SAMD11,CACYBP,0.1111111111111111
SAMD11,IER5,0.1538461538461538
SAMD11,RGS8,0.1111111111111111
SAMD11,COLGALT2,0.125
SAMD11,CFHR3,0.125
SAMD11,ELF3,0.1304347826086956
SAMD11,KDM5B,0.1333333333333333
SAMD11,MDM4,0.12
SAMD11,LEMD1,0.1666666666666666
SAMD11,CDK18,0.1538461538461538
SAMD11,PTPN14,0.1176470588235294
SAMD11,HLX,0.1052631578947368
SAMD11,ZBTB18,0.1578947368421052
SAMD11,RRM2,0.1176470588235294
SAMD11,CENPA,0.1428571428571428
SAMD11,KRTCAP3,0.1666666666666666
SAMD11,FOSL2,0.1666666666666666
SAMD11,YPEL5,0.1428571428571428
SAMD11,LBH,0.1428571428571428
SAMD11,UGP2,0.1111111111111111
SAMD11,LGALSL,0.1666666666666666
SAMD11,MEIS1,0.1153846153846153
SAMD11,GKN2,0.1111111111111111
SAMD11,KRCC1,0.2
SAMD11,RFX8,0.1111111111111111
SAMD11,ZC3H6,0.25
SAMD11,GYPC,0.1111111111111111
SAMD11,CCDC148,0.2
SAMD11,BAZ2B,0.2222222222222222
SAMD11,SPC25,0.1428571428571428
SAMD11,NABP1,0.1052631578947368
SAMD11,ANKRD44,0.2
SAMD11,ALS2CR11,0.2
SAMD11,CDK15,0.1176470588235294
SAMD11,IKZF2,0.2222222222222222
SAMD11,TNP1,0.15
SAMD11,CRYBA2,0.1111111111111111
SAMD11,GMPPA,0.1111111111111111
SAMD11,NYAP2,0.1428571428571428
SAMD11,PTMA,0.2727272727272727
SAMD11,LMCD1,0.1666666666666666
SAMD11,ANKRD28,0.1428571428571428
SAMD11,CSRNP1,0.1111111111111111
SAMD11,ZNF620,0.1818181818181818
SAMD11,CDCP1,0.125
SAMD11,UBA7,0.1176470588235294
SAMD11,IQCF2,0.1666666666666666
SAMD11,SPATA12,0.2
SAMD11,DNASE1L3,0.1052631578947368
SAMD11,FRG2C,0.2
SAMD11,FILIP1L,0.1428571428571428
SAMD11,NXPE3,0.1666666666666666
SAMD11,NFKBIZ,0.1666666666666666
SAMD11,CD200R1L,0.1111111111111111
SAMD11,EFCAB12,0.1666666666666666
SAMD11,MBD4,0.1428571428571428
SAMD11,ZBTB38,0.1666666666666666
SAMD11,TM4SF1,0.125
SAMD11,SMC4,0.1304347826086956
SAMD11,SAMD7,0.7142857142857143
SAMD11,SKIL,0.1111111111111111
SAMD11,RPL22L1,0.1111111111111111
SAMD11,FAM43A,0.2
SAMD11,RNF168,0.1333333333333333
SAMD11,POLN,0.1428571428571428
SAMD11,S100P,0.1052631578947368
SAMD11,FGFBP2,0.125
SAMD11,SOD3,0.1176470588235294
SAMD11,C4orf19,0.1428571428571428
SAMD11,SMIM14,0.1111111111111111
SAMD11,C4orf26,0.125
SAMD11,C4orf22,0.3333333333333333
SAMD11,FABP2,0.125
SAMD11,KIAA1109,0.1428571428571428
SAMD11,GYPB,0.1428571428571428
SAMD11,MAB21L2,0.1818181818181818
SAMD11,TMEM154,0.1666666666666666
SAMD11,C4orf45,0.2
SAMD11,SCRG1,0.1111111111111111
SAMD11,SPATA4,0.25
SAMD11,CENPU,0.2
SAMD11,FRG2,0.2
SAMD11,UBE2QL1,0.2
SAMD11,FYB,0.1176470588235294
SAMD11,CCDC152,0.2
SAMD11,ANXA2R,0.1666666666666666
SAMD11,ANKRD55,0.2
SAMD11,ZNF366,0.125
SAMD11,TMEM171,0.1666666666666666
SAMD11,FAM169A,0.1666666666666666
SAMD11,S100Z,0.125
SAMD11,GLRX,0.125
SAMD11,LIX1,0.1428571428571428
SAMD11,MCC,0.1111111111111111
SAMD11,PRR16,0.1428571428571428
SAMD11,GRAMD3,0.1428571428571428
SAMD11,ALDH7A1,0.1111111111111111
SAMD11,PITX1,0.1304347826086956
SAMD11,JAKMIP2,0.125
SAMD11,ARSI,0.1111111111111111
SAMD11,SYNPO,0.1052631578947368
SAMD11,SMIM3,0.1428571428571428
SAMD11,FAM71B,0.1666666666666666
SAMD11,ADAM19,0.1052631578947368
SAMD11,CCNJL,0.1818181818181818
SAMD11,PTTG1,0.125
SAMD11,CREBRF,0.1666666666666666
SAMD11,ZNF879,0.1111111111111111
SAMD11,HNRNPH1,0.125
SAMD11,TUBB2A,0.1111111111111111
SAMD11,FAM217A,0.2
SAMD11,PHACTR1,0.1052631578947368
SAMD11,ATXN1,0.1111111111111111
SAMD11,DEK,0.1363636363636363
SAMD11,HIST1H1C,0.1176470588235294
SAMD11,HIST1H2AC,0.1818181818181818
SAMD11,HIST1H2BD,0.1666666666666666
SAMD11,HIST1H2BE,0.1111111111111111
SAMD11,HIST1H2BG,0.1111111111111111
SAMD11,PPP1R18,0.1111111111111111
SAMD11,IER3,0.1818181818181818
SAMD11,PSMB8,0.1111111111111111
SAMD11,ETV7,0.125
SAMD11,PI16,0.1111111111111111
SAMD11,MDFI,0.125
SAMD11,PTCRA,0.1428571428571428
SAMD11,ADGRF4,0.1111111111111111
SAMD11,PRSS35,0.1666666666666666
SAMD11,PNRC1,0.4
SAMD11,TSPYL1,0.3
SAMD11,FAM26F,0.125
SAMD11,SLC35F1,0.125
SAMD11,FABP7,0.1666666666666666
SAMD11,MYB,0.1304347826086956
SAMD11,TXLNB,0.1428571428571428
SAMD11,PSMB1,0.1052631578947368
SAMD11,ADAP1,0.125
SAMD11,CREB5,0.1333333333333333
SAMD11,PRR15,0.2
SAMD11,POU6F2,0.1428571428571428
SAMD11,C7orf25,0.2
SAMD11,PGAM2,0.1111111111111111
SAMD11,SUMF2,0.1111111111111111
SAMD11,GTF2IRD2,0.2222222222222222
SAMD11,CCDC146,0.125
SAMD11,SAMD9L,0.1428571428571428
SAMD11,ARPC1B,0.1176470588235294
SAMD11,C7orf61,0.2
SAMD11,TSC22D4,0.4285714285714285
SAMD11,GIGYF1,0.125
SAMD11,MYL10,0.1111111111111111
SAMD11,HBP1,0.1428571428571428
SAMD11,TES,0.1428571428571428
SAMD11,UBE2H,0.1428571428571428
SAMD11,SSMEM1,0.1666666666666666
SAMD11,TSGA13,0.2
SAMD11,ZC3HAV1,0.1428571428571428
SAMD11,TMEM139,0.1666666666666666
SAMD11,FAM131B,0.1428571428571428
SAMD11,ZNF425,0.2307692307692307
SAMD11,ZNF467,0.2222222222222222
SAMD11,ZNF862,0.125
SAMD11,TMEM176A,0.1428571428571428
SAMD11,VCX3B,0.1428571428571428
SAMD11,FAM9C,0.125
SAMD11,RAI2,0.2857142857142857
SAMD11,BEND2,0.1666666666666666
SAMD11,MAGEB2,0.3333333333333333
SAMD11,DYNLT3,0.125
SAMD11,MID1IP1,0.125
SAMD11,FAM156A,0.125
SAMD11,MAGED2,0.1428571428571428
SAMD11,TRO,0.2222222222222222
SAMD11,PAGE5,0.2
SAMD11,LINC01420,0.1111111111111111
SAMD11,ACRC,0.2
SAMD11,SH3BGRL,0.1111111111111111
SAMD11,RPA4,0.125
SAMD11,ARMCX3,0.1538461538461538
SAMD11,ZMAT1,0.1428571428571428
SAMD11,NXF3,0.1666666666666666
SAMD11,TCEAL5,0.3333333333333333
SAMD11,BEX2,0.1176470588235294
SAMD11,WBP5,0.1666666666666666
SAMD11,TSC22D3,0.2222222222222222
SAMD11,CT45A1,0.1428571428571428
SAMD11,CT45A3,0.1428571428571428
SAMD11,SPANXD,0.3333333333333333
SAMD11,MAGEC2,0.1818181818181818
SAMD11,MAGEA9B,0.2857142857142857
SAMD11,MAGEA11,0.2
SAMD11,PASD1,0.1538461538461538
SAMD11,MAGEA2,0.125
SAMD11,PNMA5,0.1428571428571428
SAMD11,C8orf74,0.2
SAMD11,FAM167A,0.2
SAMD11,PEBP4,0.1666666666666666
SAMD11,EBF2,0.1764705882352941
SAMD11,PNMA2,0.1428571428571428
SAMD11,PLEKHA2,0.1333333333333333
SAMD11,ZMAT4,0.2857142857142857
SAMD11,CEBPD,0.1363636363636363
SAMD11,PCMTD1,0.1111111111111111
SAMD11,C8orf46,0.25
SAMD11,UBE2W,0.1176470588235294
SAMD11,ZBTB10,0.1538461538461538
SAMD11,RALYL,0.25
SAMD11,RUNX1T1,0.2307692307692307
SAMD11,FBXO43,0.2
SAMD11,KLF10,0.125
SAMD11,ATAD2,0.3333333333333333
SAMD11,FBXO32,0.1538461538461538
SAMD11,FAM84B,0.1428571428571428
SAMD11,SLA,0.125
SAMD11,PARP10,0.1111111111111111
SAMD11,DMRT2,0.1176470588235294
SAMD11,SPINK4,0.125
SAMD11,FAM214B,0.4
SAMD11,SPAG8,0.125
SAMD11,FAM221B,0.2
SAMD11,ZNF658,0.1538461538461538
SAMD11,MAMDC2,0.125
SAMD11,TLE4,0.2142857142857142
SAMD11,CKS2,0.1764705882352941
SAMD11,GADD45G,0.1538461538461538
SAMD11,SUSD3,0.1428571428571428
SAMD11,HEMGN,0.125
SAMD11,SVEP1,0.125
SAMD11,ZNF483,0.1111111111111111
SAMD11,PHF19,0.2
SAMD11,MORN5,0.2
SAMD11,SET,0.2272727272727272
SAMD11,CLIC3,0.1176470588235294
SAMD11,TNNI2,0.1428571428571428
SAMD11,UBQLNL,0.125
SAMD11,DKK3,0.1176470588235294
SAMD11,LDHA,0.1333333333333333
SAMD11,MPPED2,0.1111111111111111
SAMD11,CD82,0.125
SAMD11,FAM180B,0.1666666666666666
SAMD11,FAM111A,0.1111111111111111
SAMD11,TKFC,0.1176470588235294
SAMD11,PPP1R32,0.125
SAMD11,TIGD3,0.3333333333333333
SAMD11,CCS,0.1333333333333333
SAMD11,MYEOV,0.2
SAMD11,KRTAP5-11,0.1428571428571428
SAMD11,PLEKHB1,0.1111111111111111
SAMD11,PRSS23,0.2222222222222222
SAMD11,C11orf70,0.125
SAMD11,ANKK1,0.1538461538461538
SAMD11,UPK2,0.1111111111111111
SAMD11,VWA5A,0.1666666666666666
SAMD11,TMEM45B,0.1666666666666666
SAMD11,GLB1L2,0.1111111111111111
SAMD11,ZEB1,0.1081081081081081
SAMD11,PGBD3,0.1666666666666666
SAMD11,ZNF503,0.3
SAMD11,ADIRF,0.1818181818181818
SAMD11,HELLS,0.1428571428571428
SAMD11,CRTAC1,0.125
SAMD11,PYROXD2,0.125
SAMD11,SHOC2,0.1176470588235294
SAMD11,PTPRE,0.1538461538461538
SAMD11,MKI67,0.1052631578947368
SAMD11,TCERG1L,0.125
SAMD11,AKAP3,0.125
SAMD11,TMEM52B,0.1428571428571428
SAMD11,BHLHE41,0.125
SAMD11,KIAA1551,0.375
SAMD11,PRICKLE1,0.1764705882352941
SAMD11,AMIGO2,0.1538461538461538
SAMD11,PCED1B,0.2
SAMD11,H1FNT,0.1818181818181818
SAMD11,DNAJC22,0.1111111111111111
SAMD11,ANKRD33,0.2222222222222222
SAMD11,KRT7,0.1428571428571428
SAMD11,KRT8,0.1176470588235294
SAMD11,PFDN5,0.1666666666666666
SAMD11,CALCOCO1,0.125
SAMD11,HOXC13,0.1428571428571428
SAMD11,MUCL1,0.125
SAMD11,PHLDA1,0.1538461538461538
SAMD11,TCP11L2,0.1666666666666666
SAMD11,ARPC3,0.1111111111111111
SAMD11,SRRM4,0.1333333333333333
SAMD11,HSPB8,0.1538461538461538
SAMD11,CCDC60,0.2
SAMD11,MORN3,0.4
SAMD11,N4BP2L2,0.1538461538461538
SAMD11,TSC22D1,0.25
SAMD11,SETDB2,0.1428571428571428
SAMD11,FAM124A,0.2
SAMD11,INTS6,0.1818181818181818
