,tf,confidence,target,mor
1,ADNP,D,ATF7IP,1.0
2,ADNP,D,DYRK1A,1.0
3,ADNP,D,TLK1,1.0
4,ADNP,D,ZMYM4,1.0
5,ADNP,D,ABCC1,1.0
6,ADNP,D,ABCC6,1.0
7,ADNP,D,ABHD5,1.0
8,ADNP,D,ABT1,1.0
9,ADNP,D,AC002066.1,1.0
10,ADNP,D,AC002127.4,1.0
11,ADNP,D,AC005514.2,1.0
12,ADNP,D,AC006076.1,1.0
13,ADNP,D,AC006552.1,1.0
14,ADNP,D,AC007319.1,1.0
15,ADNP,D,AC007792.1,1.0
16,ADNP,D,AC010649.1,1.0
17,ADNP,D,AC011288.2,1.0
18,ADNP,D,AC024084.1,1.0
19,ADNP,D,AC073284.4,1.0
20,ADNP,D,AC092171.4,1.0
21,ADNP,D,ACBD6,1.0
22,ADNP,D,ACP7,1.0
23,ADNP,D,ADAMTS10,1.0
24,ADNP,D,ADAMTS14,1.0
25,ADNP,D,ADCY7,1.0
26,ADNP,D,ADGRG1,1.0
27,ADNP,D,ADGRV1,1.0
28,ADNP,D,AHCY,1.0
29,ADNP,D,AIF1L,1.0
30,ADNP,D,AKNA,1.0
31,ADNP,D,AKT2,1.0
32,ADNP,D,ALDH1A1,1.0
33,ADNP,D,ALDH1A2,1.0
34,ADNP,D,ALX4,1.0
35,ADNP,D,ANGPT1,1.0
36,ADNP,D,ANGPTL2,1.0
37,ADNP,D,ANKRD24,1.0
38,ADNP,D,ANO6,1.0
39,ADNP,D,ANTXR2,1.0
40,ADNP,D,AP000442.4,1.0
41,ADNP,D,AP1M1,1.0
42,ADNP,D,ARHGEF1,1.0
43,ADNP,D,ARHGEF10L,1.0
44,ADNP,D,ARHGEF37,1.0
45,ADNP,D,ARID3A,1.0
46,ADNP,D,ARID5B,1.0
47,ADNP,D,ARL5A,1.0
48,ADNP,D,ARPC3P5,1.0
49,ADNP,D,ASAP1,1.0
50,ADNP,D,ASCC2,1.0
51,ADNP,D,ATG14,1.0
52,ADNP,D,ATP2B1,1.0
53,ADNP,D,ATP8B3,1.0
54,ADNP,D,AXL,1.0
55,ADNP,D,BBC3,1.0
56,ADNP,D,BHLHE40,1.0
57,ADNP,D,C12ORF76,1.0
58,ADNP,D,C16ORF45,1.0
59,ADNP,D,C19ORF66,1.0
60,ADNP,D,C1ORF100,1.0
61,ADNP,D,C1ORF127,1.0
62,ADNP,D,C1ORF167,1.0
