,tf,class
1,TFAP2A,activators
2,TFAP2B,activators
3,TFAP2C,activators
4,TFAP2D,activators
5,TFAP2E,activators
6,ARID3A,
7,ARID3B,
8,ARID3C,
9,ARID5A,repressors
10,ARID5B,activators
11,KDM5B,dual
12,ARID2,dual
13,AHCTF1,
14,AHDC1,
15,AKNA,
16,ASH1L,
17,CBX2,
18,DNTTIP1,
19,DOT1L,
20,GLYR1,
21,HMGA1,
22,HMGA2,
23,PHF20,
24,PHF21A,
25,PRR12,
26,SCML4,
27,SETBP1,
28,SRCAP,
29,C11orf95,
30,FAM200B,
31,SGSM2,
32,ZBED1,activators
33,ZBED2,
34,ZBED3,
35,ZBED4,
36,ZBED5,
37,ZBED6,repressors
38,ZBED9,
39,AHR,activators
40,AHRR,repressors
41,ARNT,activators
42,ARNT2,
43,ARNTL,activators
44,ARNTL2,dual
45,ASCL1,activators
46,ASCL2,
47,ASCL3,repressors
48,ASCL4,
49,ASCL5,
50,ATOH1,activators
51,ATOH7,
52,ATOH8,activators
53,BHLHA15,
54,BHLHA9,
55,BHLHE22,repressors
56,BHLHE23,
57,BHLHE40,repressors
58,BHLHE41,repressors
59,CCDC169-SOHLH2,
60,CLOCK,activators
61,EPAS1,activators
62,FERD3L,repressors
63,FIGLA,
64,HAND1,
65,HAND2,
66,HELT,repressors
67,HES1,repressors
68,HES2,repressors
69,HES3,repressors
70,HES4,repressors
71,HES5,repressors
72,HES6,
73,HES7,repressors
74,HEY1,dual
75,HEY2,dual
76,HEYL,dual
77,HIF1A,activators
78,HIF3A,
79,LYL1,
80,MAX,dual
81,MESP1,
82,MESP2,
83,MITF,activators
84,MLX,dual
85,MLXIP,activators
86,MLXIPL,repressors
87,MNT,repressors
88,MSC,repressors
89,MSGN1,
90,MXD1,repressors
91,MXD3,repressors
92,MXD4,
93,MXI1,repressors
94,MYC,activators
95,MYCL,
96,MYCN,
97,MYF5,activators
98,MYF6,
99,MYOD1,activators
100,MYOG,activators
101,NCOA1,
102,NCOA2,
103,NCOA3,
104,NEUROD1,activators
105,NEUROD2,
106,NEUROD4,activators
107,NEUROD6,activators
108,NEUROG1,activators
109,NEUROG2,activators
110,NEUROG3,activators
111,NHLH1,
112,NHLH2,
113,NPAS1,
114,NPAS2,activators
115,NPAS3,
116,NPAS4,activators
117,OLIG1,
118,OLIG2,
119,OLIG3,
120,PTF1A,
121,SCX,
122,SIM1,
123,SIM2,
124,SOHLH1,
125,SOHLH2,
126,SREBF1,activators
127,SREBF2,activators
128,TAL1,
129,TAL2,
130,TCF12,activators
131,TCF15,
132,TCF21,
133,TCF23,repressors
134,TCF24,
135,TCF3,
136,TCF4,activators
137,TCFL5,
138,TFAP4,activators
139,TFE3,activators
140,TFEB,activators
141,TFEC,dual
142,TWIST1,dual
143,TWIST2,
144,USF1,
145,USF2,
146,USF3,
147,POGK,
148,AC023509.3,
149,ATF1,
150,ATF2,activators
151,ATF3,repressors
152,ATF4,activators
153,ATF5,dual
154,ATF6,activators
155,ATF6B,activators
156,ATF7,
157,BACH1,dual
158,BACH2,dual
159,BATF,activators
160,BATF2,
161,BATF3,
162,CEBPA,activators
163,CEBPB,
164,CEBPD,activators
165,CEBPE,activators
166,CEBPG,
167,CREB1,
168,CREB3,activators
169,CREB3L1,activators
170,CREB3L2,activators
171,CREB3L3,activators
172,CREB3L4,activators
173,CREB5,activators
174,CREBL2,
175,CREBZF,activators
176,CREM,dual
177,DBP,
178,DDIT3,dual
179,FOS,
180,FOSB,
181,FOSL1,
182,FOSL2,
183,HLF,
184,JDP2,
185,JUN,activators
186,JUNB,
187,JUND,
188,MAF,dual
189,MAFA,activators
190,MAFB,dual
191,MAFF,dual
192,MAFG,dual
193,MAFK,dual
194,NFE2,
195,NFE2L1,activators
196,NFE2L2,activators
197,NFE2L3,activators
198,NFIL3,dual
199,NRL,activators
200,TEF,activators
201,XBP1,dual
202,AC008770.3,
203,AC092835.1,
204,AC138696.1,
205,AEBP2,
206,AKAP8,
207,AKAP8L,
208,ANKZF1,
209,ATMIN,
210,BCL11A,
211,BCL11B,
212,BCL6,repressors
213,BCL6B,
214,BNC1,activators
215,BNC2,
216,CASZ1,
217,CCDC17,
218,CHAMP1,
219,CPXCR1,
220,CTCF,dual
221,CTCFL,
222,DPF1,
223,DPF3,
224,DZIP1,
225,E4F1,dual
226,EEA1,
227,EGR1,activators
228,EGR2,
229,EGR3,
230,EGR4,activators
231,FAM170A,
232,FEZF1,
233,FEZF2,
234,FIZ1,repressors
235,GFI1,repressors
236,GFI1B,dual
237,GLI1,activators
238,GLI2,dual
239,GLI3,dual
240,GLI4,
241,GLIS1,
242,GLIS2,dual
243,GLIS3,
244,GTF3A,
245,GZF1,repressors
246,HIC1,repressors
247,HIC2,repressors
248,HINFP,dual
249,HIVEP1,
250,HIVEP2,
251,HIVEP3,
252,HKR1,
253,IKZF1,
254,IKZF2,
255,IKZF3,
256,IKZF4,repressors
257,IKZF5,
258,INSM1,repressors
259,INSM2,
260,JAZF1,
261,KAT7,
262,KCMF1,
263,KIN,
264,KLF1,dual
265,KLF10,repressors
266,KLF11,dual
267,KLF12,repressors
268,KLF13,repressors
269,KLF14,
270,KLF15,
271,KLF16,
272,KLF17,repressors
273,KLF2,activators
274,KLF3,
275,KLF4,dual
276,KLF5,activators
277,KLF6,activators
278,KLF7,activators
279,KLF8,dual
280,KLF9,dual
281,L3MBTL1,
282,L3MBTL3,
283,L3MBTL4,
284,MAZ,
285,MECOM,
286,MTF1,activators
287,MYNN,
288,MYT1,
289,MYT1L,repressors
290,MZF1,
291,OSR1,
292,OSR2,
293,OVOL1,
294,OVOL2,repressors
295,OVOL3,
296,PEG3,
297,PLAG1,
298,PLAGL1,
299,PLAGL2,
300,PRDM1,
301,PRDM10,
302,PRDM12,
303,PRDM13,
304,PRDM14,dual
305,PRDM15,
306,PRDM16,
307,PRDM2,activators
308,PRDM4,
309,PRDM5,repressors
310,PRDM6,
311,PRDM8,
312,PRDM9,activators
313,PRMT3,
314,RBAK,
315,RBSN,
316,REPIN1,
317,REST,repressors
318,RLF,
319,RREB1,
320,SALL1,repressors
321,SALL2,
322,SALL3,
323,SALL4,
324,SCRT1,repressors
325,SCRT2,
326,SLC2A4RG,
327,SNAI1,repressors
328,SNAI2,repressors
329,SNAI3,repressors
330,SP1,dual
331,SP2,
332,SP3,
333,SP4,activators
334,SP5,activators
335,SP6,
336,SP7,activators
337,SP8,
338,SP9,
339,ST18,repressors
340,TRAFD1,
341,TSHZ1,
342,TSHZ2,
343,TSHZ3,
344,VEZF1,
345,WIZ,
346,WT1,
347,YY1,dual
348,YY2,dual
349,ZBTB1,repressors
350,ZBTB10,
351,ZBTB11,
352,ZBTB12,
353,ZBTB14,dual
354,ZBTB16,
355,ZBTB17,dual
356,ZBTB18,repressors
357,ZBTB2,
358,ZBTB20,
359,ZBTB21,
360,ZBTB22,
361,ZBTB25,
362,ZBTB26,
363,ZBTB3,
364,ZBTB32,dual
365,ZBTB33,dual
366,ZBTB34,
367,ZBTB37,
368,ZBTB38,dual
369,ZBTB39,
370,ZBTB4,repressors
371,ZBTB40,
372,ZBTB41,
373,ZBTB42,
374,ZBTB43,
375,ZBTB44,
376,ZBTB45,
377,ZBTB46,
378,ZBTB47,
379,ZBTB48,
380,ZBTB49,
381,ZBTB5,
382,ZBTB6,
383,ZBTB7A,repressors
384,ZBTB7B,repressors
385,ZBTB7C,
386,ZBTB8A,
387,ZBTB8B,
388,ZBTB9,
389,ZFAT,
390,ZFP1,
391,ZFP14,
392,ZFP2,
393,ZFP28,
394,ZFP3,
395,ZFP30,
396,ZFP37,
397,ZFP41,
398,ZFP42,
399,ZFP57,
400,ZFP62,
401,ZFP64,
402,ZFP69,
403,ZFP69B,
404,ZFP82,
405,ZFP90,
406,ZFP91,
407,ZFP92,
408,ZFPM1,dual
409,ZFPM2,dual
410,ZFX,
411,ZFY,activators
412,ZIC1,activators
413,ZIC2,dual
414,ZIC3,activators
415,ZIC4,
416,ZIC5,
417,ZIK1,
418,ZIM2,
419,ZIM3,
420,ZKSCAN1,
421,ZKSCAN2,
422,ZKSCAN3,dual
423,ZKSCAN4,activators
424,ZKSCAN5,
425,ZKSCAN7,
426,ZKSCAN8,
427,ZMAT1,
428,ZMAT4,
429,ZNF10,
430,ZNF100,
431,ZNF101,
432,ZNF107,
433,ZNF112,
434,ZNF114,
435,ZNF117,
436,ZNF12,
437,ZNF121,
438,ZNF124,
439,ZNF131,
440,ZNF132,
441,ZNF133,
442,ZNF134,
443,ZNF135,
444,ZNF136,
445,ZNF138,
446,ZNF14,
