regulator,edge,regulated
C0293,-,hcaR
C0293,-,FadR
C0293,-,HcaR
C0293,-,fadR
C0293,-,iroK
aaeR,+,aaeX
aaeR,+,aaeA
aaeR,+,aaeB
accA;accD,-,accD
accA;accD,-,accA
accB,-,accB
accB,-,accC
accB,-,AccB
acnB,+,acnB
acrR,-,SoxR
acrR,-,MarR
acrR,-,mdtJ
acrR,-,AcrR
acrR,-,MarA
acrR,-,mdtI
acrR,-,SoxS
acrR,-,mdtU
acrR,-,puuA
acrR,-,flhD
acrR,-,soxR
acrR,-,soxS
acrR,-,flhC
acrR,-,marR
acrR,-,marB
acrR,-,marA
acrR,-,micF
acrR,-,acrR
acrR,-,acrB
acrR,-,acrA
ada,-+,alkB
ada,+,aidB
ada,+,alkA
ada,+,AidB
ada,-+,ada
ada,-+,Ada
adiY,+,gltB
adiY,+,gadA
adiY,+,GadX
adiY,+,gadX
adiY,+,gltF
adiY,+,adiA
adiY,+,gadC
adiY,+,gltD
adiY,+,gadB
agaR,-,agaD
agaR,-,agaV
agaR,-,agaW
agaR,-,agaS
agaR,-,agaR
agaR,-,agaB
agaR,-,agaC
agaR,-,kbaZ
agaR,-,agaA
agaR,-,AgaR
agaR,-,agaI
agaR,-,kbaY
agrB,-,dinQ
aidB,-,aidB
aidB,-,AidB
alaS,-,alaS
alaS,-,AlaS
allR,-,AllS
allR,-,glxK
allR,-,allS
allR,-,allA
allR,-,hyi
allR,-,glxR
allR,-,allW
allR,-,allB
allR,-,ybbY
allR,-,gcl
allS,+,allE
allS,+,allC
allS,+,allD
alpA,-,PhoB
alpA,+,intA
alpA,-,phoR
alpA,-,phoB
alsR,-,alsR
alsR,-,AlsR
alsR,-,alsE
alsR,-,rpiB
alsR,-,alsA
alsR,-,alsB
alsR,-,alsC
ameF,+,MazE
ameF,+,mazF
ameF,+,mazE
appY,+,hyaC
appY,+,hyaD
appY,+,hyaE
appY,+,hyaA
appY,+,appA
appY,+,appB
appY,+,appC
appY,+,appX
appY,+,hyaB
appY,+,hyaF
araC,-,xylB
araC,-+,araA
araC,+,ygeA
araC,-+,AraC
araC,-+,araC
araC,-,yjfF
araC,-,ytfQ
araC,-,ytfR
araC,-,xylA
araC,-,ytfT
araC,-,ydeM
araC,+,araJ
araC,+,araH
araC,-+,araB
araC,+,araG
araC,+,araF
araC,-,ydeN
araC,+,araE
araC,-+,araD
arcA,-,puuR
arcA,-,cycA
arcA,+,caiE
arcA,-,gatD
arcA,-,gatY
arcA,+,prmC
arcA,-,gatC
arcA,-,puuB
arcA,-,gatA
arcA,-,lldR
arcA,-,lldP
arcA,+,sstT
arcA,-,hybG
arcA,-,hybF
arcA,-,hybE
arcA,-,hybD
arcA,-,lldD
arcA,-,hybC
arcA,-,hybA
arcA,+,yfiF
arcA,+,grcA
arcA,-,nuoF
arcA,-,nuoM
arcA,-,rsd
arcA,-,phoH
arcA,-,hybB
arcA,-,yeiQ
arcA,-,yejG
arcA,-,mqo
arcA,-,msrB
arcA,-,acnB
arcA,-,yhjE
arcA,+,gadX
arcA,+,treB
arcA,-,feoA
arcA,-,nuoN
arcA,-,nuoL
arcA,-,nuoK
arcA,-,nuoJ
arcA,-,nuoI
arcA,-,nuoH
arcA,-,nuoG
arcA,-,nuoE
arcA,-,nuoC
arcA,-,nuoB
arcA,-,nuoA
arcA,-,gatB
arcA,-,dctA
arcA,+,nupC
arcA,+,xylR
arcA,+,rutA
arcA,+,iraM
arcA,-,puuP
arcA,-,puuA
arcA,-,puuD
arcA,-,puuE
arcA,-,tpx
arcA,-,ynaJ
arcA,-,pqqU
arcA,-,yncE
arcA,-,ydgC
arcA,+,rstA
arcA,-,gatZ
arcA,-,fadJ
arcA,-,fadI
arcA,+,pyrS
arcA,-,glaH
arcA,-,glcA
arcA,-,glcG
arcA,-,glcE
arcA,-,glcD
arcA,-,glcC
arcA,-,hybO
arcA,-,nudE
arcA,+,igaA
arcA,+,yhgE
arcA,-,yjiR
arcA,+,rutB
arcA,-,glcB
arcA,+,rutC
arcA,+,rutE
arcA,+,micF
arcA,+,acpP
arcA,-,rmf
arcA,+,gadA
arcA,+,appX
arcA,+,gadF
arcA,-,ymjE
arcA,-+,sdhX
arcA,-,glcF
arcA,+,gcvB
arcA,-,arcZ
arcA,-,sroD
arcA,-,fadH
arcA,-,fadE
arcA,+,ybdN
arcA,-,citG
arcA,-,citX
arcA,-,citF
arcA,-,citD
arcA,-,citC
arcA,+,dpiB
arcA,+,dpiA
arcA,+,dcuC
arcA,-+,b0725
arcA,-,ybiU
arcA,+,rutG
arcA,+,rutF
arcA,+,rutD
arcA,-,citE
arcA,+,appC
arcA,-,ydeA
arcA,+,RstA
arcA,+,DpiA
arcA,+,GadX
arcA,-,PutA
arcA,-,GlcC
arcA,-,PuuR
arcA,-,FNR
arcA,-,glpE
arcA,-,glpC
arcA,-,glpB
arcA,-,glpA
arcA,-,fumC
arcA,+,fumB
arcA,-,fumA
arcA,-,glpD
arcA,-,fnr
arcA,+,ArgR
arcA,+,AppY
arcA,-,rpoS
arcA,-,icd
arcA,+,hyaF
arcA,+,hyaE
arcA,+,hyaD
arcA,+,hyaC
arcA,+,ArcA
arcA,+,hyaB
arcA,+,hemA
arcA,-,gltA
arcA,-,LldR
arcA,-,BetI
arcA,+,GadE
arcA,-,yieE
arcA,+,hyaA
arcA,-,kdpA
arcA,-,fadL
arcA,-,fadA
arcA,+,argR
arcA,+,arcA
arcA,+,appY
