locus,symbol,matrix_idx,ecocyc_pos_regulatee,ecocyc_neg_regulatee,ecocyc_dual_regulatee,ecocyc_pos_regulatee_closure,ecocyc_neg_regulatee_closure,ecocyc_dual_regulatee_closure,refined_regulatee
b0020,nhaR,20,25.0,22.0,5,2,0,0,9.0
b0034,caiF,34,10.0,0.0,0,4,0,0,10.0
b0064,araC,64,10.0,12.0,4,2,1,1,18.0
b0069,sgrR,70,4.0,5.0,0,384,344,329,7.0
b0076,leuO,79,18.0,7.0,1,384,344,329,23.0
b0080,cra,83,73.0,84.0,24,384,344,329,132.0
b0081,mraZ,84,0.0,18.0,0,0,0,0,17.0
b0113,pdhR,116,16.0,38.0,0,2,0,0,53.0
b0118,acnB,121,1.0,0.0,0,1,0,0,1.0
b0145,dksA,148,45.0,121.0,4,384,344,329,118.0
b0162,cdaR,167,10.0,0.0,0,1,0,0,9.0
b0169,rpsB,174,0.0,3.0,0,0,0,0,2.0
b0185,accA,191,0.0,2.0,0,0,0,0,2.0
b0208,yafC,215,1.0,0.0,0,0,0,0,1.0
b0225,yafQ,235,0.0,3.0,0,0,0,0,3.0
b0226,dinJ,236,0.0,3.0,0,0,0,0,3.0
b0272,xynR,290,0.0,4.0,0,0,0,0,4.0
b0294,matA,315,2.0,7.0,0,384,344,329,8.0
b0305,rclR,329,3.0,0.0,0,0,0,0,3.0
b0313,betI,336,0.0,4.0,0,0,3,0,4.0
b0315,pdeL,339,2.0,6.0,0,1,0,0,8.0
b0330,prpR,354,4.0,1.0,0,3,0,0,5.0
b0338,cynR,361,3.0,1.0,0,2,0,0,4.0
b0345,lacI,368,0.0,3.0,0,0,0,0,3.0
b0346,mhpR,369,6.0,0.0,0,0,0,0,6.0
b0357,frmR,380,0.0,3.0,0,0,1,0,3.0
b0399,phoB,421,56.0,13.0,5,384,344,329,64.0
b0413,nrdR,435,0.0,9.0,0,0,2,0,9.0
b0435,bolA,457,8.0,5.0,2,384,344,329,11.0
b0440,hupB,462,1.0,8.0,0,384,344,329,8.0
b0447,decR,469,2.0,0.0,0,0,0,0,2.0
b0464,acrR,486,0.0,15.0,0,384,344,329,13.0
b0487,cueR,510,2.0,7.0,0,1,0,0,9.0
b0504,allS,527,3.0,0.0,0,0,0,0,3.0
b0506,allR,529,0.0,8.0,0,0,3,0,8.0
b0535,fimZ,558,5.0,0.0,0,0,0,0,5.0
b0564,appY,594,10.0,0.0,0,3,0,0,10.0
b0566,envY,596,2.0,0.0,0,2,0,0,2.0
b0571,cusR,601,14.0,0.0,0,2,0,0,14.0
b0620,dpiA,654,10.0,1.0,0,9,0,0,11.0
b0676,nagC,706,3.0,34.0,2,6,11,5,34.0
b0683,fur,714,87.0,199.0,11,384,344,329,271.0
b0694,kdpE,727,6.0,3.0,0,1,1,0,9.0
b0730,mngR,766,0.0,3.0,0,0,2,0,3.0
