Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_000913.3	190	255		plus	thr operon leader peptide	thrL	944742	protein-coding		NP_414542.1	21	b0001
NC_000913.3	337	2799		plus	fused aspartate kinase/homoserine dehydrogenase 1	thrA	945803	protein-coding		NP_414543.1	820	b0002
NC_000913.3	2801	3733		plus	homoserine kinase	thrB	947498	protein-coding		NP_414544.1	310	b0003
NC_000913.3	3734	5020		plus	threonine synthase	thrC	945198	protein-coding		NP_414545.1	428	b0004
NC_000913.3	5234	5530		plus	DUF2502 domain-containing protein YaaX	yaaX	944747	protein-coding		NP_414546.1	98	b0005
NC_000913.3	5683	6459		minus	DNA binding and peroxide stress response protein YaaA	yaaA	944749	protein-coding		NP_414547.1	258	b0006
NC_000913.3	6529	7959		minus	putative transporter YaaJ	yaaJ	944745	protein-coding		NP_414548.1	476	b0007
NC_000913.3	8238	9191		plus	transaldolase B	talB	944748	protein-coding		NP_414549.1	317	b0008
NC_000913.3	9306	9893		plus	molybdopterin adenylyltransferase	mog	944760	protein-coding		NP_414550.1	195	b0009
NC_000913.3	9928	10494		minus	acetate/succinate:H(+) symporter	satP	944792	protein-coding		NP_414551.1	188	b0010
NC_000913.3	10643	11356		minus	putative enzyme-specific chaperone YaaW	yaaW	944771	protein-coding		NP_414552.1	237	b0011
NC_000913.3	10830	11315		plus	uncharacterized protein MbiA	mbiA	948295	protein-coding		YP_009518733.1	161	b0012
NC_000913.3	11382	11786		minus	DUF2541 domain-containing protein YaaI	yaaI	944751	protein-coding		NP_414554.1	134	b0013
NC_000913.3	12163	14079		plus	chaperone protein DnaK	dnaK	944750	protein-coding		NP_414555.1	638	b0014
NC_000913.3	14168	15298		plus	chaperone protein DnaJ	dnaJ	944753	protein-coding		NP_414556.1	376	b0015
NC_000913.3	15445	16557		plus	IS186/IS421 family transposase	insL1	944754	protein-coding		NP_414557.1	370	b0016
NC_000913.3	16751	16960		minus	regulatory protein MokC	mokC	944756	protein-coding		NP_414559.1	69	b0018
NC_000913.3	16751	16903		minus	protein HokC	hokC	2847744	protein-coding		YP_025292.1	50	b4412
NC_000913.3	16952	17010		plus	small regulatory RNA antitoxin SokC	sokC	2847745	ncRNA				b4413
NC_000913.3	17489	18655		plus	Na(+):H(+) antiporter NhaA	nhaA	944758	protein-coding		NP_414560.1	388	b0019
NC_000913.3	18715	19620		plus	DNA-binding transcriptional activator NhaR	nhaR	944757	protein-coding		NP_414561.1	301	b0020
NC_000913.3	19811	20314		minus	IS1 family protein InsB	insB1	944743	protein-coding		NP_414562.1	167	b0021
NC_000913.3	20233	20508		minus	IS1 family protein InsA	insA1	948449	protein-coding		NP_414563.1	91	b0022
NC_000913.3	20815	21078		minus	30S ribosomal subunit protein S20	rpsT	944759	protein-coding		NP_414564.1	87	b0023
NC_000913.3	21181	21399		plus	DUF2575 domain-containing protein YaaY	yaaY	949128	protein-coding		NP_414565.1	72	b0024
NC_000913.3	21407	22348		plus	bifunctional riboflavin kinase/FMN adenylyltransferase	ribF	949129	protein-coding		NP_414566.1	313	b0025
NC_000913.3	22391	25207		plus	isoleucine--tRNA ligase	ileS	944761	protein-coding		NP_414567.1	938	b0026
NC_000913.3	25207	25701		plus	lipoprotein signal peptidase	lspA	944800	protein-coding		NP_414568.1	164	b0027
NC_000913.3	25826	26275		plus	peptidyl-prolyl cis-trans isomerase FkpB	fkpB	944807	protein-coding		NP_414569.1	149	b0028
NC_000913.3	26277	27227		plus	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH	944777	protein-coding		NP_414570.1	316	b0029
NC_000913.3	27293	28207		plus	ribonucleoside hydrolase RihC	rihC	944796	protein-coding		NP_414571.1	304	b0030
NC_000913.3	28374	29195		plus	4-hydroxy-tetrahydrodipicolinate reductase	dapB	944762	protein-coding		NP_414572.1	273	b0031
NC_000913.3	29651	30799		plus	carbamoyl-phosphate synthetase small subunit	carA	949025	protein-coding		NP_414573.1	382	b0032
NC_000913.3	30817	34038		plus	carbamoyl-phosphate synthetase large subunit	carB	944775	protein-coding		NP_414574.1	1073	b0033
NC_000913.3	34300	34695		plus	DNA-binding transcriptional activator CaiF	caiF	944795	protein-coding		NP_414576.4	131	b0034
NC_000913.3	34781	35371		minus	putative transferase CaiE	caiE	948999	protein-coding		NP_414577.2	196	b0035
NC_000913.3	35377	36162		minus	crotonobetainyl-CoA hydratase	caiD	948995	protein-coding		NP_414578.2	261	b0036
NC_000913.3	36271	37824		minus	carnitine--CoA ligase	caiC	944886	protein-coding		NP_414579.4	517	b0037
NC_000913.3	37898	39115		minus	gamma-butyrobetainyl-CoA:carnitine CoA transferase	caiB	948997	protein-coding		NP_414580.1	405	b0038
NC_000913.3	39244	40386		minus	crotonobetainyl-CoA reductase	caiA	949064	protein-coding		NP_414581.1	380	b0039
NC_000913.3	40417	41931		minus	L-carnitine:gamma-butyrobetaine antiporter	caiT	944765	protein-coding		NP_414582.1	504	b0040
NC_000913.3	42403	43173		plus	putative electron transfer flavoprotein FixA	fixA	947316	protein-coding		NP_414583.2	256	b0041
NC_000913.3	43188	44129		plus	putative electron transfer flavoprotein FixB	fixB	948939	protein-coding		NP_414584.1	313	b0042
